"Book Title","ISBN","Author","Language","Pages","Publication","Publish Date","Genres","Book URL"
"City of Glass (The Mortal Instruments, #3)","9781416914303","Cassandra Clare","English","541","Margaret K. McElderry Books","March 24th 2009","['Fantasy', 'Young Adult', 'Fantasy', 'Paranormal', 'Fantasy', 'Urban Fantasy']","https://www.goodreads.com/book/show/3777732-city-of-glass"
"Under the Banner of Heaven: A Story of Violent Faith","9780330419123","Jon Krakauer","English","372","Pan MacMillan","2004","['Nonfiction', 'Religion', 'History', 'Crime', 'True Crime', 'Mystery', 'Crime']","https://www.goodreads.com/book/show/10847.Under_the_Banner_of_Heaven"
"City of Ashes (The Mortal Instruments, #2)","9781416914297","Cassandra Clare","English","453","Margaret K. McElderry Books","March 25th 2008","['Fantasy', 'Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Fantasy', 'Urban Fantasy']","https://www.goodreads.com/book/show/1582996.City_of_Ashes"
"World War Z: An Oral History of the Zombie War","9780307346605","Max Brooks","English","342","Crown","September 12th 2006","['Science Fiction', 'Apocalyptic', 'Abandoned', 'Science Fiction Fantasy', 'Speculative Fiction', 'Apocalyptic', 'Post Apocalyptic', 'Adventure', 'Survival']","https://www.goodreads.com/book/show/8908.World_War_Z"
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)","9781423101468","Rick Riordan","English","361","Hyperion Books for Children","March 6th 2008","['Fantasy', 'Young Adult', 'Fantasy', 'Mythology']","https://www.goodreads.com/book/show/2120932.The_Battle_of_the_Labyrinth"
"Plain Truth","9780743275019","Jodi Picoult","English","405","Atria Books","November 1st 2004","['Fiction', 'Mystery', 'Contemporary']","https://www.goodreads.com/book/show/14864.Plain_Truth"
"Suite Fran̤aise","9781400096275","Ir̬ne N̩mirovsky","English","431","Vintage","April 10th 2007","['Historical', 'Historical Fiction', 'Cultural', 'France', 'War', 'World War II', 'War', 'Historical']","https://www.goodreads.com/book/show/43944.Suite_Fran_aise"
"A Short History of Nearly Everything","9780767908184","Bill Bryson","English","544","Broadway Books","September 14th 2004","['History', 'Nonfiction', 'Science']","https://www.goodreads.com/book/show/21.A_Short_History_of_Nearly_Everything"
"Gilead (Gilead, #1)","9780312424404","Marilynne Robinson","English","282","Picador","January 10th 2006","['Fiction', 'Historical', 'Historical Fiction', 'Religion', 'Literature']","https://www.goodreads.com/book/show/68210.Gilead"
"The Penultimate Peril (A Series of Unfortunate Events, #12)","9780064410151","Lemony Snicket","English","353","HarperCollinsPublishers","October 18th 2005","['Fiction', 'Young Adult', 'Childrens', 'Mystery']","https://www.goodreads.com/book/show/65110.The_Penultimate_Peril"
"The Boy in the Striped Pajamas","9780385751063","John Boyne","English","224","David Fickling Books","September 12th 2006","['Historical', 'Historical Fiction', 'Young Adult', 'Fiction', 'Historical', 'World War II', 'Holocaust']","https://www.goodreads.com/book/show/39999.The_Boy_in_the_Striped_Pajamas"
"The Titan's Curse (Percy Jackson and the Olympians, #3)","9780141382890","Rick Riordan","English","320","Puffin Books","May 5th 2007","['Fantasy', 'Young Adult', 'Fantasy', 'Mythology']","https://www.goodreads.com/book/show/561456.The_Titan_s_Curse"
"The Book of Lost Things","9780743298858","John Connolly","English","339","Atria Books","November 7th 2006","['Fantasy', 'Fiction', 'Young Adult', 'Fantasy', 'Fairy Tales', 'Horror']","https://www.goodreads.com/book/show/69136.The_Book_of_Lost_Things"
"Lamb: The Gospel According to Biff, Christ's Childhood Pal","9780380813810","Christopher Moore","English","444","William Morrow / HarperCollins / Harper Perennial","May 25th 2004","['Humor', 'Fiction', 'Historical', 'Historical Fiction', 'Fantasy', 'Religion', 'Humor', 'Comedy']","https://www.goodreads.com/book/show/28881.Lamb"
"Graceling (Graceling Realm, #1)","9780152063962","Kristin Cashore","English","471","Harcourt","October 1st 2008","['Fantasy', 'Young Adult', 'Romance', 'Fiction']","https://www.goodreads.com/book/show/3236307-graceling"
"Frostbite (Vampire Academy, #2)","9781595141750","Richelle Mead","English","327","Razorbill","April 10th 2008","['Young Adult', 'Paranormal', 'Vampires', 'Fantasy', 'Fantasy', 'Paranormal', 'Romance']","https://www.goodreads.com/book/show/2282133.Frostbite"
"On Writing: A Memoir of the Craft","9780743455961","Stephen King","English","320","Pocket Books","July 2002","['Nonfiction', 'Language', 'Writing', 'Autobiography', 'Memoir', 'Biography']","https://www.goodreads.com/book/show/10569.On_Writing"
"We Need to Talk About Kevin","9780061124297","Lionel Shriver","English","400","Harper Perennial","July 3rd 2006","['Fiction', 'Contemporary', 'Thriller', 'Mystery', 'Crime']","https://www.goodreads.com/book/show/80660.We_Need_to_Talk_About_Kevin"
"Shadow Kiss (Vampire Academy, #3)","9781595141972","Richelle Mead","English","443","Razorbill","January 2nd 2008","['Young Adult', 'Paranormal', 'Vampires', 'Fantasy', 'Fantasy', 'Paranormal', 'Romance']","https://www.goodreads.com/book/show/2802316-shadow-kiss"
"Mystic River","9780060584757","Dennis Lehane","English","416","William Morrow Paperbacks","February 1st 2001","['Mystery', 'Fiction', 'Mystery', 'Crime', 'Thriller', 'Thriller', 'Mystery Thriller', 'Suspense']","https://www.goodreads.com/book/show/21671.Mystic_River"
"Marley and Me: Life and Love With the World's Worst Dog","9780739461198","John Grogan","English","291","William Morrow; 1ST edition","October 18th 2005","['Nonfiction', 'Autobiography', 'Memoir', 'Animals', 'Animals', 'Dogs', 'Biography']","https://www.goodreads.com/book/show/12691.Marley_and_Me"
"The Invention of Hugo Cabret","9780439813785","Brian Selznick","English","525","Scholastic Press","March 2007","['Historical', 'Historical Fiction', 'Fiction', 'Young Adult', 'Childrens', 'Sequential Art', 'Graphic Novels']","https://www.goodreads.com/book/show/9673436-the-invention-of-hugo-cabret"
"Prodigal Summer","9780060959036","Barbara Kingsolver","English","444","Harper Perennial","October 16th 2001","['Fiction', 'Contemporary', 'Novels', 'Environment', 'Nature']","https://www.goodreads.com/book/show/14249.Prodigal_Summer"
"The Lost Symbol (Robert Langdon, #3)","9780385504225","Dan Brown","English","509","Doubleday","September 15th 2009","['Fiction', 'Mystery', 'Thriller', 'Suspense', 'Thriller', 'Mystery Thriller', 'Adventure', 'Historical', 'Historical Fiction', 'Mystery', 'Crime', 'Novels', 'Adult']","https://www.goodreads.com/book/show/6411961-the-lost-symbol"
"The Secret Magdalene","9780307346667","Ki Longfellow","English","448","Crown","March 27th 2007","['Historical', 'Historical Fiction', 'Fiction', 'Religion', 'Historical']","https://www.goodreads.com/book/show/514811.The_Secret_Magdalene"
"The Elegance of the Hedgehog","9781933372600","Muriel Barbery","English","325","Europa Editions","September 2nd 2008","['Fiction', 'Book Club']","https://www.goodreads.com/book/show/2967752-the-elegance-of-the-hedgehog"
"Blood Promise (Vampire Academy, #4)","9781595141989","Richelle Mead","English","503","Penguin Razorbill","August 25th 2009","['Young Adult', 'Paranormal', 'Vampires', 'Fantasy', 'Fantasy', 'Paranormal', 'Romance']","https://www.goodreads.com/book/show/5996153-blood-promise"
"A Feast for Crows (A Song of Ice and Fire, #4)","9780553582024","George R.R. Martin","English","1061","Bantam Books","2011","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Science Fiction Fantasy']","https://www.goodreads.com/book/show/13497.A_Feast_for_Crows"
"The Eyre Affair (Thursday Next, #1)","9780142001806","Jasper Fforde","English","374","Penguin Books","February 25th 2003","['Fantasy', 'Fiction', 'Mystery', 'Humor', 'Science Fiction']","https://www.goodreads.com/book/show/27003.The_Eyre_Affair"
"Artemis Fowl (Artemis Fowl, #1)","9780786817870","Eoin Colfer","English","316","Miramax","March 31st 2003","['Fantasy', 'Young Adult', 'Fiction', 'Childrens']","https://www.goodreads.com/book/show/249747.Artemis_Fowl"
"The Tales of Beedle the Bard","9780747599876","J.K. Rowling","English","109","Bloomsbury","December 4th 2008","['Fantasy', 'Young Adult', 'Fiction', 'Short Stories']","https://www.goodreads.com/book/show/3950967-the-tales-of-beedle-the-bard"
"Reading Lolita in Tehran: A Memoir in Books","9780812971064","Azar Nafisi","English","356","Random House Trade Paperbacks","December 30th 2003","['Nonfiction', 'Autobiography', 'Memoir', 'Biography']","https://www.goodreads.com/book/show/7603.Reading_Lolita_in_Tehran"
"Confessions of a Shopaholic (Shopaholic, #1)","9780440241416","Sophie Kinsella","English","368","Dell Publishing Company","November 4th 2003","['Womens Fiction', 'Chick Lit', 'Humor', 'Funny', 'Adult Fiction', 'Romance', 'Contemporary Romance']","https://www.goodreads.com/book/show/9416.Confessions_of_a_Shopaholic"
"The Tale of Despereaux","9780763625290","Kate DiCamillo","English","267","Candlewick Press","September 9th 2008","['Fantasy', 'Childrens', 'Fiction', 'Young Adult']","https://www.goodreads.com/book/show/37190.The_Tale_of_Despereaux"
"Still Alice","9780595440092","Lisa Genova","English","292","iUniverse","July 6th 2007","['Contemporary', 'Fiction', 'Psychology', 'Book Club', 'Adult']","https://www.goodreads.com/book/show/2153405.Still_Alice"
"The Known World","9780061159176","Edward P. Jones","English","432","Amistad","August 29th 2006","['Historical', 'Historical Fiction', 'Fiction', 'Cultural', 'African American']","https://www.goodreads.com/book/show/67.The_Known_World"
"People of the Book","
                  067001821X","Geraldine Brooks","English","372","Viking Adult","October 1st 2008","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Writing', 'Books About Books', 'Mystery', 'Book Club']","https://www.goodreads.com/book/show/1379961.People_of_the_Book"
"The Yiddish Policemen's Union","9780007149827","Michael Chabon","English","414","HarperCollins","May 1st 2007","['Fiction', 'Mystery', 'Adult', 'Science Fiction', 'Dystopia', 'Science Fiction', 'Science Fiction', 'Alternate History']","https://www.goodreads.com/book/show/16703.The_Yiddish_Policemen_s_Union"
"A Million Little Pieces","9780307276902","James Frey","English","432","Anchor Books","September 22nd 2005","['Nonfiction', 'Biography', 'Autobiography', 'Memoir', 'Contemporary', 'Psychology', 'Biography', 'Autobiography', 'Book Club', 'Abandoned', 'Health', 'Mental Health', 'Unfinished']","https://www.goodreads.com/book/show/1241.A_Million_Little_Pieces"
"Nickel and Dimed: On (Not) Getting by in America","9780805063899","Barbara Ehrenreich","English","240","Owl Books (Henry Holt)","May 1st 2002","['Nonfiction', 'Sociology', 'Politics', 'Economics', 'Autobiography', 'Memoir']","https://www.goodreads.com/book/show/1869.Nickel_and_Dimed"
"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation","9781592402038","Lynne Truss","English","209","The Penguin Group","April 2006","['Nonfiction', 'Language', 'Writing', 'Humanities', 'Language', 'Reference', 'Humor']","https://www.goodreads.com/book/show/8600.Eats_Shoots_Leaves"
"The White Tiger","9781416562597","Aravind Adiga","English","320","Free Press","2008","['Fiction', 'Cultural', 'India', 'Contemporary', 'Asian Literature', 'Indian Literature', 'Novels', 'Literature', 'Cultural', 'Asia', 'Literary Fiction', 'Book Club', 'Mystery', 'Crime']","https://www.goodreads.com/book/show/1768603.The_White_Tiger"
"The City of Ember (Book of Ember, #1)","9780375822742","Jeanne DuPrau","English","270","Yearling Books","2003","['Young Adult', 'Fantasy', 'Science Fiction', 'Dystopia', 'Science Fiction', 'Fiction']","https://www.goodreads.com/book/show/307791.The_City_of_Ember"
"Shiver (The Wolves of Mercy Falls, #1)","9780545123266","Maggie Stiefvater","English","390","Scholastic Press","August 1st 2009","['Young Adult', 'Romance', 'Fiction', 'Fantasy', 'Supernatural', 'Fantasy', 'Urban Fantasy', 'Fantasy', 'Young Adult', 'Teen', 'Did Not Finish']","https://www.goodreads.com/book/show/6068551-shiver"
"Little Bee","9781416589648","Chris Cleave","English","266","Simon  Schuster","February 16th 2010","['Historical', 'Historical Fiction', 'Fiction', 'Adult Fiction', 'Contemporary', 'Adult', 'Book Club', 'European Literature', 'British Literature']","https://www.goodreads.com/book/show/6948436-little-bee"
"The Absolutely True Diary of a Part-Time Indian","9780316013680","Sherman Alexie","English","230","Little, Brown Books for Young Readers","September 12th 2007","['Contemporary', 'Humor', 'Young Adult', 'Teen', 'Young Adult', 'Academic', 'School']","https://www.goodreads.com/book/show/693208.The_Absolutely_True_Diary_of_a_Part_Time_Indian"
"The Year of Magical Thinking","9781400078431","Joan Didion","English","227","Vintage","February 13th 2007","['Nonfiction', 'Autobiography', 'Memoir', 'Biography', 'Biography Memoir']","https://www.goodreads.com/book/show/7815.The_Year_of_Magical_Thinking"
"Dead Until Dark (Sookie Stackhouse, #1)","9780441008537","Charlaine Harris","English","292","Ace Books","May 1st 2001","['Fantasy', 'Paranormal', 'Vampires', 'Fantasy', 'Paranormal', 'Fantasy', 'Urban Fantasy', 'Romance', 'Fiction', 'Mystery']","https://www.goodreads.com/book/show/301082.Dead_Until_Dark"
"Olive Kitteridge","9781400062089","Elizabeth Strout","English","270","Random House","March 25th 2008","['Short Stories', 'Fiction', 'Book Club', 'Literary Fiction', 'Contemporary']","https://www.goodreads.com/book/show/1736739.Olive_Kitteridge"
"Naked","9780316777735","David Sedaris","English","304","Back Bay Books","1998","['Humor', 'Nonfiction', 'Autobiography', 'Memoir', 'Writing', 'Essays', 'Short Stories']","https://www.goodreads.com/book/show/4138.Naked"
"Marked (House of Night, #1)","9780312360269","P.C. Cast","English","306","St. Martin's Press","May 1st 2007","['Young Adult', 'Paranormal', 'Vampires', 'Fantasy', 'Fantasy', 'Paranormal']","https://www.goodreads.com/book/show/30183.Marked"
"The Maze Runner (The Maze Runner, #1)","9780385737944","James Dashner","English","384","Delacorte Press","October 6th 2009","['Young Adult', 'Science Fiction', 'Dystopia', 'Science Fiction', 'Fiction', 'Fantasy', 'Adventure', 'Apocalyptic', 'Post Apocalyptic', 'Mystery', 'Young Adult', 'Teen', 'Action']","https://www.goodreads.com/book/show/6186357-the-maze-runner"
"Hush, Hush (Hush, Hush, #1)","9781416989417","Becca Fitzpatrick","English","391","Simon & Schuster BFYR","October 13th 2009","['Young Adult', 'Fantasy', 'Paranormal', 'Angels', 'Fantasy', 'Paranormal', 'Romance']","https://www.goodreads.com/book/show/6339664-hush-hush"
"Thirteen Reasons Why","9781595141712","Jay Asher","English","288","Razorbill","October 18th 2007","['Young Adult', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Mystery']","https://www.goodreads.com/book/show/1217100.Thirteen_Reasons_Why"
"Case Histories (Jackson Brodie #1)","9780316010702","Kate Atkinson","English","389","Back Bay Books","October 17th 2005","['Mystery', 'Fiction', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller']","https://www.goodreads.com/book/show/16243.Case_Histories"
"The Complete Persepolis","9780375714832","Marjane Satrapi","English","341","Pantheon Books","October 30th 2007","['Sequential Art', 'Graphic Novels', 'Nonfiction', 'Sequential Art', 'Comics', 'Autobiography', 'Memoir', 'Biography']","https://www.goodreads.com/book/show/991197.The_Complete_Persepolis"
"The Bonesetter's Daughter","9780345457370","Amy Tan","English","368","Ballantine Books","February 4th 2003","['Fiction', 'Historical', 'Historical Fiction', 'Cultural', 'China', 'Cultural', 'Asia', 'Historical']","https://www.goodreads.com/book/show/12555.The_Bonesetter_s_Daughter"
"Fun Home: A Family Tragicomic","9780618871711","Alison Bechdel","English","232","Mariner Books","June 5th 2007","['Sequential Art', 'Graphic Novels', 'Sequential Art', 'Comics', 'Autobiography', 'Memoir', 'Nonfiction', 'Lgbt', 'Glbt', 'Queer', 'Biography', 'Graphic Novels Comics', 'Biography', 'Autobiography', 'Adult']","https://www.goodreads.com/book/show/26135825-fun-home"
"The Tipping Point: How Little Things Can Make a Big Difference","9780316346627","Malcolm Gladwell","English","301","Back Bay Books","January 7th 2002","['Nonfiction', 'Business', 'Psychology', 'Sociology', 'Science']","https://www.goodreads.com/book/show/2612.The_Tipping_Point"
"A Long Way Gone: Memoirs of a Boy Soldier","9780374105235","Ishmael Beah","English","229","Farrar Straus Giroux","February 13th 2007","['Nonfiction', 'Autobiography', 'Memoir', 'Cultural', 'Africa', 'Biography', 'War']","https://www.goodreads.com/book/show/43015.A_Long_Way_Gone"
"Wolf Hall (Thomas Cromwell, #1)","9780007230204","Hilary Mantel","English","653","HarperCollins Publishers Ltd","2010","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Abandoned']","https://www.goodreads.com/book/show/6101138-wolf-hall"
"1776","9780743226721","David McCullough","English","386","Simon  Schuster","July 4th 2006","['History', 'Nonfiction', 'North American Hi...', 'American History', 'Historical', 'Military History', 'American Revolution']","https://www.goodreads.com/book/show/1067.1776"
"A Dirty Job (Grim Reaper, #1)","9780060590277","Christopher Moore","English","387","William Morrow","March 21st 2006","['Humor', 'Fiction', 'Fantasy', 'Humor', 'Comedy', 'Fantasy', 'Paranormal', 'Humor', 'Funny', 'Fantasy', 'Urban Fantasy']","https://www.goodreads.com/book/show/33456.A_Dirty_Job"
"Stiff: The Curious Lives of Human Cadavers","9780393324822","Mary Roach","English","320","W. W. Norton  Company","2004","['Nonfiction', 'Science', 'Humor', 'Medical', 'Health', 'Medicine']","https://www.goodreads.com/book/show/32145.Stiff"
"In the Woods (Dublin Murder Squad, #1)","9780670038602","Tana French","English","429","Viking","May 17th 2007","['Mystery', 'Fiction', 'Mystery', 'Crime', 'Thriller', 'Thriller', 'Mystery Thriller']","https://www.goodreads.com/book/show/237209.In_the_Woods"
"Those Who Save Us","9780156031660","Jenna Blum","English","479","Harcourt Books","May 2nd 2005","['Historical', 'Historical Fiction', 'Fiction', 'World War II', 'Holocaust', 'War', 'World War II', 'Historical']","https://www.goodreads.com/book/show/49465.Those_Who_Save_Us"
"Half of a Yellow Sun","9781400044160","Chimamanda Ngozi Adichie","English","433","Knopf","September 12th 2006","['Fiction', 'Historical', 'Historical Fiction', 'Cultural', 'Africa', 'Western Africa', 'Nigeria', 'War', 'Historical']","https://www.goodreads.com/book/show/18749.Half_of_a_Yellow_Sun"
"Special Topics in Calamity Physics","9780670037773","Marisha Pessl","English","514","Penguin Books Ltd","August 3rd 2006","['Fiction', 'Mystery', 'Contemporary', 'Novels']","https://www.goodreads.com/book/show/3483.Special_Topics_in_Calamity_Physics"
"Eldest (The Inheritance Cycle, #2)","9780375840401","Christopher Paolini","English","704","Knopf Books for Young Readers","March 13th 2007","['Young Adult', 'Fantasy', 'Fantasy', 'Dragons']","https://www.goodreads.com/book/show/45978.Eldest"
"The Fiery Cross (Outlander, #5)","9780440221661","Diana Gabaldon","English","1443","Dell","August 30th 2005","['Historical', 'Historical Fiction', 'Romance', 'Fantasy', 'Fiction', 'Science Fiction', 'Time Travel', 'Historical']","https://www.goodreads.com/book/show/10967.The_Fiery_Cross"
"Moloka'i","9780312304355","Alan Brennert","English","405","St. Martin's Griffin","October 4th 2004","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Book Club']","https://www.goodreads.com/book/show/3273.Moloka_i"
"Inkspell (Inkworld, #2)","9780439554008","Cornelia Funke","English","635","The Chicken House","October 1st 2005","['Fantasy', 'Young Adult', 'Adventure', 'Childrens', 'Fantasy', 'Magic']","https://www.goodreads.com/book/show/28195.Inkspell"
"The Gargoyle","9780385524940","Andrew Davidson","English","465","Doubleday","August 5th 2008","['Fiction', 'Fantasy', 'Romance', 'Historical', 'Historical Fiction']","https://www.goodreads.com/book/show/2595138-the-gargoyle"
"Unaccustomed Earth","9780676979343","Jhumpa Lahiri","English","352","Knopf","2008","['Fiction', 'Short Stories', 'Cultural', 'India', 'Contemporary']","https://www.goodreads.com/book/show/85301.Unaccustomed_Earth"
"Tithe (Modern Faerie Tales, #1)","9780689867040","Holly Black","English","332","Simon Pulse","April 2004","['Fantasy', 'Young Adult', 'Fantasy', 'Urban Fantasy', 'Fantasy', 'Paranormal', 'Paranormal', 'Fairies']","https://www.goodreads.com/book/show/46777.Tithe"
"The Forgotten Garden","9780330449601","Kate Morton","English","648","Pan Books","June 1st 2008","['Fiction', 'Historical', 'Historical Fiction', 'Historical', 'Cultural', 'Australia', 'Romance']","https://www.goodreads.com/book/show/3407877-the-forgotten-garden"
"Brisingr (The Inheritance Cycle, #3)","9780375826726","Christopher Paolini","English","748","Alfred A. Knopf","September 20th 2008","['Fantasy', 'Young Adult', 'Fantasy', 'Dragons', 'Fiction']","https://www.goodreads.com/book/show/2248573.Brisingr"
"The Crimson Petal and the White","9781841954318","Michel Faber","English","835","Canongate Books","September 11th 2003","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Historical', 'Victorian']","https://www.goodreads.com/book/show/40200.The_Crimson_Petal_and_the_White"
"The Final Empire (Mistborn, #1)","9780765311788","Brandon Sanderson","English","541","Tor Books","July 25th 2006","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy']","https://www.goodreads.com/book/show/68428.The_Final_Empire"
"Choke","9780385720922","Chuck Palahniuk","English","293","Anchor Books","June 2002","['Fiction', 'Contemporary', 'Humor', 'Novels']","https://www.goodreads.com/book/show/29059.Choke"
"Just Listen","9780670061051","Sarah Dessen","English","371","Viking Books for Young Readers","April 6th 2006","['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Womens Fiction', 'Chick Lit', 'Young Adult', 'Teen', 'Music', 'Young Adult', 'Young Adult Contemporary', 'Young Adult', 'High School']","https://www.goodreads.com/book/show/51738.Just_Listen"
"The Slippery Slope (A Series of Unfortunate Events, #10)","9780064410137","Lemony Snicket","English","337","HarperCollins Publishers","September 23rd 2003","['Fiction', 'Young Adult', 'Childrens', 'Fantasy']","https://www.goodreads.com/book/show/297792.The_Slippery_Slope"
"P.S. I Love You","9780786890750","Cecelia Ahern","English","470","Hachette Books","January 5th 2005","['Romance', 'Womens Fiction', 'Chick Lit', 'Fiction', 'Contemporary']","https://www.goodreads.com/book/show/366522.P_S_I_Love_You"
"The God Delusion","9780618680009","Richard Dawkins","English","374","Houghton Mifflin Co. (Boston/NY)","October 18th 2006","['Nonfiction', 'Religion', 'Science', 'Philosophy', 'Religion', 'Atheism']","https://www.goodreads.com/book/show/14743.The_God_Delusion"
"Dark Lover (Black Dagger Brotherhood, #1)","9780451216953","J.R. Ward","English","393","Penguin Group (USA)","September 6th 2005","['Fiction', 'Did Not Finish', 'Romance', 'Paranormal Romance', 'Adult Fiction']","https://www.goodreads.com/book/show/42899.Dark_Lover"
"A Breath of Snow and Ashes (Outlander, #6)","9780385340397","Diana Gabaldon","English","980","Delta","August 29th 2006","['Romance', 'Historical Romance', 'Historical', 'Historical Fiction', 'Adult', 'Romance']","https://www.goodreads.com/book/show/10965.A_Breath_of_Snow_and_Ashes"
"Fingersmith","9781573229722","Sarah Waters","English","582","Riverhead Books","October 1st 2002","['Historical', 'Historical Fiction', 'Fiction', 'Lgbt', 'Historical', 'Mystery', 'Romance']","https://www.goodreads.com/book/show/45162.Fingersmith"
"Someone Knows My Name","9780393065787","Lawrence Hill","English","489","W.W. Norton & Company","November 5th 2007","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Cultural', 'Canada']","https://www.goodreads.com/book/show/875441.Someone_Knows_My_Name"
"Saturday","9781400076192","Ian McEwan","English","289","Anchor","April 11th 2006","['Fiction', 'Contemporary', 'European Literature', 'British Literature', 'Literature']","https://www.goodreads.com/book/show/5015.Saturday"
"Outliers: The Story of Success","9780316017923","Malcolm Gladwell","English","309","Little, Brown and Company","November 18th 2008","['Nonfiction', 'Psychology', 'Business', 'Economics']","https://www.goodreads.com/book/show/3228917-outliers"
"Storm Front (The Dresden Files, #1)","9780451457813","Jim Butcher","English","322","Penguin ROC","April 2000","['Fantasy', 'Fantasy', 'Urban Fantasy', 'Mystery', 'Fiction', 'Fantasy', 'Paranormal', 'Fantasy', 'Magic', 'Fantasy', 'Supernatural', 'Audiobook', 'Science Fiction Fantasy', 'Mystery', 'Crime']","https://www.goodreads.com/book/show/47212.Storm_Front"
"Under the Dome","9781439148501","Stephen King","English","1074","Scribner","November 10th 2009","['Horror', 'Fiction', 'Science Fiction', 'Thriller', 'Fantasy']","https://www.goodreads.com/book/show/6320534-under-the-dome"
"Cane River","9780446678452","Lalita Tademy","English","522","Grand Central Publishing","April 1st 2002","['Historical', 'Historical Fiction', 'Fiction', 'Historical']","https://www.goodreads.com/book/show/5167.Cane_River"
"The Wide Window (A Series of Unfortunate Events, #3)","9780064407687","Lemony Snicket","English","214","HarperCollins Publishers","February 25th 2000","['Fiction', 'Young Adult', 'Childrens', 'Fantasy']","https://www.goodreads.com/book/show/438492.The_Wide_Window"
"Betrayed (House of Night, #2)","9780312360283","P.C. Cast","English","310","Griffin","October 2nd 2007","['Young Adult', 'Romance', 'Fantasy', 'Supernatural', 'Fantasy', 'Fiction']","https://www.goodreads.com/book/show/676924.Betrayed"
"Moon Called (Mercy Thompson, #1)","9780441013814","Patricia Briggs","English","288","Ace Books","February 1st 2006","['Fantasy', 'Urban Fantasy', 'Fantasy', 'Fantasy', 'Paranormal', 'Paranormal', 'Vampires', 'Shapeshifters', 'Werewolves', 'Romance']","https://www.goodreads.com/book/show/71811.Moon_Called"
"The Fault in Our Stars","9780525478812","John Green","English","313","Dutton Books","January 10th 2012","['Young Adult', 'Fiction', 'Romance', 'Contemporary']","https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars"
"Divergent (Divergent, #1)","9780062024039","Veronica Roth","English","487","Katherine Tegen Books","February 28th 2012","['Young Adult', 'Science Fiction', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction']","https://www.goodreads.com/book/show/13335037-divergent"
"Mockingjay (The Hunger Games, #3)","9780439023511","Suzanne Collins","English","392","Scholastic Press","August 24th 2010","['Young Adult', 'Science Fiction', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction']","https://www.goodreads.com/book/show/7260188-mockingjay"
"Gone Girl","9780307588371","Gillian Flynn","English","415","Broadway Books","April 22nd 2014","['Mystery', 'Fiction', 'Mystery', 'Crime', 'Contemporary', 'Thriller']","https://www.goodreads.com/book/show/19288043-gone-girl"
"The Martian","9780804139021","Andy Weir","English","369","Crown","February 11th 2014","['Novels', 'Contemporary', 'Science Fiction Fantasy']","https://www.goodreads.com/book/show/18007564-the-martian"
"Clockwork Angel (The Infernal Devices, #1)","9781416975861","Cassandra Clare","English","481","Simon & Schuster, Margaret K. McElderry","August 31st 2010","['Fantasy', 'Young Adult', 'Fantasy', 'Paranormal', 'Science Fiction', 'Steampunk', 'Romance']","https://www.goodreads.com/book/show/7171637-clockwork-angel"
"Ready Player One (Ready Player One, #1)","9780307887436","Ernest Cline","English","374","Crown Publishers","August 16th 2011","['Science Fiction', 'Fiction', 'Young Adult', 'Science Fiction', 'Dystopia', 'Fantasy']","https://www.goodreads.com/book/show/9969571-ready-player-one"
"All the Light We Cannot See","9781476746586","Anthony Doerr","English","531","Scribner","May 6th 2014","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'War', 'War', 'World War II']","https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see"
"Cinder (The Lunar Chronicles, #1)","9780312641894","Marissa Meyer","English","390","Feiwel and Friends","January 3rd 2012","['Young Adult', 'Fantasy', 'Science Fiction', 'Science Fiction', 'Dystopia', 'Romance']","https://www.goodreads.com/book/show/11235712-cinder"
"Me Before You (Me Before You, #1)","9780670026609","Jojo Moyes","English","369","Pamela Dorman Books/Viking","December 31st 2012","['Romance', 'Fiction', 'Audiobook']","https://www.goodreads.com/book/show/15507958-me-before-you"
"The Lost Hero (The Heroes of Olympus, #1)","9781423113393","Rick Riordan","English","557","Disney-Hyperion Books","October 12th 2010","['Fantasy', 'Young Adult', 'Fantasy', 'Mythology']","https://www.goodreads.com/book/show/7736182-the-lost-hero"
"The Night Circus","9780385534635","Erin Morgenstern","English","400","Doubleday","September 13th 2011","['Historical', 'Historical Fiction', 'Adult', 'Adult Fiction']","https://www.goodreads.com/book/show/9361589-the-night-circus"
