"Book Title","ISBN","Author","Language","Pages","Publication","Publish Date","Genres","Book URL"
"Breaking Dawn (Twilight, #4)","9780316067928","Stephenie Meyer","English","756","Little, Brown and Company","August 2nd 2008","['Fantasy', 'Young Adult', 'Romance', 'Science Fiction Fantasy']","https://www.goodreads.com/book/show/1162543.Breaking_Dawn"
"Eclipse (Twilight, #3)","9780316160209","Stephenie Meyer","English","629","Little, Brown and Company","August 7th 2007","['Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Vampires', 'Fiction', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Fantasy', 'Supernatural', 'Shapeshifters', 'Werewolves', 'Young Adult', 'Teen']","https://www.goodreads.com/book/show/428263.Eclipse"
"Atonement","9780385721790","Ian McEwan","English","351","Anchor Books","February 25th 2003","['Historical', 'Historical Fiction', 'Romance', 'Classics', 'Fiction', 'Historical']","https://www.goodreads.com/book/show/6867.Atonement"
"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)","9780143034902","Carlos Ruiz ZafÃ³n","English","487","Penguin Books","January 25th 2005","['Fiction', 'Historical', 'Historical Fiction', 'Mystery', 'Fantasy', 'Writing', 'Books About Books']","https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind"
"Angels & Demons  (Robert Langdon, #1)","9781416524793","Dan Brown","English","736","Pocket Books","April 1st 2006","['Fiction', 'Mystery', 'Suspense', 'Thriller', 'Mystery Thriller', 'Adventure']","https://www.goodreads.com/book/show/960.Angels_Demons"
"New Moon (Twilight, #2)","9780316160193","Stephenie Meyer","English","563","Little, Brown and Company","September 6th 2006","['Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Vampires', 'Fiction', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Fantasy', 'Supernatural', 'Shapeshifters', 'Werewolves', 'Young Adult', 'Teen']","https://www.goodreads.com/book/show/49041.New_Moon"
"American Gods (American Gods, #1)","9780747263746","Neil Gaiman","English","635","Headline Review","March 4th 2005","['Science Fiction', 'Science Fiction Fantasy', 'Contemporary']","https://www.goodreads.com/book/show/4407.American_Gods"
"The Host (The Host, #1)","9780316068048","Stephenie Meyer","English","620","Little, Brown and Company","May 6th 2008","['Science Fiction', 'Fiction', 'Science Fiction', 'Dystopia', 'Young Adult', 'Fantasy', 'Paranormal', 'Science Fiction', 'Aliens']","https://www.goodreads.com/book/show/1656001.The_Host"
"City of Bones (The Mortal Instruments, #1)","9781416914280","Cassandra Clare","English","485","Margaret K. McElderry Books","March 27th 2007","['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Fantasy', 'Urban Fantasy', 'Fiction']","https://www.goodreads.com/book/show/256683.City_of_Bones"
"The Five People You Meet in Heaven","9781401308582","Mitch Albom","","196","Hyperion","September 23rd 2003","['Fiction', 'Spirituality', 'Contemporary', 'Christian', 'Literature']","https://www.goodreads.com/book/show/3431.The_Five_People_You_Meet_in_Heaven"
"Extremely Loud and Incredibly Close","9780618711659","Jonathan Safran Foer","English","326","Mariner Books","April 4th 2006","['Fiction', 'Contemporary', 'Historical', 'Historical Fiction']","https://www.goodreads.com/book/show/4588.Extremely_Loud_and_Incredibly_Close"
"The Girl Who Played with Fire (Millennium, #2)","9780307269980","Stieg Larsson","English","503","Alfred A. Knopf","July 28th 2009","['Fiction', 'Mystery', 'Thriller', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Cultural', 'Sweden', 'Adult', 'Adult Fiction']","https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire"
"Looking for Alaska","9780142402511","John Green","English","221","Speak","December 28th 2006","['Young Adult', 'Fiction', 'Contemporary', 'Romance']","https://www.goodreads.com/book/show/99561.Looking_for_Alaska"
"The Guernsey Literary and Potato Peel Pie Society","9780385340991","Mary Ann Shaffer","English","277","The Dial Press","July 29th 2008","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Book Club', 'War', 'World War II']","https://www.goodreads.com/book/show/2728527-the-guernsey-literary-and-potato-peel-pie-society"
"Never Let Me Go","9781400078776","Kazuo Ishiguro","English","288","Vintage Books","August 31st 2010","['Fiction', 'Science Fiction', 'Science Fiction', 'Dystopia']","https://www.goodreads.com/book/show/6334.Never_Let_Me_Go"
"Eat, Pray, Love","9780143038412","Elizabeth Gilbert","English","334","Riverhead Books","February 1st 2007","['Nonfiction', 'Autobiography', 'Memoir', 'Travel']","https://www.goodreads.com/book/show/19501.Eat_Pray_Love"
"The Name of the Wind (The Kingkiller Chronicle, #1)","9780756404079","Patrick Rothfuss","English","662","Penguin Group DAW","April 2007","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy']","https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind"
"The Thirteenth Tale","9780743298025","Diane Setterfield","English","406","Atria Books","September 12th 2006","['Historical', 'Historical Fiction', 'Gothic', 'Writing', 'Books About Books', 'Adult', 'Book Club']","https://www.goodreads.com/book/show/40440.The_Thirteenth_Tale"
"Bel Canto","9780060838720","Ann Patchett","English","352","Harper Perennial","August 2nd 2005","['Fiction', 'Contemporary', 'Book Club', 'Literary Fiction']","https://www.goodreads.com/book/show/5826.Bel_Canto"
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","9780739303405","Erik Larson","English","447","Random House Audio Publishing Group","February 11th 2003","['Nonfiction', 'History', 'Crime', 'True Crime', 'Mystery', 'Crime']","https://www.goodreads.com/book/show/21996.The_Devil_in_the_White_City"
"The Amazing Adventures of Kavalier & Clay","9780312282998","Michael Chabon","English","639","Picador USA","August 25th 2001","['Fiction', 'Historical', 'Historical Fiction', 'Literature']","https://www.goodreads.com/book/show/3985.The_Amazing_Adventures_of_Kavalier_Clay"
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)","9780743227445","Philippa Gregory","English","661","Touchstone Books","May 21st 2003","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Romance']","https://www.goodreads.com/book/show/37470.The_Other_Boleyn_Girl"
"Me Talk Pretty One Day","9780349113913","David Sedaris","English","272","Little, Brown and Company","2001","['Nonfiction', 'Humor', 'Autobiography', 'Memoir', 'Writing', 'Essays', 'Short Stories']","https://www.goodreads.com/book/show/4137.Me_Talk_Pretty_One_Day"
"Eragon (The Inheritance Cycle, #1)","9780375826696","Christopher Paolini","English","503","Alfred A. Knopf Books for Young Readers","April 2005","['Fantasy', 'Young Adult', 'Fiction', 'Fantasy', 'Dragons', 'Adventure', 'Fantasy', 'Magic', 'Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Young Adult', 'Teen', 'Young Adult', 'Young Adult Fantasy']","https://www.goodreads.com/book/show/113436.Eragon"
"Snow Flower and the Secret Fan","9780812968064","Lisa See","English","269","Random House","February 21st 2006","['Historical', 'Historical Fiction', 'Fiction', 'Cultural', 'China', 'Historical', 'Cultural', 'Asia']","https://www.goodreads.com/book/show/1103.Snow_Flower_and_the_Secret_Fan"
"The Historian","9780751537284","Elizabeth Kostova","English","704","Time Warner Books","2005","['Fiction', 'Historical', 'Historical Fiction', 'Fantasy', 'Mystery', 'Historical']","https://www.goodreads.com/book/show/10692.The_Historian"
"A Storm of Swords (A Song of Ice and Fire, #3)","9780553573428","George R.R. Martin","English","1177","Bantam","March 4th 2003","['Fiction', 'Fantasy', 'Epic Fantasy', 'Science Fiction Fantasy', 'Fantasy', 'Fantasy', 'High Fantasy', 'Adult', 'Adventure', 'Fantasy', 'Dragons', 'Epic', 'Audiobook']","https://www.goodreads.com/book/show/62291.A_Storm_of_Swords"
"Uglies (Uglies, #1)","9780689865381","Scott Westerfeld","English","425","Simon Pulse","February 8th 2005","['Young Adult', 'Science Fiction', 'Dystopia', 'Science Fiction']","https://www.goodreads.com/book/show/24770.Uglies"
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","9780307269997","Stieg Larsson","English","563","Knopf","May 23rd 2010","['Fiction', 'Mystery', 'Thriller', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense']","https://www.goodreads.com/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest"
"Vampire Academy (Vampire Academy #1)","-1","Richelle Mead","English","332","Razorbill","November 2013","['Young Adult', 'Fantasy', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal', 'Vampires', 'Fantasy', 'Urban Fantasy']","https://www.goodreads.com/book/show/18660669-vampire-academy"
"Cloud Atlas","9780375507250","David Mitchell","English","509","Random House","August 17th 2004","['Science Fiction', 'Fiction', 'Historical', 'Historical Fiction', 'Science Fiction', 'Dystopia']","https://www.goodreads.com/book/show/49628.Cloud_Atlas"
"Coraline","9780061139376","Neil Gaiman","English","162","William Morrow Paperbacks","August 29th 2006","['Fantasy', 'Young Adult', 'Fiction', 'Horror', 'Childrens']","https://www.goodreads.com/book/show/17061.Coraline"
