ID,SIM1,SIM2,SIM3,SIM4,SIM5,SIM6,SIM7,SIM8,SIM9,SIM10
100095,106081,200346,102391,304461,200454,105961,200254,300032,103716,204750
100096,200408,200431,402409,400023,101193,305709,200005,100773,100016,204686
100097,301812,304932,302917,301734,304367,102895,100306,106030,303999,402759
100098,203820,100016,204291,301725,202401,305709,302917,303999,300008,203902
100099,205475,105739,105466,100011,203400,102478,203304,100833,200087,200431
100100,100115,100108,100024,203623,100101,200011,200231,100880,102108,100746
100101,100115,100738,100024,200028,100108,200011,200036,304622,101333,402448
100102,100378,400860,102108,302876,200032,204832,204800,401431,200907,300061
100103,100410,200647,101500,100012,302504,203885,101541,201217,102967,304666
100104,200466,200005,200872,200027,200118,100393,200026,100106,201400,200020
100105,202580,303999,200469,304378,202721,103851,106354,105640,300233,200964
100106,200466,100104,200027,200118,100393,200026,100033,200005,200336,201391
100107,202616,301743,400011,205652,103094,202945,102110,401568,204900,300902
100108,100024,200011,100100,305588,200231,100115,100101,200066,100947,100004
100109,300572,205720,200518,200392,100555,104215,101167,101852,202671,101403
100110,101125,400815,205413,300450,203200,103150,100085,100758,200039,203555
100111,301946,302656,305015,200199,201274,101193,105815,203772,201116,204333
100112,101542,205631,402759,202355,400612,300054,200195,200407,202889,302880
100113,100273,100216,100316,106235,300019,100857,100247,100185,300101,100280
100114,203771,400815,301887,200034,201910,200498,104744,303897,300008,203555
100115,100101,100024,200011,100100,100738,100108,204040,200031,200050,200028
100116,205203,202366,200034,103984,103030,400009,400014,200872,103889,104085
100117,201910,304395,104863,201300,201532,201269,301069,205631,100079,203112
100118,200191,100366,100327,105606,104863,202536,102108,204654,300209,200118
100119,100130,100122,200054,204907,200099,203789,202094,100055,100339,201231
100120,204259,305709,402409,105493,200530,202749,200049,200457,200109,200647
100121,200188,303010,300008,200895,101846,103694,303128,103049,103074,202400
100122,100055,100130,200054,100119,203794,200187,202279,200083,200310,100532
100123,105808,203555,203239,203820,203091,100572,200917,200933,103475,205301
100124,105601,101167,203457,202109,301743,100555,200241,200462,100435,104751
100125,200431,201421,200357,205475,200020,201358,200155,100833,200005,202839
100126,203847,305709,100096,100160,100180,201217,201107,100016,104913,202109
100127,203497,201042,201564,204749,202679,204962,200414,102178,102272,100029
100128,101471,102192,205706,203842,300153,200034,301812,101791,402066,401677
100129,103150,100016,205218,104744,301271,401526,100686,202695,300216,202630
100130,100122,100055,200336,200054,100119,200083,203993,104538,203852,200099
100131,200014,300018,105527,100051,300003,302430,102037,200032,204654,200412
100132,104180,101152,101821,202565,200612,100653,100831,101164,205562,304479
100133,100517,100623,100528,103549,100446,100464,103437,300139,104863,201340
100134,100946,102020,105304,100179,200725,100009,101174,100011,101950,200408
100135,204672,100118,304395,102967,303999,203512,305729,300314,100327,200453
