,Book Title,ISBN,Book Image,Amazon,Google Play,Barnes and Noble,Indie Bound
180,Station Eleven,9780385353304,https://dj6cnfthgyqas.cloudfront.net/0385353308-original.jpg,NaN,$2.99,$18.50,$26.95
181,A Visit from the Goon Squad,9780307592835,https://dj6cnfthgyqas.cloudfront.net/0307592839-original.jpg,$19.68,$10.99,$20.69,$28.95
182,"Six of Crows (Six of Crows, #1)",9781627792127,https://dj6cnfthgyqas.cloudfront.net/1627792120-original.jpg,NaN,NaN,$12.01,$18.99
183,"Heir of Fire (Throne of Glass, #3)",9781619630659,https://dj6cnfthgyqas.cloudfront.net/1619630656-original.jpg,$12.25,$9.04$6.64,$12.50,$18.99
184,"The Throne of Fire (Kane Chronicles, #2)",9781423140566,https://dj6cnfthgyqas.cloudfront.net/0120000385-original.jpg,$7.67,$8.99,NaN,NaN
185,Before I Go to Sleep,9780062060556,https://dj6cnfthgyqas.cloudfront.net/0062060554-original.jpg,$16.65,NaN,$25.99,$25.99
186,The Sense of an Ending,9780224094153,https://dj6cnfthgyqas.cloudfront.net/0224094157-original.jpg,$9.48,$13.99,$29.00,$29.00
187,"Crescendo (Hush, Hush, #2)",9781416989431,https://dj6cnfthgyqas.cloudfront.net/1416989439-original.jpg,$11.27,NaN,$13.25,$18.99
188,"Bloodlines (Bloodlines, #1)",9781595143174,https://dj6cnfthgyqas.cloudfront.net/1595144730-original.jpg,$5.27,NaN,$7.09,$10.99
189,"The Iron King (The Iron Fey, #1)",9780373210084,https://dj6cnfthgyqas.cloudfront.net/0373210086-original.jpg,$9.32,NaN,$9.99,$9.99
190,A Man Called Ove,9781476738017,https://dj6cnfthgyqas.cloudfront.net/8900720171-original.jpg,$16.21,$8.99,NaN,NaN
191,"Bring Up the Bodies (Thomas Cromwell, #2)",9780805090031,https://dj6cnfthgyqas.cloudfront.net/0805090037-original.jpg,$14.23,NaN,$28.00,$28.00
192,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,9780316322409,https://dj6cnfthgyqas.cloudfront.net/0316322407-original.jpg,$10.53,$12.99,$17.85,$26.00
193,"Silence (Hush, Hush, #3)",9781442426641,https://dj6cnfthgyqas.cloudfront.net/1442426640-original.jpg,$13.36,NaN,$13.85,$18.99
194,"Pandemonium (Delirium, #2)",9780061978067,https://dj6cnfthgyqas.cloudfront.net/006197806X-original.jpg,$7.95,NaN,$12.34,$17.99
195,Go the Fuck to Sleep,9781617750250,https://dj6cnfthgyqas.cloudfront.net/1617750255-original.jpg,$12.19,NaN,$12.19,$14.95
196,"The Passage (The Passage, #1)",9780345504968,https://dj6cnfthgyqas.cloudfront.net/0345504968-original.jpg,$18.00,NaN,$19.32,$28.00
197,"Across the Universe (Across the Universe, #1)",9781595143976,https://dj6cnfthgyqas.cloudfront.net/1595143971-original.jpg,$11.34,NaN,$12.03,$17.99
198,"Queen of Shadows (Throne of Glass, #4)",9781619636040,https://dj6cnfthgyqas.cloudfront.net/1619636042-original.jpg,NaN,NaN,$11.96,$18.99
199,Freedom,9780374158460,https://dj6cnfthgyqas.cloudfront.net/0374158460-original.jpg,$4.99,NaN,$28.00,$28.00
200,State of Wonder,9780062049803,https://dj6cnfthgyqas.cloudfront.net/0062049801-original.jpg,$10.93,NaN,$25.43,$26.99
201,The Art of Fielding,9780316126694,https://dj6cnfthgyqas.cloudfront.net/B004QZ9PE2-original.jpg,NaN,$12.99,NaN,NaN
202,Winter of the World (The Century Trilogy #2),9780525952923,https://dj6cnfthgyqas.cloudfront.net/0525952926-original.jpg,$9.22,NaN,$33.30,$36.00
203,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",9780307408846,https://dj6cnfthgyqas.cloudfront.net/0307408841-original.jpg,$17.05,NaN,$19.97,$28.00
204,"Torment (Fallen, #2)",9780385739146,https://dj6cnfthgyqas.cloudfront.net/B003F3FJQE-original.jpg,NaN,$12.35$9.99,NaN,NaN
205,Major Pettigrew's Last Stand,9781400068937,https://dj6cnfthgyqas.cloudfront.net/B0036S4CIO-original.jpg,NaN,$11.99,NaN,NaN
206,"Unearthly (Unearthly, #1)",9780061996160,https://dj6cnfthgyqas.cloudfront.net/0061996165-original.jpg,NaN,NaN,$12.34,$17.99
207,Americanah,9780307271082,https://dj6cnfthgyqas.cloudfront.net/0307271080-original.jpg,$19.68,NaN,$20.69,$28.95
208,Defending Jacob,9780385344227,https://dj6cnfthgyqas.cloudfront.net/0385344228-original.jpg,$14.51,NaN,$17.85,$26.00
209,The Thousand Autumns of Jacob de Zoet,9781400065455,https://dj6cnfthgyqas.cloudfront.net/1400065453-original.jpg,$8.17,NaN,$24.44,$26.00
210,"Shadow and Bone (Grisha Verse, #1)",9780805094596,https://dj6cnfthgyqas.cloudfront.net/0805094598-original.jpg,$13.29,NaN,$18.70,$19.99
211,"Hex Hall (Hex Hall, #1)",9781423121305,https://dj6cnfthgyqas.cloudfront.net/1423121309-original.jpg,NaN,$8.99,$11.09,$16.99
212,Wild: From Lost to Found on the Pacific Crest Trail,9780307592736,https://dj6cnfthgyqas.cloudfront.net/0307592731-original.jpg,$16.49,NaN,$18.23,$28.95
213,The Night Circus,9780307744432,https://dj6cnfthgyqas.cloudfront.net/0307744434-original.jpg,$10.18,NaN,$10.18,$16.00
214,"The Unlikely Pilgrimage of Harold Fry (Harold Fry, #1)",9780812993295,https://dj6cnfthgyqas.cloudfront.net/0812993292-original.jpg,$6.49,NaN,$23.50,$25.00
215,"Red Queen (Red Queen, #1)",9780062310637,https://dj6cnfthgyqas.cloudfront.net/0062310631-original.jpg,NaN,NaN,$11.33,$17.99
216,"The Elite (The Selection, #2)",9780062059963,https://dj6cnfthgyqas.cloudfront.net/0062059963-original.jpg,$10.67,NaN,$11.75,$17.99
217,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",9780751565355,https://dj6cnfthgyqas.cloudfront.net/0751565350-original.jpg,$7.78,$10.99,NaN,$29.99
218,"The One (The Selection, #3)",9780007466719,https://dj6cnfthgyqas.cloudfront.net/0007466714-original.jpg,$10.00,$11.99,NaN,NaN
219,The Orphan Master's Son,9780812992793,https://dj6cnfthgyqas.cloudfront.net/0812992792-original.jpg,$16.99,$12.99,$27.00,$27.00
220,"Red Rising (Red Rising, #1)",9780345539786,https://dj6cnfthgyqas.cloudfront.net/0553390791-original.jpg,NaN,NaN,NaN,NaN
221,"Fifty Shades of Grey (Fifty Shades, #1)",9781612130293,https://dj6cnfthgyqas.cloudfront.net/B007J4T2G8-original.jpg,NaN,$6.99,NaN,NaN
222,"Champion (Legend, #3)",9780399256776,https://dj6cnfthgyqas.cloudfront.net/0399256776-original.jpg,$8.99,$10.99,$12.40,$18.99
223,"Lady Midnight (The Dark Artifices, #1)",9781442468351,https://dj6cnfthgyqas.cloudfront.net/1442468351-original.jpg,NaN,NaN,$16.59,$24.99
224,"Prodigy (Legend, #2)",9780399256769,https://dj6cnfthgyqas.cloudfront.net/0399256768-original.jpg,$8.89,$10.99,$12.40,$18.99
225,A Little Life,9780385539258,https://dj6cnfthgyqas.cloudfront.net/0385539258-original.jpg,NaN,NaN,$29.89,$35.00
226,The Snow Child,9780316175678,https://dj6cnfthgyqas.cloudfront.net/B004RD856M-original.jpg,NaN,NaN,NaN,NaN
227,The Song of Achilles,9781408816035,https://dj6cnfthgyqas.cloudfront.net/1408816032-original.jpg,NaN,$11.99,$43.50,$43.50
228,"Obsidian (Lux, #1)",9781620610077,https://dj6cnfthgyqas.cloudfront.net/1620610078-original.jpg,$7.11,NaN,$9.99,$9.99
229,The Invention of Wings,9780670024780,https://dj6cnfthgyqas.cloudfront.net/0670024783-original.jpg,$13.75,$14.99,$27.95,$27.95
230,"Passion (Fallen, #3)",9780385739160,https://dj6cnfthgyqas.cloudfront.net/0385739168-original.jpg,$12.19,NaN,$12.30,$17.99
231,"Inheritance (The Inheritance Cycle, #4)",9780375856112,https://dj6cnfthgyqas.cloudfront.net/0375856110-original.jpg,$16.29,NaN,$17.63,$27.99
232,"The Silkworm (Cormoran Strike, #2)",9780316206877,https://dj6cnfthgyqas.cloudfront.net/0316206873-original.jpg,$15.46,$14.99,$18.06,$28.00
233,Burial Rites,9780316243919,https://dj6cnfthgyqas.cloudfront.net/0316243914-original.jpg,$11.89,$12.99,$24.05,$26.00
234,"The Golem and the Jinni (The Golem and the Jinni, #1)",9780062110831,https://dj6cnfthgyqas.cloudfront.net/0062110837-original.jpg,$16.00,$11.99,$20.72,$26.99
235,Big Little Lies,9780399167065,https://dj6cnfthgyqas.cloudfront.net/0399167064-original.jpg,$15.79,$9.99,$16.97,$26.95
236,"The Short Second Life of Bree Tanner (Twilight, #3.5)",9780316125581,https://dj6cnfthgyqas.cloudfront.net/031612558X-original.jpg,$9.48,NaN,$10.44,$16.00
237,A Tale for the Time Being,9780670026630,https://dj6cnfthgyqas.cloudfront.net/0670026638-original.jpg,$19.68,NaN,$21.02,$28.95
