,Book Title,ISBN,Book Image,Amazon,Google Play,Barnes and Noble,Indie Bound
0,Year of Wonders,9780142001431,https://dj6cnfthgyqas.cloudfront.net/0007743033-original.jpg,NaN,NaN,NaN,NaN
1,Daughter of Fortune,9780061120251,https://dj6cnfthgyqas.cloudfront.net/0061120251-original.jpg,$6.28,NaN,$9.66,$14.99
2,What Is the What,9781932416640,https://dj6cnfthgyqas.cloudfront.net/1932416641-original.jpg,$6.99,$11.99,$24.44,$26.00
3,Peace Like a River,9780802139252,https://dj6cnfthgyqas.cloudfront.net/0802139256-original.jpg,$8.53,NaN,$10.32,$16.00
4,The Audacity of Hope: Thoughts on Reclaiming the American Dream,9780307237699,https://dj6cnfthgyqas.cloudfront.net/0307237699-original.jpg,$15.17,NaN,$20.03,$27.00
5,"The Last Olympian (Percy Jackson and the Olympians, #5)",9780739380338,NaN,NaN,NaN,NaN,NaN
6,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",9780786856862,https://dj6cnfthgyqas.cloudfront.net/0786856866-original.jpg,$12.59,$6.99,$12.07,$17.99
7,"Inkheart (Inkworld, #1)",9780439709101,https://dj6cnfthgyqas.cloudfront.net/0439709105-original.jpg,$9.25,$11.99$7.89,$9.25,$10.99
8,"Animal, Vegetable, Miracle: A Year of Food Life",9780060852559,https://dj6cnfthgyqas.cloudfront.net/0060852550-original.jpg,$7.89,NaN,$26.95,$26.95
9,"City of Glass (The Mortal Instruments, #3)",9781416914303,https://dj6cnfthgyqas.cloudfront.net/1416914307-original.jpg,$14.49,$11.99,$17.57,$24.99
10,Under the Banner of Heaven: A Story of Violent Faith,9780330419123,https://dj6cnfthgyqas.cloudfront.net/0330419129-original.jpg,$8.06,$13.99,NaN,NaN
11,"City of Ashes (The Mortal Instruments, #2)",9781416914297,https://dj6cnfthgyqas.cloudfront.net/1416914293-original.jpg,$13.99,$11.99,$17.57,$24.99
12,World War Z: An Oral History of the Zombie War,9780307346605,https://dj6cnfthgyqas.cloudfront.net/0307346609-original.jpg,$18.27,$10.99,$19.46,$26.00
13,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",9781423101468,https://dj6cnfthgyqas.cloudfront.net/1423101464-original.jpg,NaN,$7.99,$14.96,$17.99
14,Plain Truth,9780743275019,https://dj6cnfthgyqas.cloudfront.net/0743275012-original.jpg,$7.23,$13.99,$15.12,$16.00
15,Suite FranÃ§aise,9781400096275,https://dj6cnfthgyqas.cloudfront.net/1400096278-original.jpg,$10.32,NaN,$10.43,$16.00
16,A Short History of Nearly Everything,9780767908184,https://dj6cnfthgyqas.cloudfront.net/076790818X-original.jpg,$9.99,$14.99,$11.49,$18.00
17,"Gilead (Gilead, #1)",9780312424404,https://dj6cnfthgyqas.cloudfront.net/031242440X-original.jpg,$9.84,NaN,$11.32,$16.00
18,"The Penultimate Peril (A Series of Unfortunate Events, #12)",9780064410151,https://dj6cnfthgyqas.cloudfront.net/0064410153-original.jpg,$7.86,$11.99,$8.81,$13.99
19,The Boy in the Striped Pajamas,9780385751063,https://dj6cnfthgyqas.cloudfront.net/0385751060-original.jpg,$12.59,$10.99,$12.69,$17.99
20,"The Titan's Curse (Percy Jackson and the Olympians, #3)",9780141382890,https://dj6cnfthgyqas.cloudfront.net/0141382899-original.jpg,$5.78,$7.99,$16.57,NaN
21,The Book of Lost Things,9780743298858,https://dj6cnfthgyqas.cloudfront.net/0743298853-original.jpg,NaN,$16.99,$21.40,$23.00
22,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",9780380813810,https://dj6cnfthgyqas.cloudfront.net/0380813815-original.jpg,$8.24,NaN,$9.50,$14.99
23,"Graceling (Graceling Realm, #1)",9780152063962,https://dj6cnfthgyqas.cloudfront.net/015206396X-original.jpg,$11.52,NaN,$12.65,$17.99
24,"Frostbite (Vampire Academy, #2)",9781595141750,https://dj6cnfthgyqas.cloudfront.net/1595141758-original.jpg,$8.79,NaN,$8.83,$10.99
25,On Writing: A Memoir of the Craft,9780743455961,NaN,NaN,NaN,NaN,NaN
26,We Need to Talk About Kevin,9780061124297,https://dj6cnfthgyqas.cloudfront.net/006112429X-original.jpg,$9.40,$27.95$13.08,$10.39,$15.99
27,"Shadow Kiss (Vampire Academy, #3)",9781595141972,https://dj6cnfthgyqas.cloudfront.net/1595141979-original.jpg,$9.20,NaN,$9.23,$10.99
28,Mystic River,9780060584757,https://dj6cnfthgyqas.cloudfront.net/0060584750-original.jpg,$8.69,$11.99,$14.99,$14.99
29,Marley and Me: Life and Love With the World's Worst Dog,9780739461198,https://dj6cnfthgyqas.cloudfront.net/0739461192-original.jpg,$2.69,$7.99,NaN,NaN
30,The Invention of Hugo Cabret,9780439813785,https://dj6cnfthgyqas.cloudfront.net/0439813786-original.jpg,$14.89,NaN,$15.74,$24.99
31,Prodigal Summer,9780060959036,https://dj6cnfthgyqas.cloudfront.net/0060959037-original.jpg,$7.58,NaN,$10.96,$16.99
32,"The Lost Symbol (Robert Langdon, #3)",9780385504225,https://dj6cnfthgyqas.cloudfront.net/0385504225-original.jpg,$19.39,$5.14$3.96,$27.33,$29.95
33,The Secret Magdalene,9780307346667,https://dj6cnfthgyqas.cloudfront.net/0307346668-original.jpg,$18.95,$13.99,$22.95,$24.95
34,The Elegance of the Hedgehog,9781933372600,https://dj6cnfthgyqas.cloudfront.net/1933372605-original.jpg,$8.74,NaN,$9.44,$15.00
35,"Blood Promise (Vampire Academy, #4)",9781595141989,https://dj6cnfthgyqas.cloudfront.net/B002KS3AJI-original.jpg,NaN,$10.99,NaN,NaN
36,"A Feast for Crows (A Song of Ice and Fire, #4)",9780553582024,https://dj6cnfthgyqas.cloudfront.net/055358202X-original.jpg,$8.39,$45.99,$9.99,$9.99
37,"The Eyre Affair (Thursday Next, #1)",9780142001806,https://dj6cnfthgyqas.cloudfront.net/0142001805-original.jpg,$10.34,NaN,$10.96,$17.00
38,"Artemis Fowl (Artemis Fowl, #1)",9780786817870,https://dj6cnfthgyqas.cloudfront.net/0786817879-original.jpg,NaN,$7.99,$5.99,$5.99
39,The Tales of Beedle the Bard,9780747599876,https://dj6cnfthgyqas.cloudfront.net/0747599874-original.jpg,$11.63,NaN,$0.00,NaN
40,Reading Lolita in Tehran: A Memoir in Books,9780812971064,https://dj6cnfthgyqas.cloudfront.net/081297106X-original.jpg,$10.93,NaN,$11.16,$17.00
41,"Confessions of a Shopaholic (Shopaholic, #1)",9780440241416,https://dj6cnfthgyqas.cloudfront.net/0440241413-original.jpg,NaN,$8.99,$7.99,$7.99
42,The Tale of Despereaux,9780763625290,https://dj6cnfthgyqas.cloudfront.net/B002NC733K-original.jpg,NaN,$11.27$9.02,NaN,NaN
43,Still Alice,9780595440092,https://dj6cnfthgyqas.cloudfront.net/0595440096-original.jpg,NaN,$16.99,$16.55,NaN
44,The Known World,9780061159176,https://dj6cnfthgyqas.cloudfront.net/0061159174-original.jpg,$7.88,$11.99,$11.79,$16.99
45,People of the Book,"
                  067001821X",https://dj6cnfthgyqas.cloudfront.net/B000YJ66SW-original.jpg,NaN,$10.99,NaN,NaN
46,The Yiddish Policemen's Union,9780007149827,https://dj6cnfthgyqas.cloudfront.net/0007149824-original.jpg,$15.42,$11.99,$28.99,$28.99
47,A Million Little Pieces,9780307276902,https://dj6cnfthgyqas.cloudfront.net/0307276902-original.jpg,$11.66,NaN,$12.29,$16.00
48,Nickel and Dimed: On (Not) Getting by in America,9780805063899,https://dj6cnfthgyqas.cloudfront.net/0805063897-original.jpg,$2.29,$10.99,$10.88,$13.00
49,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",9781592402038,https://dj6cnfthgyqas.cloudfront.net/1592402038-original.jpg,$10.20,$14.99,$11.27,$16.00
50,The White Tiger,9781416562597,https://dj6cnfthgyqas.cloudfront.net/1416562591-original.jpg,NaN,NaN,$24.05,$26.00
51,"The City of Ember (Book of Ember, #1)",9780375822742,https://dj6cnfthgyqas.cloudfront.net/0375822747-original.jpg,$6.39,$9.99,$6.39,$7.99
52,"Shiver (The Wolves of Mercy Falls, #1)",9780545123266,https://dj6cnfthgyqas.cloudfront.net/0545123267-original.jpg,$10.39,$10.99$8.79,$13.57,$18.99
53,Little Bee,9781416589648,https://dj6cnfthgyqas.cloudfront.net/1416589643-original.jpg,$9.92,NaN,$10.31,$15.99
54,The Absolutely True Diary of a Part-Time Indian,9780316013680,https://dj6cnfthgyqas.cloudfront.net/0316013684-original.jpg,$12.29,NaN,$13.05,$20.00
55,The Year of Magical Thinking,9781400078431,https://dj6cnfthgyqas.cloudfront.net/1400078431-original.jpg,$11.90,NaN,$11.90,$16.00
56,"Dead Until Dark (Sookie Stackhouse, #1)",9780441008537,https://dj6cnfthgyqas.cloudfront.net/0441008534-original.jpg,$5.74,NaN,$7.99,$7.99
57,Olive Kitteridge,9781400062089,https://dj6cnfthgyqas.cloudfront.net/B0013TRR80-original.jpg,NaN,$10.99,NaN,NaN
58,"Marked (House of Night, #1)",9780312360269,https://dj6cnfthgyqas.cloudfront.net/0312360266-original.jpg,$6.34,NaN,$6.92,$10.99
59,Naked,9780316777735,https://dj6cnfthgyqas.cloudfront.net/0316777730-original.jpg,$5.46,$12.99,$10.13,$16.00
60,"The Maze Runner (The Maze Runner, #1)",9780385737944,https://dj6cnfthgyqas.cloudfront.net/0385737947-original.jpg,$15.17,NaN,$15.26,$18.99
61,"Hush, Hush (Hush, Hush, #1)",9781416989417,https://dj6cnfthgyqas.cloudfront.net/1416989412-original.jpg,$13.16,$10.99,$15.35,$21.99
62,Thirteen Reasons Why,9781595141712,https://dj6cnfthgyqas.cloudfront.net/1595141715-original.jpg,$15.34,NaN,$13.01,$18.99
63,Case Histories (Jackson Brodie #1),9780316010702,https://dj6cnfthgyqas.cloudfront.net/0316010707-original.jpg,$9.73,NaN,$10.32,$16.00
64,The Complete Persepolis,9780375714832,https://dj6cnfthgyqas.cloudfront.net/0375714839-original.jpg,$15.19,NaN,$16.50,$25.95
65,The Bonesetter's Daughter,9780345457370,https://dj6cnfthgyqas.cloudfront.net/0345457374-original.jpg,$14.06,NaN,$14.74,$17.00
66,Fun Home: A Family Tragicomic,9780618871711,https://dj6cnfthgyqas.cloudfront.net/0618871713-original.jpg,$10.70,NaN,$10.93,$15.99
67,The Tipping Point: How Little Things Can Make a Big Difference,9780316346627,https://dj6cnfthgyqas.cloudfront.net/0316346624-original.jpg,$10.28,$14.99,$10.96,$17.00
68,A Long Way Gone: Memoirs of a Boy Soldier,9780374105235,https://dj6cnfthgyqas.cloudfront.net/0374105235-original.jpg,$7.92,$9.99,$16.14,$24.00
69,1776,9780743226721,https://dj6cnfthgyqas.cloudfront.net/0743226720-original.jpg,$11.67,NaN,$12.26,$18.00
70,"Wolf Hall (Thomas Cromwell, #1)",9780007230204,https://dj6cnfthgyqas.cloudfront.net/0007230206-original.jpg,$18.95,$11.99,$19.75,NaN
71,"A Dirty Job (Grim Reaper, #1)",9780060590277,https://dj6cnfthgyqas.cloudfront.net/0060590270-original.jpg,$19.39,$1.99,$23.51,$24.95
72,Stiff: The Curious Lives of Human Cadavers,9780393324822,https://dj6cnfthgyqas.cloudfront.net/0393324826-original.jpg,NaN,NaN,NaN,$15.95
73,"In the Woods (Dublin Murder Squad, #1)",9780670038602,https://dj6cnfthgyqas.cloudfront.net/B000U913EI-original.jpg,NaN,$8.99,NaN,NaN
74,Those Who Save Us,9780156031660,https://dj6cnfthgyqas.cloudfront.net/0156031663-original.jpg,$7.90,NaN,$9.71,$14.95
75,Half of a Yellow Sun,9781400044160,https://dj6cnfthgyqas.cloudfront.net/1400044162-original.jpg,$26.52,$13.99,$26.52,$29.95
76,Special Topics in Calamity Physics,9780670037773,https://dj6cnfthgyqas.cloudfront.net/067003777X-original.jpg,$13.90,$13.99,$23.74,$25.95
77,"Eldest (The Inheritance Cycle, #2)",9780375840401,https://dj6cnfthgyqas.cloudfront.net/0375840400-original.jpg,$9.09,NaN,$9.25,$12.99
78,"The Fiery Cross (Outlander, #5)",9780440221661,https://dj6cnfthgyqas.cloudfront.net/0440221668-original.jpg,$8.18,$11.99,$8.33,$9.99
79,Moloka'i,9780312304355,https://dj6cnfthgyqas.cloudfront.net/0312304358-original.jpg,$13.22,NaN,$13.22,$16.99
80,"Inkspell (Inkworld, #2)",9780439554008,https://dj6cnfthgyqas.cloudfront.net/0439554004-original.jpg,$9.93,$11.99$8.99,$24.99,$24.99
81,The Gargoyle,9780385524940,https://dj6cnfthgyqas.cloudfront.net/0385524943-original.jpg,$19.93,$13.99,$23.86,$25.95
82,Unaccustomed Earth,9780676979343,https://dj6cnfthgyqas.cloudfront.net/0676979343-original.jpg,$7.76,$12.99,$26.99,NaN
83,"Tithe (Modern Faerie Tales, #1)",9780689867040,https://dj6cnfthgyqas.cloudfront.net/0689867042-original.jpg,$6.98,NaN,$8.03,$10.99
84,The Forgotten Garden,9780330449601,https://dj6cnfthgyqas.cloudfront.net/0330449605-original.jpg,$4.99,$12.99,NaN,NaN
85,"Brisingr (The Inheritance Cycle, #3)",9780375826726,https://dj6cnfthgyqas.cloudfront.net/0375826726-original.jpg,$15.86,NaN,$17.95,$27.50
86,The Crimson Petal and the White,9781841954318,https://dj6cnfthgyqas.cloudfront.net/1841954314-original.jpg,$7.54,$11.99,$0.00,NaN
87,"The Final Empire (Mistborn, #1)",9780765311788,https://dj6cnfthgyqas.cloudfront.net/076531178X-original.jpg,$26.87,$9.99,$28.12,$35.99
88,Choke,9780385720922,https://dj6cnfthgyqas.cloudfront.net/0307388921-original.jpg,$6.60,$12.99,$10.55,$14.95
89,Just Listen,9780670061051,https://dj6cnfthgyqas.cloudfront.net/0670061050-original.jpg,$12.46,$10.99,$12.99,$19.99
90,"The Slippery Slope (A Series of Unfortunate Events, #10)",9780064410137,https://dj6cnfthgyqas.cloudfront.net/0064410137-original.jpg,$9.52,$11.99,$10.57,$13.99
91,P.S. I Love You,9780786890750,https://dj6cnfthgyqas.cloudfront.net/0786890754-original.jpg,$11.70,$9.99,$12.22,$15.99
92,The God Delusion,9780618680009,https://dj6cnfthgyqas.cloudfront.net/0618680004-original.jpg,$15.21,NaN,NaN,$28.00
93,"Dark Lover (Black Dagger Brotherhood, #1)",9780451216953,https://dj6cnfthgyqas.cloudfront.net/B000PDYVU2-original.jpg,NaN,$15.99,NaN,NaN
94,"A Breath of Snow and Ashes (Outlander, #6)",9780385340397,https://dj6cnfthgyqas.cloudfront.net/0385340397-original.jpg,$16.35,$11.99,$16.42,$20.00
95,Fingersmith,9781573229722,https://dj6cnfthgyqas.cloudfront.net/1573229725-original.jpg,$12.46,NaN,$12.55,$17.00
96,Someone Knows My Name,9780393065787,https://dj6cnfthgyqas.cloudfront.net/0393065782-original.jpg,$15.49,NaN,$24.95,$24.95
97,Saturday,9781400076192,https://dj6cnfthgyqas.cloudfront.net/000721829X-original.jpg,$10.11,$13.99,NaN,NaN
98,Outliers: The Story of Success,9780316017923,https://dj6cnfthgyqas.cloudfront.net/0316017922-original.jpg,$12.60,NaN,$19.65,$29.00
99,"Storm Front (The Dresden Files, #1)",9780451457813,https://dj6cnfthgyqas.cloudfront.net/0451457811-original.jpg,$7.99,NaN,$9.99,$9.99
100,Under the Dome,9781439148501,https://dj6cnfthgyqas.cloudfront.net/1439148503-original.jpg,$33.00,NaN,$27.65,$35.00
101,Cane River,9780446678452,https://dj6cnfthgyqas.cloudfront.net/0446678457-original.jpg,$10.39,$9.99,$10.39,$16.00
102,"The Wide Window (A Series of Unfortunate Events, #3)",9780064407687,https://dj6cnfthgyqas.cloudfront.net/0064407683-original.jpg,$10.14,$9.99,$10.63,$13.99
103,"Betrayed (House of Night, #2)",9780312360283,https://dj6cnfthgyqas.cloudfront.net/0312360282-original.jpg,$9.84,$26.99,$9.96,$10.99
104,"Moon Called (Mercy Thompson, #1)",9780441013814,https://dj6cnfthgyqas.cloudfront.net/0441013813-original.jpg,$5.93,NaN,$7.99,$7.99
105,The Fault in Our Stars,9780525478812,https://dj6cnfthgyqas.cloudfront.net/0525478817-original.jpg,$11.36,NaN,$12.51,$19.99
106,"Divergent (Divergent, #1)",9780062024039,https://dj6cnfthgyqas.cloudfront.net/0062024035-original.jpg,$6.00,NaN,$7.74,$9.99
107,"Mockingjay (The Hunger Games, #3)",9780439023511,https://dj6cnfthgyqas.cloudfront.net/0439023513-original.jpg,$11.60,NaN,$13.63,$18.99
108,Gone Girl,9780307588371,https://dj6cnfthgyqas.cloudfront.net/0307588378-original.jpg,$9.89,$10.99,$10.07,$16.00
109,The Martian,9780804139021,https://dj6cnfthgyqas.cloudfront.net/0804139024-original.jpg,$19.29,$11.99,$19.71,$26.00
110,"Clockwork Angel (The Infernal Devices, #1)",9781416975861,https://dj6cnfthgyqas.cloudfront.net/1416975861-original.jpg,$13.38,NaN,$17.57,$24.99
111,"Ready Player One (Ready Player One, #1)",9780307887436,https://dj6cnfthgyqas.cloudfront.net/030788743X-original.jpg,$14.38,NaN,$16.37,$26.00
112,All the Light We Cannot See,9781476746586,https://dj6cnfthgyqas.cloudfront.net/1501132873-original.jpg,NaN,NaN,NaN,NaN
113,"Cinder (The Lunar Chronicles, #1)",9780312641894,https://dj6cnfthgyqas.cloudfront.net/0312641893-original.jpg,$12.24,NaN,$12.59,$19.99
114,"Me Before You (Me Before You, #1)",9780670026609,https://dj6cnfthgyqas.cloudfront.net/0670026603-original.jpg,$21.59,$10.99,$21.59,$27.95
115,The Night Circus,9780385534635,https://dj6cnfthgyqas.cloudfront.net/0385534639-original.jpg,NaN,$11.99,$23.37,$30.00
116,"The Lost Hero (The Heroes of Olympus, #1)",9781423113393,https://dj6cnfthgyqas.cloudfront.net/142311339X-original.jpg,NaN,$8.99,$12.59,$19.99
117,"The Selection (The Selection, #1)",9780062059932,https://dj6cnfthgyqas.cloudfront.net/0062059939-original.jpg,$8.37,NaN,$11.33,$17.99
118,"Throne of Glass (Throne of Glass, #1)",9781599906959,https://dj6cnfthgyqas.cloudfront.net/1599906953-original.jpg,$10.99,NaN,$11.96,$18.99
119,"A Dance with Dragons (A Song of Ice and Fire, #5)",-1,https://dj6cnfthgyqas.cloudfront.net/B074W2BM34-original.jpg,NaN,NaN,NaN,NaN
120,"Insurgent (Divergent, #2)",9780007442911,https://dj6cnfthgyqas.cloudfront.net/0007442912-original.jpg,NaN,$11.99,NaN,$22.25
121,Eleanor & Park,9781250012579,https://dj6cnfthgyqas.cloudfront.net/1250064872-original.jpg,$11.39,$20.80$9.99,$11.20,NaN
122,Room,9780316098335,https://dj6cnfthgyqas.cloudfront.net/B003YFIUW8-original.jpg,NaN,$9.99,NaN,NaN
123,"Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children, #1)",9781594744761,https://dj6cnfthgyqas.cloudfront.net/1594744769-original.jpg,$10.67,NaN,$11.96,$18.99
124,"Clockwork Prince (The Infernal Devices, #2)",9781416975885,https://dj6cnfthgyqas.cloudfront.net/1416975888-original.jpg,$14.09,NaN,$17.57,$24.99
125,"Clockwork Princess (The Infernal Devices, #3)",9781406321340,https://dj6cnfthgyqas.cloudfront.net/1406321346-original.jpg,$7.05,$16.99,NaN,NaN
126,The Girl on the Train,9781594633669,https://dj6cnfthgyqas.cloudfront.net/0857523929-original.jpg,$12.21,$9.99,NaN,NaN
127,11/22/63,9781451627282,https://dj6cnfthgyqas.cloudfront.net/1451627289-original.jpg,$18.19,NaN,$22.04,$35.00
128,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",9780756404734,https://dj6cnfthgyqas.cloudfront.net/0756404738-original.jpg,$22.31,NaN,$22.81,$29.95
129,Wonder,-1,https://dj6cnfthgyqas.cloudfront.net/B074W2BM34-original.jpg,NaN,NaN,NaN,NaN
130,The Goldfinch,9780316055437,https://dj6cnfthgyqas.cloudfront.net/0316055433-original.jpg,$18.48,$12.99,$21.53,$30.00
131,"City of Lost Souls (The Mortal Instruments, #5)",9781442416864,https://dj6cnfthgyqas.cloudfront.net/1442416866-original.jpg,$12.75,NaN,$15.46,$21.99
132,"City of Fallen Angels (The Mortal Instruments, #4)",9781442403543,https://dj6cnfthgyqas.cloudfront.net/1442403543-original.jpg,$14.12,NaN,$16.32,$24.99
133,"The Son of Neptune (The Heroes of Olympus, #2)",9781423140597,https://dj6cnfthgyqas.cloudfront.net/1423140591-original.jpg,$11.91,NaN,$12.59,$19.99
134,"Legend (Legend, #1)",9780399256752,https://dj6cnfthgyqas.cloudfront.net/039925675X-original.jpg,$11.50,NaN,$12.36,$17.99
135,"Unbroken: A World War II Story of Survival, Resilience and Redemption",9781400064168,https://dj6cnfthgyqas.cloudfront.net/1400064163-original.jpg,$16.09,NaN,$18.50,$28.00
136,"The Mark of Athena (The Heroes of Olympus, #3)",9781423140603,https://dj6cnfthgyqas.cloudfront.net/1423140605-original.jpg,$12.27,NaN,$12.59,$19.99
137,"Allegiant (Divergent, #3)",9780007524273,https://dj6cnfthgyqas.cloudfront.net/0007524277-original.jpg,$1.80,$11.99,NaN,NaN
138,Fangirl,-1,https://dj6cnfthgyqas.cloudfront.net/B074W2BM34-original.jpg,NaN,NaN,NaN,NaN
139,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",-1,NaN,NaN,NaN,NaN,NaN
