Book Title,ISBN,Book Image,Google Play,Google Play URL,Barnes and Noble,Barnes and Noble URL,Indie Bound,Indie Bound URL
Crime and Punishment,9780143058144,,$9.99,https://play.google.com/store/books/details/Fyodor_Dostoevsky_Crime_and_Punishment?id=LavHAQAAQBAJ,$16.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780143058144,$16.95,http://www.indiebound.org/book/9780143058144?aff=rifflebooks
"Little Women (Little Women, #1)",9780451529305,https://dj6cnfthgyqas.cloudfront.net/0451529308-original.jpg,$3.99,https://play.google.com/store/movies/details/Little_Women_1994?id=aaOXXf8VOIU,$3.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780451529305,$3.95,http://www.indiebound.org/book/9780451529305?aff=rifflebooks
Great Expectations,9780192833594,https://dj6cnfthgyqas.cloudfront.net/0192833596-original.jpg,$0.99,https://play.google.com/store/books/details/Charles_Dickens_Great_Expectations_Illustrated?id=Tq6iJBQPZeoC,,,$7.95,http://www.indiebound.org/book/9780192833594?aff=rifflebooks
War and Peace,9780192833983,https://dj6cnfthgyqas.cloudfront.net/0192833987-original.jpg,Free,https://play.google.com/store/books/details/Leo_Tolstoy_War_and_Peace?id=Ch43AwAAQBAJ,$9.15,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780192833983,$12.95,http://www.indiebound.org/book/9780192833983?aff=rifflebooks
Les Mis̩rables,9780451525260,https://dj6cnfthgyqas.cloudfront.net/0451525264-original.jpg,$5.99,https://play.google.com/store/books/details/Victor_Hugo_Les_Miserables?id=hVc00oy-2SgC,$9.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780451525260,$9.95,http://www.indiebound.org/book/9780451525260?aff=rifflebooks
The Idiot,9780679642428,https://dj6cnfthgyqas.cloudfront.net/0679642420-original.jpg,Free,https://play.google.com/store/books/details/Fyodor_Dostoyevsky_The_Idiot?id=tCgVAAAAYAAJ,$17.00,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780679642428,$17.00,http://www.indiebound.org/book/9780679642428?aff=rifflebooks
"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",9780451529558,https://dj6cnfthgyqas.cloudfront.net/0451529553-original.jpg,$1.48,https://play.google.com/store/books/details/Fyodor_Dostoyevsky_The_Complete_Works_of_Fyodor_Do?id=mg75CQAAQBAJ,$5.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780451529558,$5.95,http://www.indiebound.org/book/9780451529558?aff=rifflebooks
The Woman in White,9780141439617,https://dj6cnfthgyqas.cloudfront.net/0141439610-original.jpg,Free,https://play.google.com/store/books/details/Wilkie_Collins_The_Woman_in_White?id=LBMmAAAAMAAJ,$9.50,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780141439617,$10.00,http://www.indiebound.org/book/9780141439617?aff=rifflebooks
Fathers and Sons,9780451529695,https://dj6cnfthgyqas.cloudfront.net/0451529693-original.jpg,$2.54,https://play.google.com/store/books/details/Ivan_Sergeevich_Turgenev_Fathers_and_Children?id=721UCwAAQBAJ,$7.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780451529695,$7.95,http://www.indiebound.org/book/9780451529695?aff=rifflebooks
Silas Marner,9781416500346,https://dj6cnfthgyqas.cloudfront.net/1416500340-original.jpg,Free,https://play.google.com/store/books/details/George_Eliot_Silas_Marner?id=21oJAAAAQAAJ,$4.99,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781416500346,$4.99,http://www.indiebound.org/book/9781416500346?aff=rifflebooks
