"Book Title","ISBN","Rating","Author","Language","Pages","Publication","Publish Date","Genres","Book URL"
"Sentimental Education","9780140447972","3.83","Gustave Flaubert","English","460","Penguin Classics","February 5th 2004","['Fiction', 'Cultural', 'France', 'Literature', '19th Century', 'Classics']","https://www.goodreads.com/book/show/2183.Sentimental_Education"
"The House of the Dead","9780486434094","4.04","Fyodor Dostoyevsky","English","247","Dover Publications","April 22nd 2004","['Classics', 'Fiction', 'Cultural', 'Russia', 'Literature', 'Russian Literature', 'Literature']","https://www.goodreads.com/book/show/17877.The_House_of_the_Dead"
"The Gambler","9780812966930","3.88","Fyodor Dostoyevsky","English","188","Modern Library","April 8th 2003","['Classics', 'Fiction', 'Cultural', 'Russia', 'Literature', 'Russian Literature', 'Literature']","https://www.goodreads.com/book/show/12857.The_Gambler"
"Alice's Adventures in Wonderland","-1","4.0","Lewis Carroll","English","96","Public Domain Books","May 1st 1997","['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Adventure', 'Audiobook', 'Literature', '19th Century', 'Childrens', 'Middle Grade', 'Literature', 'European Literature', 'British Literature']","https://www.goodreads.com/book/show/6324090-alice-s-adventures-in-wonderland"
"PoÃ¨mes Saturniens","9782253098300","4.13","Paul Verlaine","French","222","Livre de Poche","October 1st 1996","['Poetry', 'Cultural', 'France', 'Classics', 'European Literature', 'French Literature']","https://www.goodreads.com/book/show/1519706.Po_mes_Saturniens"
"The Flowers of Evil","9781503217706","4.26","Charles Baudelaire","English","346","CreateSpace","November 22nd 2014","['Poetry', 'European Literature', 'French Literature', 'Cultural', 'France', 'Literature', '19th Century', 'Literature', 'Classics', 'Gothic', 'Academic', 'Read For School', 'Unfinished', 'Nonfiction']","https://www.goodreads.com/book/show/23660930-the-flowers-of-evil"
"Goblin Market","9780811816496","4.08","Christina Rossetti","English","70","Chronicle Books (CA)","October 1st 1997","['Poetry', 'Classics', 'Fantasy', 'Literature', 'Academic', 'School']","https://www.goodreads.com/book/show/430788.Goblin_Market"
"Incidents in the Life of a Slave Girl","9780486419312","4.09","Harriet Ann Jacobs","English","176","Dover Publications","November 9th 2001","['Nonfiction', 'History', 'Classics', 'Autobiography', 'Memoir', 'Biography', 'Cultural', 'African American']","https://www.goodreads.com/book/show/152519.Incidents_in_the_Life_of_a_Slave_Girl"
"The Innocents Abroad","9780812967050","3.86","Mark Twain","English","560","Modern Library","February 11th 2003","['Travel', 'Classics', 'Nonfiction', 'Humor']","https://www.goodreads.com/book/show/2443.The_Innocents_Abroad"
"Lorna Doone","9780143039327","3.72","R.D. Blackmore","English","750","Penguin Classics","September 28th 2006","['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Romance']","https://www.goodreads.com/book/show/73960.Lorna_Doone"
"Can You Forgive Her? (Palliser, #1)","9780140430868","3.93","Anthony Trollope","English","847","Penguin Classics","June 27th 1974","['Classics', 'Fiction', 'Historical', 'Victorian', 'Literature', '19th Century', 'Literature', 'Historical', 'Historical Fiction']","https://www.goodreads.com/book/show/374371.Can_You_Forgive_Her_"
"Alice's Adventures in Wonderland & Through the Looking-Glass","9780451527745","4.06","Lewis Carroll","English","239","Penguin Group (USA)","December 1st 2000","['Classics', 'Fantasy', 'Fiction', 'Childrens']","https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass"
"Maldoror and the Complete Works","9781878972125","4.28","Comte de LautrÃ©amont","English","352","Exact Change","April 30th 2010","['Poetry', 'Fiction', 'Cultural', 'France', 'Classics', 'Literature']","https://www.goodreads.com/book/show/157687.Maldoror_and_the_Complete_Works"
"The Insulted and Humiliated","9780898751048","4.22","Fyodor Dostoyevsky","English","460","University Press of the Pacific","October 20th 2000","['Classics', 'Cultural', 'Russia', 'Literature']","https://www.goodreads.com/book/show/329803.The_Insulted_and_Humiliated"
"The Last Chronicle of Barset (Chronicles of Barsetshire #6)","9780140437522","4.14","Anthony Trollope","English","890","Penguin Books","August 29th 2002","['Classics', 'Fiction', 'Literature', 'Literature', '19th Century', 'Historical', 'Victorian', 'European Literature', 'British Literature', 'Historical', 'Historical Fiction', 'Audiobook', 'Novels', 'Literary Fiction']","https://www.goodreads.com/book/show/149789.The_Last_Chronicle_of_Barset"
"Peer Gynt","9780486426860","3.72","Henrik Ibsen","English","144","Dover Publications","May 7th 2003","['Classics', 'Drama', 'Fiction', 'Poetry', 'Plays', 'Plays', 'Theatre']","https://www.goodreads.com/book/show/279221.Peer_Gynt"
"Good Wives","9781419122125","3.93","Louisa May Alcott","English","248","Kessinger","June 17th 2004","['Classics', 'Fiction', 'Romance', 'Young Adult', 'Historical', 'Historical Fiction']","https://www.goodreads.com/book/show/78960.Good_Wives"
"Twenty Thousand Leagues Under the Sea (Extraordinary Voyages, #6)","9780760728505","3.87","Jules Verne","English","394","Barnes & Noble","April 1st 2002","['Classics', 'Science Fiction', 'Fiction', 'Adventure']","https://www.goodreads.com/book/show/33507.Twenty_Thousand_Leagues_Under_the_Sea"
"The Man Who Laughs","9781934169001","4.22","Victor Hugo","English","672","Norilana Books","August 19th 2006","['Classics', 'Fiction', 'Cultural', 'France', 'Historical', 'Historical Fiction', 'European Literature', 'French Literature', 'Novels']","https://www.goodreads.com/book/show/63038.The_Man_Who_Laughs"
"A Long Fatal Love Chase","9780440223016","3.64","Louisa May Alcott","English","356","Dell","December 2nd 1996","['Fiction', 'Classics', 'Romance', 'Gothic']","https://www.goodreads.com/book/show/620790.A_Long_Fatal_Love_Chase"
"The Celebrated Jumping Frog of Calaveras County, and Other Sketches","9781103337637","3.71","Mark Twain","English","192","BiblioLife","February 11th 2009","['Fiction', 'Short Stories', 'Humor', 'Classics', 'Literature', 'Literature', '19th Century', 'Humor', 'Funny', 'Audiobook', 'Literature', 'American', 'Adult Fiction']","https://www.goodreads.com/book/show/6448672-the-celebrated-jumping-frog-of-calaveras-county-and-other-sketches"
"Five Weeks in a Balloon (Extraordinary Voyages, #1)","9781421820606","3.75","Jules Verne","English","432","1st World Library","August 1st 2006","['Classics', 'Adventure', 'Fiction', 'Science Fiction', 'Cultural', 'France']","https://www.goodreads.com/book/show/1219103.Five_Weeks_in_a_Balloon"
"Uncle Silas","9780140437461","3.73","J. Sheridan Le Fanu","English","477","Penguin Books","June 1st 2001","['Classics', 'Gothic', 'Horror', 'Fiction', 'Mystery', 'Literature', '19th Century']","https://www.goodreads.com/book/show/49190.Uncle_Silas"
"Lady Audley's Secret","9780192835208","3.74","Mary Elizabeth Braddon","English","455","Oxford University Press","1987","['Classics', 'Mystery', 'Historical', 'Victorian', 'Fiction', 'Gothic', 'Literature', '19th Century']","https://www.goodreads.com/book/show/588747.Lady_Audley_s_Secret"
"The Marble Faun","9780192839763","3.5","Nathaniel Hawthorne","English","432","Oxford University Press","March 7th 2002","['Classics', 'Fiction', 'Literature']","https://www.goodreads.com/book/show/47059.The_Marble_Faun"
"Alice's Adventures Under Ground","9780486214825","4.16","Lewis Carroll","English","128","Dover Publications","June 1st 1965","['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Literature', 'Young Adult', 'European Literature', 'British Literature', 'Literature', '19th Century', 'Fantasy', 'Fairy Tales', 'Science Fiction']","https://www.goodreads.com/book/show/1292105.Alice_s_Adventures_Under_Ground"
"The Cossacks","9780812975048","3.78","Leo Tolstoy","English","161","Modern Library","February 14th 2006","['Classics', 'Fiction', 'Cultural', 'Russia', 'Literature', 'Russian Literature', 'Literature']","https://www.goodreads.com/book/show/17698.The_Cossacks"
"SalammbÃ´","9780140443288","3.73","Gustave Flaubert","English","282","Penguin Classics","April 28th 1977","['Classics', 'Fiction', 'Cultural', 'France', 'Historical', 'Historical Fiction', 'European Literature', 'French Literature', 'Literature', '19th Century', 'Literature']","https://www.goodreads.com/book/show/221597.Salammb_"
"The Small House at Allington (Chronicles of Barsetshire #5)","9780140433258","4.04","Anthony Trollope","English","695","Penguin Classics","January 31st 1991","['Classics', 'Fiction', 'Historical', 'Victorian', 'Literature', '19th Century', 'Literature']","https://www.goodreads.com/book/show/144463.The_Small_House_at_Allington"
"Romola","9780140434705","3.76","George Eliot","English","840","Penguin Books","2005","['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Literature', '19th Century', 'Historical', 'Victorian', 'European Literature', 'British Literature']","https://www.goodreads.com/book/show/835508.Romola"
"Felix Holt: The Radical","9780140434354","3.67","George Eliot","English","545","Penguin Classics","December 1st 1995","['Classics', 'Fiction', 'Historical', 'Victorian', 'Literature', '19th Century', 'European Literature', 'British Literature', 'Historical', 'Historical Fiction']","https://www.goodreads.com/book/show/866301.Felix_Holt"
"From the Earth to the Moon (Extraordinary Voyages, #4)","9781598184549","3.78","Jules Verne","English","136","Aegypan","October 1st 2006","['Science Fiction', 'Classics', 'Fiction', 'Adventure', 'Cultural', 'France']","https://www.goodreads.com/book/show/32827.From_the_Earth_to_the_Moon"
"The Water Babies","9781853261480","3.37","Charles Kingsley","English","224","Wordsworth Editions Ltd","December 5th 1994","['Classics', 'Fantasy', 'Childrens', 'Fiction', 'Literature', '19th Century', 'Historical', 'Victorian', 'Young Adult', 'Fantasy', 'Fairy Tales', 'European Literature', 'British Literature', 'Literature']","https://www.goodreads.com/book/show/42573.The_Water_Babies"
"Smoke","9781885983008","3.82","Ivan Turgenev","English","220","Turtle Point Press","April 19th 1995","['Literature', 'Russian Literature', 'Cultural', 'Russia', 'Fiction', 'Literature', 'Romance']","https://www.goodreads.com/book/show/868385.Smoke"
"Orley Farm","9780192838568","3.92","Anthony Trollope","English","825","Oxford University Press","June 7th 2001","['Classics', 'Fiction', 'Historical', 'Victorian', 'European Literature', 'British Literature', 'Literature', '19th Century', 'Literature', 'Literary Fiction', 'Classics', 'Classic Literature', 'Novels', 'Historical', 'Historical Fiction']","https://www.goodreads.com/book/show/242589.Orley_Farm"
"The Maine Woods","9780691118772","3.87","Henry David Thoreau","English","347","Princeton University Press","June 13th 2004","['Environment', 'Nature', 'Philosophy', 'Classics', 'Travel', 'Nonfiction', 'Autobiography', 'Memoir']","https://www.goodreads.com/book/show/67503.The_Maine_Woods"
"Walking","9781596058811","3.94","Henry David Thoreau","English","60","Cosimo Classics","July 1st 2006","['Philosophy', 'Nonfiction', 'Classics', 'Environment', 'Nature', 'Writing', 'Essays']","https://www.goodreads.com/book/show/227113.Walking"
"Phineas Finn (Palliser, #2)","9780140430851","3.97","Anthony Trollope","English","752","Penguin Classics","September 29th 1977","['Classics', 'Fiction', 'Historical', 'Victorian']","https://www.goodreads.com/book/show/374352.Phineas_Finn"
"Letters from My Windmill","9780140443349","3.7","Alphonse Daudet","English","224","Penguin Classics","June 29th 1978","['Cultural', 'France', 'Classics', 'Short Stories', 'Fiction', 'European Literature', 'French Literature']","https://www.goodreads.com/book/show/631035.Letters_from_My_Windmill"
"The Midnight Ride of Paul Revere","9781929766130","4.08","Henry Wadsworth Longfellow","English","40","Chronicle Books","October 1st 2001","['Poetry', 'Classics', 'History', 'Childrens', 'Childrens', 'Picture Books', 'Nonfiction']","https://www.goodreads.com/book/show/782095.The_Midnight_Ride_of_Paul_Revere"
"Autumnal Tints","9781557094421","3.98","Henry David Thoreau","English","64","Applewood Books","October 1st 1996","['Philosophy', 'Environment', 'Nature', 'Writing', 'Essays', 'Classics', 'Nonfiction']","https://www.goodreads.com/book/show/703653.Autumnal_Tints"
"Carmilla","9782253087793","3.83","J. Sheridan Le Fanu","French","124","Livre de Poche","August 1st 2004","['Classics', 'Horror', 'Paranormal', 'Vampires', 'Gothic', 'Fiction', 'Fantasy', 'Lgbt']","https://www.goodreads.com/book/show/1452319.Carmilla"
"Value, Price and Profit","9781434463111","4.08","Karl Marx","English","64","Wildside Press","March 30th 2008","['Economics', 'Politics', 'Philosophy', 'Nonfiction']","https://www.goodreads.com/book/show/7361019-value-price-and-profit"
"First Love","-1","3.79","Ivan Turgenev","English","107","Penguin Books","1979","['Classics', 'Fiction', 'Cultural', 'Russia', 'Literature', 'Russian Literature', 'Romance', 'Literature', 'Literature', '19th Century', 'Novella', 'Short Stories', 'Novels']","https://www.goodreads.com/book/show/18681475-first-love"
"Miss Marjoribanks (Chronicles of Carlingford, #5)","9780140436303","3.77","Margaret Oliphant","English","512","Penguin Classics","October 29th 1998","['Fiction', 'Historical', 'Victorian', 'Classics', 'Literature', '19th Century', 'Literature']","https://www.goodreads.com/book/show/514761.Miss_Marjoribanks"
"Lady Macbeth De Mtsensk","9788484281764","3.95","Nikolai Leskov","Spanish","484","Alba","February 27th 2003","['Cultural', 'Russia', 'Classics', 'Literature', 'Russian Literature', 'Fiction', 'Short Stories']","https://www.goodreads.com/book/show/2102463.Lady_Macbeth_De_Mtsensk"
"Framley Parsonage (Chronicles of Barsetshire #4)","9781406954098","4.01","Anthony Trollope","","573","Hard Press","November 3rd 2006","['Classics', 'Fiction', 'Historical', 'Victorian', 'Literature', '19th Century', 'Literature']","https://www.goodreads.com/book/show/267102.Framley_Parsonage"
"The Life of Charlotte BrontÃ«","9780192838056","3.88","Elizabeth Gaskell","English","587","Oxford University Press","June 20th 2002","['Biography', 'Nonfiction', 'Classics', 'Literature', '19th Century', 'Historical', 'Victorian']","https://www.goodreads.com/book/show/31171.The_Life_of_Charlotte_Bront_"
"In Search of the Castaways; or the Children of Captain Grant (Extraordinary Voyages, #5)","9781406923117","4.07","Jules Verne","English","432","Hard Press","November 3rd 2006","['Classics', 'Adventure', 'Fiction', 'Cultural', 'France', 'Science Fiction']","https://www.goodreads.com/book/show/267071.In_Search_of_the_Castaways_or_the_Children_of_Captain_Grant"
"The Toilers of the Sea","9780375761324","4.08","Victor Hugo","English","480","Modern Library","September 10th 2002","['Classics', 'Fiction', 'Cultural', 'France', 'European Literature', 'French Literature', 'Literature']","https://www.goodreads.com/book/show/146943.The_Toilers_of_the_Sea"
"Mrs Beeton's Book of Household Management","9780192833457","3.8","Isabella Beeton","English","672","Oxford University Press, USA","May 18th 2000","['Nonfiction', 'History', 'Reference', 'Classics', 'Food and Drink', 'Cooking', 'Food and Drink', 'Cookbooks']","https://www.goodreads.com/book/show/832761.Mrs_Beeton_s_Book_of_Household_Management"
"Armadale","9780140434118","3.89","Wilkie Collins","English","721","Penguin Classics","January 26th 1995","['Classics', 'Fiction', 'Mystery', 'Historical', 'Victorian', 'Gothic']","https://www.goodreads.com/book/show/777108.Armadale"
"The Celebrated Jumping Frog of Calaveras County","9780318518893","3.75","Mark Twain","English","202","Filter Press","October 1st 1965","['Classics', 'Short Stories', 'Fiction', 'Humor']","https://www.goodreads.com/book/show/3284885-the-celebrated-jumping-frog-of-calaveras-county"
"The Subjection of Women","9781594625329","3.86","John Stuart Mill","English","136","Book Jungle","March 15th 2007","['Philosophy', 'Feminism', 'Nonfiction', 'Politics', 'Classics', 'History', 'Gender', 'Womens', 'Sociology', 'Gender', 'Gender Studies']","https://www.goodreads.com/book/show/677591.The_Subjection_of_Women"
"Legends of Charlemagne","9781595408051","3.81","Thomas Bulfinch","English","412","1st World Library","January 12th 2005","['Fantasy', 'Mythology', 'Fiction', 'Historical', 'Medieval', 'Literature', 'Poetry', 'Anthologies', 'Collections']","https://www.goodreads.com/book/show/7163845-legends-of-charlemagne"
"Paris in the Twentieth Century","9780679444343","3.38","Jules Verne","English","222","Random House","December 15th 1998","['Science Fiction', 'Fiction', 'Classics', 'Cultural', 'France', 'Science Fiction', 'Dystopia']","https://www.goodreads.com/book/show/2426004.Paris_in_the_Twentieth_Century"
"Poems and Ballads","9781417910144","4.16","Algernon Charles Swinburne","English","216","Kessinger Publishing","April 1st 2004","['Poetry', 'Historical', 'Victorian']","https://www.goodreads.com/book/show/8125962-poems-and-ballads"
"Ragged Dick: Or, Street Life in New York with the Boot Blacks","9780451529831","3.28","Horatio Alger Jr.","English","208","Signet Classics","September 6th 2005","['Fiction', 'Classics', 'Young Adult', 'Novels', 'Historical', 'Historical Fiction', 'Literature', '19th Century']","https://www.goodreads.com/book/show/918352.Ragged_Dick"
"Sylvia's Lovers","9780140434224","3.72","Elizabeth Gaskell","English","484","Penguin Classics","November 28th 1996","['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Historical', 'Victorian', 'Literature', '19th Century', 'European Literature', 'British Literature', 'Romance']","https://www.goodreads.com/book/show/830205.Sylvia_s_Lovers"
"Hospital Sketches","9781406501025","3.62","Louisa May Alcott","English","80","Dodo Press","October 25th 2005","['History', 'Classics', 'Nonfiction', 'Military History', 'Civil War', 'Autobiography', 'Memoir']","https://www.goodreads.com/book/show/2987.Hospital_Sketches"
"Deutsche Sagen","9783618620204","4.12","Jacob Grimm","","1073","Deutscher Klassiker Verlag","December 1994","['European Literature', 'German Literature']","https://www.goodreads.com/book/show/3865708-deutsche-sagen"
"The Signalman","9781860920387","3.81","Charles Dickens","English","22","Travelman Publishing","September 28th 2000","['Short Stories', 'Classics', 'Fiction']","https://www.goodreads.com/book/show/3920908-the-signalman"
"No Name","9780192833884","3.91","Wilkie Collins","English","748","Oxford University Press","June 25th 1998","['Classics', 'Fiction', 'Historical', 'Victorian', 'Mystery', 'Literature', '19th Century']","https://www.goodreads.com/book/show/45205.No_Name"
"Running a Thousand Miles for Freedom: The Escape of William and Ellen Craft from Slavery","9780807123201","3.89","Ellen Craft","English","120","Louisiana State University Press","January 1st 1999","['History', 'Nonfiction', 'Autobiography', 'Memoir', 'Historical', 'Cultural', 'African American']","https://www.goodreads.com/book/show/1104192.Running_a_Thousand_Miles_for_Freedom"
"Max Havelaar: Or the Coffee Auctions of the Dutch Trading Company","9780140445169","3.49","Multatuli","English","352","Penguin Classics","August 27th 1987","['Classics', 'Fiction', 'European Literature', 'Dutch Literature', 'Literature']","https://www.goodreads.com/book/show/326280.Max_Havelaar"
"Wild Apples","9781438526652","3.58","Henry David Thoreau","English","48","Book Jungle","October 8th 2009","['Classics', 'Nonfiction', 'Environment', 'Nature', 'Philosophy', 'Literature']","https://www.goodreads.com/book/show/9386880-wild-apples"
"Biographies Contributed to the Encyclopaedia Britannica","-1","3.67","Thomas Babington Macaulay","","316","Adam & Charles Black","1860","['Biography']","https://www.goodreads.com/book/show/13509264-biographies-contributed-to-the-encyclopaedia-britannica"
"The Trial for Murder","-1","3.46","Charles Dickens","","[]","","","['Short Stories', 'Classics', 'Horror', 'Fiction', 'Fantasy', 'Paranormal', 'Gothic']","https://www.goodreads.com/book/show/9632036-the-trial-for-murder"
"The History of England from the Accession of James the Second Vol. V","-1","3.8","Thomas Babington Macaulay","","565","Harper & Bros.","1879","['History']","https://www.goodreads.com/book/show/12907156-the-history-of-england-from-the-accession-of-james-the-second-vol-v"
"Behind a Mask","9781843910862","3.74","Louisa May Alcott","English","111","Hesperus Press Limited","May 1st 2004","['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Literature']","https://www.goodreads.com/book/show/17555.Behind_a_Mask"
"The Magic Fishbone","9780880200394","3.5","Charles Dickens","English","[]","","","['Childrens', 'Picture Books', 'Childrens', 'Classics', 'Fiction', 'Short Stories', 'Fantasy']","https://www.goodreads.com/book/show/1413520.The_Magic_Fishbone"
"Mark, The Match Boy, Or, Richard Hunter's Ward","9781411500259","3.74","Horatio Alger Jr.","English","195","Polyglot Press","2002","['Fiction', 'Literature', 'American', 'Classics']","https://www.goodreads.com/book/show/2488299.Mark_The_Match_Boy_Or_Richard_Hunter_s_Ward"
"William Shakespeare","9780898753394","3.68","Victor Hugo","English","452","University Press of the Pacific","May 18th 2001","['Classics', 'European Literature', 'French Literature', 'Nonfiction', 'History', 'Writing', 'Essays', 'Poetry', 'Biography']","https://www.goodreads.com/book/show/117272.William_Shakespeare"
"Fame and Fortune: or, The Progress of Richard Hunter","-1","3.9","Horatio Alger Jr.","","279","Henry T. Coates","1896","['Fiction', 'Classics']","https://www.goodreads.com/book/show/10595699-fame-and-fortune"
"Consuelo","9781410107558","4.07","George Sand","English","808","Fredonia Books (NL)","November 1st 2004","['Fiction', 'Cultural', 'France', 'Classics', 'Historical', 'Historical Fiction', 'Romance', 'European Literature', 'French Literature']","https://www.goodreads.com/book/show/104262.Consuelo"
"The Black City","9780786713240","3.41","George Sand","English","183","Carroll & Graf Publishers","March 11th 2004","['Classics', 'Fiction', 'Cultural', 'France', 'Literature', 'European Literature', 'French Literature']","https://www.goodreads.com/book/show/104266.The_Black_City"
"Le Marquis de Villemer","9780785914433","3.67","George Sand","","240","French & European Publications Inc","","[]","https://www.goodreads.com/book/show/6925554-le-marquis-de-villemer"
"Lettres","2940030998923","4.41","George Sand","","0","G. L","","['Classics']","https://www.goodreads.com/book/show/11751870-lettres"
"On Picket Duty and Other Tales","-1","3.33","Louisa May Alcott","","[]","","","['Classics', 'Short Stories', 'Fiction']","https://www.goodreads.com/book/show/6228777-on-picket-duty-and-other-tales"
"Tales of a Wayside Inn","9781402179044","4.04","Henry Wadsworth Longfellow","","237","Adamant Media Corporation","December 28th 2006","['Poetry', 'Classics', 'Fiction', 'Short Stories', 'Literature', 'American']","https://www.goodreads.com/book/show/389469.Tales_of_a_Wayside_Inn"
"The Uncommercial Traveller","9781428053861","3.48","Charles Dickens","English","328","IndyPublish.com","April 1st 2007","['Classics', 'Fiction', 'Travel']","https://www.goodreads.com/book/show/1931757.The_Uncommercial_Traveller"
"Modern Painters: Volume 4. Of Mountain Beauty","9781421273259","3.8","John Ruskin","","[]","","","[]","https://www.goodreads.com/book/show/3663507-modern-painters"
"Brand","9781406790108","3.76","Henrik Ibsen","English","232","Pomona Press","January 31st 2007","['Plays', 'Classics', 'Drama', 'Fiction', 'Plays', 'Theatre', 'European Literature', 'Scandinavian Literature', 'Literature', '19th Century']","https://www.goodreads.com/book/show/197123.Brand"
"The Man Who Kept His Money in a Box","9781419171659","3.42","Anthony Trollope","English","48","Kessinger Publishing","June 17th 2004","['Classics', 'Fiction', 'Short Stories', 'Novella']","https://www.goodreads.com/book/show/2426030.The_Man_Who_Kept_His_Money_in_a_Box"
