"Book Title","ISBN","Rating","Author","Language","Pages","Publication","Publish Date","Genres","Book URL"
"Crime and Punishment","9780143058144","4.19","Fyodor Dostoyevsky","English","671","Penguin","December 31st 2002","['Classics', 'Fiction', 'Cultural', 'Russia', 'Literature', 'Literature', 'Russian Literature', 'Novels', 'Philosophy', 'Mystery', 'Crime', 'Literature', '19th Century', 'Academic', 'School']","https://www.goodreads.com/book/show/7144.Crime_and_Punishment"
"Little Women (Little Women, #1)","9780451529305","4.05","Louisa May Alcott","English","449","Signet Classics","April 6th 2004","['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Literature', 'Childrens', 'Classics', 'Classic Literature', 'Literature', '19th Century']","https://www.goodreads.com/book/show/1934.Little_Women"
"Great Expectations","9780192833594","3.75","Charles Dickens","English","505","Oxford University Press","1998","['Classics', 'Fiction', 'Literature', 'Historical', 'Historical Fiction', 'Academic', 'School', 'Novels', 'Literature', '19th Century', 'Classics', 'Classic Literature', 'European Literature', 'British Literature', 'Historical', 'Victorian']","https://www.goodreads.com/book/show/2623.Great_Expectations"
"War and Peace","9780192833983","4.11","Leo Tolstoy","English","1392","Oxford University Press","June 25th 1998","['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Cultural', 'Russia', 'Literature', 'Literature', 'Russian Literature', 'War', 'Historical', 'Novels', 'Literature', '19th Century']","https://www.goodreads.com/book/show/656.War_and_Peace"
"Les MisÃ©rables","9780451525260","4.15","Victor Hugo","English","1563","Signet Classics","March 3rd 1987","['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Literature', 'Cultural', 'France', 'Historical', 'Novels', 'European Literature', 'French Literature', 'Romance', 'Classics', 'Classic Literature']","https://www.goodreads.com/book/show/24280.Les_Mis_rables"
"The Idiot","9780679642428","4.18","Fyodor Dostoyevsky","English","667","Modern Library","April 8th 2003","['Classics', 'Fiction', 'Cultural', 'Russia', 'Literature', 'Russian Literature', 'Literature']","https://www.goodreads.com/book/show/12505.The_Idiot"
"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead","9780451529558","4.17","Fyodor Dostoyevsky","English","233","Signet","November 2nd 2004","['Classics', 'Fiction', 'Cultural', 'Russia', 'Philosophy', 'Literature', 'Literature', 'Russian Literature']","https://www.goodreads.com/book/show/17876.Notes_from_Underground_White_Nights_The_Dream_of_a_Ridiculous_Man_and_Selections_from_The_House_of_the_Dead"
"The Woman in White","9780141439617","3.99","Wilkie Collins","English","672","Penguin Classics","February 27th 2003","['Classics', 'Mystery', 'Fiction', 'Gothic', 'Literature', '19th Century', 'Historical', 'Victorian', 'Horror', 'Literature', 'Historical', 'Historical Fiction', 'European Literature', 'British Literature']","https://www.goodreads.com/book/show/5890.The_Woman_in_White"
"Fathers and Sons","9780451529695","3.95","Ivan Turgenev","English","244","Signet Book","February 1st 2005","['Fiction', 'Cultural', 'Russia', 'Literature', 'Russian Literature', 'Literature', 'Classics', 'Literature', '19th Century', 'Novels', 'Historical', 'Historical Fiction', 'Philosophy', 'Literary Fiction']","https://www.goodreads.com/book/show/19117.Fathers_and_Sons"
"Silas Marner","9781416500346","3.61","George Eliot","English","262","Simon  Schuster","July 1st 2005","['Literature', 'Literature', '19th Century', 'Historical', 'Historical Fiction', 'European Literature', 'British Literature']","https://www.goodreads.com/book/show/54539.Silas_Marner"
"The Moonstone","9780375757853","3.9","Wilkie Collins","English","528","Modern Library","September 11th 2001","['Classics', 'Mystery', 'Fiction', 'Mystery', 'Crime', 'Literature', '19th Century', 'Historical', 'Victorian', 'Literature', 'European Literature', 'British Literature', 'Historical', 'Historical Fiction', 'Thriller', 'Mystery Thriller']","https://www.goodreads.com/book/show/6138.The_Moonstone"
"Journey to the Center of the Earth (Extraordinary Voyages, #3)","9780553213973","3.85","Jules Verne","English","240","Bantam","April 25th 2006","['Classics', 'Science Fiction', 'Fiction', 'Adventure', 'Fantasy']","https://www.goodreads.com/book/show/32829.Journey_to_the_Center_of_the_Earth"
"The Mill on the Floss","9780141439624","3.78","George Eliot","English","579","Penguin Classics","February 27th 2003","['Classics', 'Fiction', 'Literature', '19th Century', 'Literature', 'Historical', 'Victorian', 'European Literature', 'British Literature', 'Historical', 'Historical Fiction', 'Novels', 'Literature', 'English Literature', 'Classics', 'Classic Literature']","https://www.goodreads.com/book/show/20564.The_Mill_on_the_Floss"
"Wives and Daughters","9780140434781","4.08","Elizabeth Gaskell","English","679","Penguin Books","May 30th 1996","['Classics', 'Fiction', 'Romance', 'Historical', 'Historical Fiction', 'Literature', '19th Century']","https://www.goodreads.com/book/show/383206.Wives_and_Daughters"
"Max and Moritz: With Many More Mischief Makers","9780486201818","3.85","Wilhelm Busch","English","240","Dover Publications","June 1st 1962","['Childrens', 'Classics', 'European Literature', 'German Literature']","https://www.goodreads.com/book/show/1066576.Max_and_Moritz"
"Our Mutual Friend","9780375761140","4.07","Charles Dickens","English","801","Modern Library","September 10th 2002","['Classics', 'Fiction', 'Literature']","https://www.goodreads.com/book/show/31244.Our_Mutual_Friend"
"Notes from Underground","9780679734529","4.17","Fyodor Dostoyevsky","English","136","Vintage Classics","September 1994","['Fiction', 'Cultural', 'Russia', 'Philosophy', 'Literature', 'Russian Literature', 'Literature', 'Classics', 'Novels', 'Literature', '19th Century', 'Classics', 'Classic Literature', 'Psychology']","https://www.goodreads.com/book/show/49455.Notes_from_Underground"
"ThÃ©rÃ¨se Raquin","9780140449440","3.71","Ãmile Zola","English","201","Penguin Books Ltd","July 29th 2004","['Classics', 'Fiction', 'Cultural', 'France', 'European Literature', 'French Literature', 'Literature', '19th Century', 'Novels', 'Literature', 'Mystery', 'Crime', 'Audiobook', 'Historical', 'Historical Fiction']","https://www.goodreads.com/book/show/110871.Th_r_se_Raquin"
