"Book Title","ISBN","Rating","Author","Language","Pages","Publication","Publish Date","Genres","Book URL"
"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)","9780143034902","4.25","Carlos Ruiz ZafÃ³n","English","487","Penguin Books","January 25th 2005","['Fiction', 'Historical', 'Historical Fiction', 'Mystery', 'Fantasy', 'Writing', 'Books About Books', 'Historical', 'Cultural', 'Spain', 'Gothic', 'European Literature', 'Spanish Literature', 'Magical Realism']","https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind"
"Angels & Demons  (Robert Langdon, #1)","9781416524793","3.87","Dan Brown","English","736","Pocket Books","April 1st 2006","['Mystery', 'Suspense', 'Thriller', 'Mystery Thriller', 'Adventure', 'Mystery', 'Crime', 'Historical', 'Historical Fiction', 'Adult', 'Thriller', 'Contemporary', 'Adult Fiction']","https://www.goodreads.com/book/show/960.Angels_Demons"
"New Moon (Twilight, #2)","9780316160193","3.52","Stephenie Meyer","English","563","Little, Brown and Company","September 6th 2006","['Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Vampires', 'Fiction']","https://www.goodreads.com/book/show/49041.New_Moon"
"American Gods (American Gods, #1)","9780747263746","4.11","Neil Gaiman","English","635","Headline Review","March 4th 2005","['Science Fiction', 'Science Fiction Fantasy', 'Contemporary']","https://www.goodreads.com/book/show/4407.American_Gods"
"The Host (The Host, #1)","9780316068048","3.84","Stephenie Meyer","English","620","Little, Brown and Company","May 6th 2008","['Science Fiction', 'Fiction', 'Science Fiction', 'Dystopia', 'Young Adult', 'Fantasy', 'Paranormal', 'Science Fiction', 'Aliens']","https://www.goodreads.com/book/show/1656001.The_Host"
"City of Bones (The Mortal Instruments, #1)","9781416914280","4.12","Cassandra Clare","English","485","Margaret K. McElderry Books","March 27th 2007","['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Fantasy', 'Urban Fantasy', 'Fantasy', 'Fiction', 'Paranormal', 'Vampires', 'Fantasy', 'Supernatural', 'Paranormal', 'Angels', 'Fantasy', 'Magic']","https://www.goodreads.com/book/show/256683.City_of_Bones"
"The Five People You Meet in Heaven","9781401308582","3.9","Mitch Albom","","196","Hyperion","September 23rd 2003","['Fiction', 'Spirituality', 'Contemporary', 'Christian', 'Literature']","https://www.goodreads.com/book/show/3431.The_Five_People_You_Meet_in_Heaven"
"Extremely Loud and Incredibly Close","9780618711659","3.97","Jonathan Safran Foer","English","326","Mariner Books","April 4th 2006","['Fiction', 'Contemporary', 'Historical', 'Historical Fiction']","https://www.goodreads.com/book/show/4588.Extremely_Loud_and_Incredibly_Close"
"The Girl Who Played with Fire (Millennium, #2)","9780307269980","4.23","Stieg Larsson","English","503","Alfred A. Knopf","July 28th 2009","['Fiction', 'Mystery', 'Thriller', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller']","https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire"
"Looking for Alaska","9780142402511","4.08","John Green","English","221","Speak","December 28th 2006","['Young Adult', 'Fiction', 'Contemporary', 'Romance']","https://www.goodreads.com/book/show/99561.Looking_for_Alaska"
"The Guernsey Literary and Potato Peel Pie Society","9780385340991","4.12","Mary Ann Shaffer","English","277","The Dial Press","July 29th 2008","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Book Club', 'War', 'World War II']","https://www.goodreads.com/book/show/2728527-the-guernsey-literary-and-potato-peel-pie-society"
