Book Title,ISBN,Book Image,Google Play,Google Play URL,Barnes and Noble,Barnes and Noble URL,Indie Bound,Indie Bound URL
The House on the Borderland,9781426438288,https://dj6cnfthgyqas.cloudfront.net/1426438281-original.jpg,$4.04,https://play.google.com/store/books/details/William_Hope_Hodgson_The_House_on_the_Borderland?id=5fr5mLJt8-cC,,,$20.75,http://www.indiebound.org/book/9781426438288?aff=rifflebooks
"The Marvelous Land of Oz (Oz, #2)",9780140350418,https://dj6cnfthgyqas.cloudfront.net/0140350411-original.jpg,,,$2.25,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780140350418,,
The Golden Bowl,9780140432350,https://dj6cnfthgyqas.cloudfront.net/0140432353-original.jpg,Free,https://play.google.com/store/books/details/Henry_James_The_Golden_Bowl?id=meQYAAAAYAAJ,$8.24,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780140432350,$12.00,http://www.indiebound.org/book/9780140432350?aff=rifflebooks
Jakob von Gunten,9780940322219,https://dj6cnfthgyqas.cloudfront.net/0940322218-original.jpg,$9.99,https://play.google.com/store/books/details/Robert_Walser_Jakob_von_Gunten?id=sCtPAgAAQBAJ,$11.72,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780940322219,$15.95,http://www.indiebound.org/book/9780940322219?aff=rifflebooks
Major Barbara,9781406957167,https://dj6cnfthgyqas.cloudfront.net/140695716X-original.jpg,$5.01,https://play.google.com/store/books/details/George_Bernard_Shaw_Major_Barbara?id=9K0TZCmWRioC,,,,
The Diary of Adam and Eve,9781843910053,https://dj6cnfthgyqas.cloudfront.net/1843910055-original.jpg,$1.92,https://play.google.com/store/books/details/Mark_Twain_The_Diaries_of_Adam_and_Eve_Fully_Illus?id=Sn_cAwAAQBAJ,$12.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781843910053,$12.95,http://www.indiebound.org/book/9781843910053?aff=rifflebooks
"A Girl of the Limberlost (Limberlost, #2)",9781576469118,https://dj6cnfthgyqas.cloudfront.net/1576469115-original.jpg,,,$9.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781576469118,,
The First Men in the Moon,9780141441085,https://dj6cnfthgyqas.cloudfront.net/B002XHNMKS-original.jpg,$7.99,https://play.google.com/store/books/details/H_G_Wells_The_First_Men_in_the_Moon?id=-CbJSGIVgKYC,$10.87,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780141441085,$12.00,http://www.indiebound.org/book/9780141441085?aff=rifflebooks
"The Phoenix and the Carpet (Five Children, #2)",9780140367393,https://dj6cnfthgyqas.cloudfront.net/014036739X-original.jpg,$14.95,https://play.google.com/store/audiobooks/details/E_Nesbit_The_Phoenix_and_the_Carpet?id=AQAAAADmu0u7vM,$4.99,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780140367393,,
The Old Wives' Tale,9780375754906,https://dj6cnfthgyqas.cloudfront.net/B000FC1JPI-original.jpg,$9.99,https://play.google.com/store/books/details/Arnold_Bennett_The_Old_Wives_Tale?id=-WscxA7424IC,$7.45,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780375754906,,
Green Mansions,-1,,$9.99,https://play.google.com/store/books/details/W_H_Hudson_Green_Mansions?id=f0IjCQAAQBAJ,,,,
"Ars̬ne Lupin, Gentleman-Thief (Ars̬ne Lupin #1)",9780143104865,https://dj6cnfthgyqas.cloudfront.net/0143104861-original.jpg,,,$14.15,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780143104865,$16.00,http://www.indiebound.org/book/9780143104865?aff=rifflebooks
Man and Superman,9780140437881,https://dj6cnfthgyqas.cloudfront.net/0140437886-original.jpg,$9.99,https://play.google.com/store/books/details/George_Bernard_Shaw_Man_and_Superman?id=Wj14zOhPLXoC,$11.93,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780140437881,$15.00,http://www.indiebound.org/book/9780140437881?aff=rifflebooks
The Psychopathology of Everyday Life,9781420924916,https://dj6cnfthgyqas.cloudfront.net/1420924915-original.jpg,$7.67,https://play.google.com/store/books/details/Sigmund_Freud_Psychopathology_of_Everyday_Life?id=1p3DAgAAQBAJ,$5.99,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781420924916,$5.99,http://www.indiebound.org/book/9781420924916?aff=rifflebooks
Tonio Kr̦ger,9783596213818,https://dj6cnfthgyqas.cloudfront.net/3596213819-original.jpg,,,,,$16.95,http://www.indiebound.org/book/9783596213818?aff=rifflebooks
The Devil's Dictionary,9780486275420,https://dj6cnfthgyqas.cloudfront.net/0486275426-original.jpg,$2.60,https://play.google.com/store/books/details/Ambrose_Bierce_The_Devil_s_Dictionary?id=tOdWCwAAQBAJ,$1.00,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780486275420,$4.00,http://www.indiebound.org/book/9780486275420?aff=rifflebooks
The Life and Adventures of Santa Claus,9780517205792,https://dj6cnfthgyqas.cloudfront.net/0517205793-original.jpg,$13.63,https://play.google.com/store/books/details/L_Frank_Baum_The_Life_and_Adventures_of_Santa_Clau?id=HLW8XOomKvQC,$6.99,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780517205792,,
The Napoleon of Notting Hill,9781600965234,https://dj6cnfthgyqas.cloudfront.net/1600965237-original.jpg,$2.54,https://play.google.com/store/books/details/G_K_Chesterton_The_Napoleon_of_Notting_Hill?id=WjXnCgAAQBAJ,$12.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781600965234,$12.95,http://www.indiebound.org/book/9781600965234?aff=rifflebooks
The Playboy of the Western World and Other Plays,9780451530073,https://dj6cnfthgyqas.cloudfront.net/0451530071-original.jpg,$6.99,https://play.google.com/store/books/details/J_M_Synge_The_Playboy_of_the_Western_World_and_Oth?id=ikpAxWmjjzYC,$5.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780451530073,$5.95,http://www.indiebound.org/book/9780451530073?aff=rifflebooks
The Magician,9780143104896,https://dj6cnfthgyqas.cloudfront.net/0143104896-original.jpg,$13.99,https://play.google.com/store/books/details/Lev_Grossman_The_Magician_s_Land?id=fKM7AgAAQBAJ,$13.75,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780143104896,$16.00,http://www.indiebound.org/book/9780143104896?aff=rifflebooks
