"Book Title","ISBN","Rating","Author","Language","Pages","Publication","Publish Date","Genres","Book URL"
"The Catcher in the Rye","9780316769174","3.8","J.D. Salinger","English","277","Back Bay Books","January 30th 2001","['Classics', 'Fiction', 'Young Adult', 'Literature']","https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye"
"Fahrenheit 451","9780307347978","3.98","Ray Bradbury","Spanish","175","DeBolsillo","October 2004","['Classics', 'Fiction', 'Science Fiction', 'Science Fiction', 'Dystopia']","https://www.goodreads.com/book/show/4381.Fahrenheit_451"
"Charlotte's Web","9780064410939","4.15","E.B. White","English","184","HarperCollinsPublishers","October 1st 2001","['Classics', 'Fiction', 'Childrens']","https://www.goodreads.com/book/show/24178.Charlotte_s_Web"
"Lord of the Flies","9780140283334","3.65","William Golding","English","182","Penguin Books","October 1st 1999","['Classics', 'Fiction', 'Young Adult', 'Academic', 'School', 'Literature', 'Science Fiction', 'Dystopia', 'Academic', 'Read For School', 'Novels', 'Adventure', 'Young Adult', 'High School']","https://www.goodreads.com/book/show/7624.Lord_of_the_Flies"
"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)","9780060764890","4.2","C.S. Lewis","English","206","HarperCollins Publishers","2005","['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens']","https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe"
"Lolita","-1","3.89","Vladimir Nabokov","English","331","Penguin","1995","['Fiction', 'Literature', 'Classics', 'Novels']","https://www.goodreads.com/book/show/7604.Lolita"
"The Old Man and the Sea","9780684830490","3.74","Ernest Hemingway","English","132","Scribner","1996","['Classics', 'Fiction', 'Literature', 'Academic', 'School', 'Literature', 'American']","https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea"
"East of Eden","9780142000656","4.35","John Steinbeck","English","601","Penguin Books","2002","['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Literature']","https://www.goodreads.com/book/show/4406.East_of_Eden"
"Night (The Night Trilogy #1)","9780374500016","4.3","Elie Wiesel","English","120","Hill & Wang","January 16th 2006","['Nonfiction', 'Classics', 'History', 'Autobiography', 'Memoir', 'World War II', 'Holocaust', 'Biography']","https://www.goodreads.com/book/show/1617.Night"
"The Fellowship of the Ring (The Lord of the Rings, #1)","9780618346257","4.34","J.R.R. Tolkien","English","398","Houghton Mifflin Harcourt","September 5th 2003","['Classics', 'Fiction', 'Adventure', 'Science Fiction Fantasy']","https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring"
"The Return of the King (The Lord of the Rings, #3)","9780345339737","4.51","J.R.R. Tolkien","English","490","Del Rey","2003","['Fantasy', 'Fiction', 'Classics', 'Adventure']","https://www.goodreads.com/book/show/18512.The_Return_of_the_King"
"On the Road","9780140042597","3.64","Jack Kerouac","English","307","Penguin Books","January 1st 1976","['Classics', 'Fiction', 'Travel', 'Literature']","https://www.goodreads.com/book/show/70401.On_the_Road"
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","9780066238500","4.25","C.S. Lewis","English","767","HarperCollins","September 16th 2002","['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens']","https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia"
"The Crucible","9780142437339","3.55","Arthur Miller","English","143","Penguin Classics","March 25th 2003","['Classics', 'Plays', 'Fiction', 'Historical', 'Historical Fiction', 'Drama', 'Academic', 'School', 'Academic', 'Read For School']","https://www.goodreads.com/book/show/17250.The_Crucible"
"The Two Towers (The Lord of the Rings, #2)","9780618346264","4.42","J.R.R. Tolkien","English","322","Mariner Books","September 5th 2003","['Fantasy', 'Classics', 'Fiction', 'Adventure']","https://www.goodreads.com/book/show/15241.The_Two_Towers"
"How the Grinch Stole Christmas!","9780007173044","4.36","Dr. Seuss","English","64","Harper Collins Children's Books","October 4th 2004","['Childrens', 'Classics', 'Fiction']","https://www.goodreads.com/book/show/113946.How_the_Grinch_Stole_Christmas_"
"Invisible Man","9780679732761","3.84","Ralph Ellison","English","581","Vintage","February 1st 1995","['Classics', 'Fiction', 'Literature', 'Cultural', 'African American']","https://www.goodreads.com/book/show/16981.Invisible_Man"
"The Martian Chronicles","9780553278224","4.13","Ray Bradbury","English","182","Bantam/Spectra","June 1st 1984","['Science Fiction', 'Fiction', 'Short Stories', 'Fantasy', 'Science Fiction Fantasy']","https://www.goodreads.com/book/show/76778.The_Martian_Chronicles"
"Flowers for Algernon","-1","4.08","Daniel Keyes","English","[]","","","['Fiction', 'Classics', 'Science Fiction', 'Young Adult']","https://www.goodreads.com/book/show/36576608-flowers-for-algernon"
"Breakfast at Tiffany's","9780679745655","3.9","Truman Capote","English","142","Vintage Books","1993","['Classics', 'Fiction', 'Short Stories']","https://www.goodreads.com/book/show/251688.Breakfast_at_Tiffany_s"
"The Cat in the Hat","9780394800011","4.15","Dr. Seuss","English","61","Random House Books for Young Readers","1985","['Childrens', 'Childrens', 'Picture Books', 'Fiction', 'Poetry', 'Classics', 'Fantasy', 'Humor', 'Animals', 'Kids', 'Animals', 'Cats']","https://www.goodreads.com/book/show/233093.The_Cat_in_the_Hat"
"The Once and Future King (The Once and Future King #1-4)","9780441627400","4.08","T.H. White","English","639","Ace","June 15th 1987","['Fantasy', 'Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Mythology', 'Arthurian']","https://www.goodreads.com/book/show/43545.The_Once_and_Future_King"
"Things Fall Apart (The African Trilogy, #1)","9780385474542","3.62","Chinua Achebe","English","209","Anchor Books","September 1st 1994","['Fiction', 'Classics', 'Cultural', 'Africa', 'Historical', 'Historical Fiction', 'Academic', 'School', 'Literature']","https://www.goodreads.com/book/show/37781.Things_Fall_Apart"
"The End of the Affair","9780099478447","3.96","Graham Greene","English","160","Vintage Classics","October 7th 2004","['Classics', 'Romance', 'Audiobook', 'Literature']","https://www.goodreads.com/book/show/29641.The_End_of_the_Affair"
"Doctor Zhivago","9780679774389","4.03","Boris Pasternak","English","592","Pantheon","March 18th 1997","['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Cultural', 'Russia', 'Literature', 'Russian Literature']","https://www.goodreads.com/book/show/130440.Doctor_Zhivago"
