"Book Title","ISBN","Rating","Author","Language","Pages","Publication","Publish Date","Genres","Book URL"
"Waiting for Godot","-1","3.82","Samuel Beckett","English","109","Grove","2011","['Plays', 'Classics', 'Drama', 'Fiction', 'Plays', 'Theatre', 'Literature']","https://www.goodreads.com/book/show/17716.Waiting_for_Godot"
"The Fall","9780679720225","4.06","Albert Camus","English","147","Vintage","May 7th 1991","['Philosophy', 'Classics', 'Cultural', 'France', 'Literature', 'European Literature', 'French Literature', 'Novels']","https://www.goodreads.com/book/show/11991.The_Fall"
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)","9780061125270","4.09","C.S. Lewis","English","248","HarperCollins","September 1st 2006","['Classics', 'Young Adult', 'Childrens', 'Adventure']","https://www.goodreads.com/book/show/140225.The_Voyage_of_the_Dawn_Treader"
"The Magician's Nephew (Chronicles of Narnia, #6)","9780060764906","4.02","C.S. Lewis","English","221","HarperCollins Publishers","May 4th 2005","['Young Adult', 'Childrens', 'Adventure', 'Christian', 'Classics']","https://www.goodreads.com/book/show/65605.The_Magician_s_Nephew"
"A Separate Peace","9780743253970","3.56","John Knowles","English","204","Scribner","September 30th 2003","['Classics', 'Young Adult', 'Academic', 'School', 'Literature', 'Academic', 'Read For School']","https://www.goodreads.com/book/show/5148.A_Separate_Peace"
"Foundation (Foundation #1)","9780553803716","4.14","Isaac Asimov","English","244","Bantam","June 1st 2004","['Science Fiction', 'Fiction', 'Classics']","https://www.goodreads.com/book/show/29579.Foundation"
"The Horse and His Boy (Chronicles of Narnia, #5)","9780439861366","3.91","C.S. Lewis","English","224","Scholastic Inc","1995","['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens']","https://www.goodreads.com/book/show/84119.The_Horse_and_His_Boy"
"I, Robot (Robot, #0.1)","9780553803709","4.18","Isaac Asimov","English","224","Spectra","June 1st 2004","['Science Fiction', 'Fiction', 'Classics', 'Short Stories']","https://www.goodreads.com/book/show/41804.I_Robot"
"The Witch of Blackbird Pond","9780440995777","3.98","Elizabeth George Speare","English","256","Laurel Leaf","May 15th 1978","['Historical', 'Historical Fiction', 'Young Adult', 'Fiction', 'Classics', 'Childrens', 'Historical']","https://www.goodreads.com/book/show/703292.The_Witch_of_Blackbird_Pond"
"Horton Hears a Who!","9780679800033","4.17","Dr. Seuss","English","64","Random House Books for Young Readers","October 10th 1990","['Childrens', 'Childrens', 'Picture Books', 'Fiction', 'Classics']","https://www.goodreads.com/book/show/7779.Horton_Hears_a_Who_"
"The Haunting of Hill House","9780143039983","3.89","Shirley Jackson","English","182","Penguin Classics","November 28th 2006","['Horror', 'Classics', 'Fiction', 'Gothic', 'Mystery', 'Fantasy', 'Paranormal', 'Paranormal', 'Ghosts', 'Fantasy', 'Supernatural', 'Thriller', 'Fantasy']","https://www.goodreads.com/book/show/89717.The_Haunting_of_Hill_House"
"Prince Caspian (Chronicles of Narnia, #2)","9780007202300","3.97","C.S. Lewis","English","240","HarperCollins Publishers","June 20th 2005","['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Childrens']","https://www.goodreads.com/book/show/121749.Prince_Caspian"
"The Talented Mr. Ripley (Ripley, #1)","9780393332148","3.93","Patricia Highsmith","English","273","W. W. Norton  Company","June 17th 2008","['Fiction', 'Mystery', 'Mystery', 'Crime', 'Classics', 'Thriller']","https://www.goodreads.com/book/show/2247142.The_Talented_Mr_Ripley"
"Under the Net","9780140014457","3.76","Iris Murdoch","English","252","Penguin Books Ltd","October 27th 1982","['Fiction', 'Classics', 'Novels', 'Literature', 'European Literature', 'British Literature', 'Literary Fiction', 'Literature', '20th Century', 'Philosophy', 'European Literature', 'Irish Literature', 'Womens']","https://www.goodreads.com/book/show/11324.Under_the_Net"
"Cat on a Hot Tin Roof","9780811216012","4.07","Tennessee Williams","English","208","New Directions","September 17th 2004","['Plays', 'Classics', 'Drama', 'Fiction', 'Plays', 'Theatre', 'Literature', 'American', 'Literature', 'Academic', 'School', 'Literature', '20th Century', 'American', 'Southern']","https://www.goodreads.com/book/show/72159.Cat_on_a_Hot_Tin_Roof"
"The Tin Drum","9780099483502","3.96","GÃ¼nter Grass","English","567","Vintage","2005","['Fiction', 'Classics', 'European Literature', 'German Literature', 'Historical', 'Historical Fiction', 'Literature', 'Cultural', 'Germany']","https://www.goodreads.com/book/show/35743.The_Tin_Drum"
"Exodus","9780553258479","4.33","Leon Uris","English","608","Bantam","October 1st 1983","['Historical', 'Historical Fiction', 'Fiction', 'Classics', 'Historical', 'Cultural', 'Israel', 'War']","https://www.goodreads.com/book/show/42697.Exodus"
"Nine Stories","9780316767729","4.19","J.D. Salinger","English","198","Little, Brown and Company","January 30th 2001","['Short Stories', 'Literature', 'American', 'Literature', '20th Century', 'Fiction']","https://www.goodreads.com/book/show/4009.Nine_Stories"
"Atlas Shrugged","9780452011878","3.68","Ayn Rand","English","1168","Plume","August 1st 1999","['Fiction', 'Classics', 'Philosophy', 'Literature', 'Politics', 'Science Fiction', 'Novels', 'Science Fiction', 'Dystopia', 'Abandoned', 'Economics']","https://www.goodreads.com/book/show/662.Atlas_Shrugged"
"The Borrowers (The Borrowers, #1)","9780152047375","4.03","Mary Norton","English","192","HMH Books for Young Readers","April 1st 2003","['Fantasy', 'Childrens', 'Classics', 'Fiction']","https://www.goodreads.com/book/show/348573.The_Borrowers"
"The Silver Chair (Chronicles of Narnia, #4)","9780064405041","3.95","C.S. Lewis","English","243","HarperCollins","January 2nd 2008","['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Childrens']","https://www.goodreads.com/book/show/65641.The_Silver_Chair"
"Franny and Zooey","9780316769020","3.98","J.D. Salinger","English","201","Back Bay Books","January 30th 2001","['Fiction', 'Classics', 'Short Stories', 'Literature']","https://www.goodreads.com/book/show/5113.Franny_and_Zooey"
"The Bell","9780099470489","3.87","Iris Murdoch","English","352","Vintage","August 2nd 1999","['Fiction', 'Classics', 'European Literature', 'British Literature']","https://www.goodreads.com/book/show/253952.The_Bell"
"Hawaii","9780375760372","4.19","James A. Michener","English","1136","Dial Press Trade Paperback","July 9th 2002","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Classics']","https://www.goodreads.com/book/show/12658.Hawaii"
"The Quiet American","9780143039020","3.96","Graham Greene","English","180","Penguin Classics","August 31st 2004","['Fiction', 'Classics', 'Historical', 'Historical Fiction', 'War', 'Literature']","https://www.goodreads.com/book/show/3698.The_Quiet_American"
"The Greek Passion","9780345215161","4.26","Nikos Kazantzakis","English","511","Ballantine Books","February 1969","['Fiction', 'Classics', 'Literature', 'Novels']","https://www.goodreads.com/book/show/75587.The_Greek_Passion"
"Harold and the Purple Crayon","9780747532033","4.25","Crockett Johnson","English","64","Bloomsbury","1996","['Childrens', 'Picture Books', 'Childrens']","https://www.goodreads.com/book/show/98573.Harold_and_the_Purple_Crayon"
"Howl and Other Poems","9780872863101","4.14","Allen Ginsberg","English","56","City Lights","January 1st 2001","['Poetry', 'Classics', 'Fiction']","https://www.goodreads.com/book/show/6295.Howl_and_Other_Poems"
"The Sirens of Titan","9781857988840","4.16","Kurt Vonnegut","English","224","Gollancz","September 9th 1999","['Science Fiction', 'Classics', 'Fiction']","https://www.goodreads.com/book/show/4982.The_Sirens_of_Titan"
"A Murder Is Announced (Miss Marple, #5)","9781579126292","3.97","Agatha Christie","English","288","Black Dog & Leventhal Publishers","September 30th 2006","['Mystery', 'Fiction', 'Mystery', 'Crime', 'Classics', 'Mystery', 'Detective']","https://www.goodreads.com/book/show/16298.A_Murder_Is_Announced"
"A Good Man is Hard to Find and Other Stories","9780151365043","4.24","Flannery O'Connor","English","252","Houghton Mifflin Harcourt","October 15th 1992","['Short Stories', 'Fiction', 'Classics', 'Literature', 'Gothic', 'Southern Gothic', 'American', 'Southern']","https://www.goodreads.com/book/show/48464.A_Good_Man_is_Hard_to_Find_and_Other_Stories"
"Starship Troopers","9780441783588","4.0","Robert A. Heinlein","English","335","Ace Book","May 15th 1987","['Science Fiction', 'Fiction', 'Classics']","https://www.goodreads.com/book/show/17214.Starship_Troopers"
"Memoirs of Hadrian","9780374529260","4.25","Marguerite Yourcenar","English","347","Farrar, Straus and Giroux","May 18th 2005","['Historical', 'Historical Fiction', 'Classics', 'Cultural', 'France', 'Historical', 'European Literature', 'French Literature']","https://www.goodreads.com/book/show/12172.Memoirs_of_Hadrian"
"A Bear Called Paddington (Paddington, #1)","9780007174164","4.22","Michael Bond","English","159","HarperCollinsChildrenâsBooks","March 27th 2014","['Childrens', 'Classics', 'Fiction']","https://www.goodreads.com/book/show/160629.A_Bear_Called_Paddington"
"On the Beach","9781842322765","3.93","Nevil Shute","English","296","House of Stratus","October 31st 2002","['Fiction', 'Science Fiction', 'Apocalyptic', 'Post Apocalyptic', 'Classics', 'Science Fiction', 'Dystopia', 'Science Fiction', 'Apocalyptic']","https://www.goodreads.com/book/show/38180.On_the_Beach"
"My Cousin Rachel","9780316252966","3.93","Daphne du Maurier","English","352","Little, Brown and Company","December 17th 2013","['Classics', 'Mystery', 'Historical', 'Historical Fiction', 'Romance', 'Fiction']","https://www.goodreads.com/book/show/18869970-my-cousin-rachel"
"Go Tell It on the Mountain","9780141185910","4.01","James Baldwin","English","256","Penguin","2001","['Fiction', 'Cultural', 'African American', 'Classics', 'Religion', 'Novels']","https://www.goodreads.com/book/show/17143.Go_Tell_It_on_the_Mountain"
"The Long Goodbye (Philip Marlowe, #6)","9780394757681","4.22","Raymond Chandler","English","379","Vintage Crime/Black Lizard","August 12th 1988","['Mystery', 'Fiction', 'Mystery', 'Crime', 'Classics', 'Mystery', 'Detective']","https://www.goodreads.com/book/show/2054.The_Long_Goodbye"
"A Raisin in the Sun","9780375508332","3.73","Lorraine Hansberry","English","160","Random House","May 7th 2002","['Plays', 'Classics', 'Fiction', 'Drama', 'Academic', 'School']","https://www.goodreads.com/book/show/5517.A_Raisin_in_the_Sun"
"The Last Battle (Chronicles of Narnia, #7)","9780007202324","4.03","C.S. Lewis","English","224","HarperCollins Publishers","2005","['Fiction', 'Classics', 'Fantasy', 'Young Adult', 'Childrens']","https://www.goodreads.com/book/show/84369.The_Last_Battle"
"The Leopard","9780679731214","3.99","Giuseppe Tomasi di Lampedusa","English","319","Pantheon","November 6th 2007","['Fiction', 'Historical', 'Historical Fiction', 'Cultural', 'Italy', 'European Literature', 'Italian Literature', 'Literature']","https://www.goodreads.com/book/show/625094.The_Leopard"
"The Caine Mutiny","9780316955102","4.23","Herman Wouk","English","560","Back Bay Books","April 15th 1992","['Fiction', 'Historical', 'Historical Fiction', 'Classics', 'War', 'War', 'World War II']","https://www.goodreads.com/book/show/368772.The_Caine_Mutiny"
"The Daughter of Time (Inspector Alan Grant, #5)","9780684803869","3.95","Josephine Tey","English","206","Touchstone","November 29th 1995","['Mystery', 'Historical', 'Historical Fiction', 'Fiction', 'Mystery', 'Crime', 'Classics']","https://www.goodreads.com/book/show/77661.The_Daughter_of_Time"
"A Town Like Alice","9781842323007","4.12","Nevil Shute","English","359","House of Stratus","2000","['Fiction', 'Historical', 'Historical Fiction', 'Classics', 'Cultural', 'Australia', 'Romance', 'War']","https://www.goodreads.com/book/show/107301.A_Town_Like_Alice"
"The Day of the Triffids","9780812967128","4.0","John Wyndham","English","228","Modern Library","July 1st 2003","['Science Fiction', 'Fiction', 'Classics', 'Horror', 'Apocalyptic', 'Post Apocalyptic', 'Science Fiction', 'Dystopia']","https://www.goodreads.com/book/show/530965.The_Day_of_the_Triffids"
"Casino Royale (James Bond, #1)","9780142002025","3.74","Ian Fleming","English","181","Penguin","August 27th 2002","['Fiction', 'Thriller', 'Mystery', 'Classics', 'Spy Thriller', 'Espionage', 'Adventure']","https://www.goodreads.com/book/show/3758.Casino_Royale"
"Childhood's End","9780345347954","4.1","Arthur C. Clarke","English","224","Del Rey Books","May 12th 1987","['Science Fiction', 'Fiction', 'Classics']","https://www.goodreads.com/book/show/414999.Childhood_s_End"
"Little Bear","9780590319676","4.22","Else Holmelund Minarik","English","64","Scholastic, Inc.","July 1st 1999","['Childrens', 'Childrens', 'Picture Books', 'Fiction']","https://www.goodreads.com/book/show/201146.Little_Bear"
"Naked Lunch","9780802140180","3.45","William S. Burroughs","English","289","Grove Press","January 26th 2004","['Fiction', 'Classics', 'Literature', 'Novels', 'Literature', 'American']","https://www.goodreads.com/book/show/7437.Naked_Lunch"
"My Family and Other Animals (Corfu Trilogy, #1)","9780142004418","4.26","Gerald Durrell","English","273","Penguin Books","June 18th 2004","['Nonfiction', 'Biography', 'Autobiography', 'Memoir', 'Animals', 'Humor', 'Travel']","https://www.goodreads.com/book/show/48132.My_Family_and_Other_Animals"
"I Am Legend and Other Stories","9780312865047","3.99","Richard Matheson","English","317","Orb Books","September 15th 1997","['Horror', 'Fiction', 'Science Fiction', 'Paranormal', 'Vampires', 'Fantasy', 'Short Stories']","https://www.goodreads.com/book/show/547094.I_Am_Legend_and_Other_Stories"
"Inherit the Wind","9780345501035","3.96","Jerome Lawrence","English","144","Ballantine Books","March 20th 2007","['Young Adult', 'High School', 'Plays']","https://www.goodreads.com/book/show/253264.Inherit_the_Wind"
"Our Man in Havana","9780140184938","3.94","Graham Greene","English","220","Penguin Books Ltd","September 3rd 1991","['Fiction', 'Classics', 'Spy Thriller', 'Espionage', 'Literature', 'Mystery', 'Humor']","https://www.goodreads.com/book/show/133394.Our_Man_in_Havana"
"The Foundation Trilogy (Foundation, #1-3)","9780380508563","4.4","Isaac Asimov","English","679","","January 1st 1974","['Science Fiction', 'Fiction', 'Classics']","https://www.goodreads.com/book/show/46654.The_Foundation_Trilogy"
"4:50 from Paddington (Miss Marple #8)","9781579126933","3.93","Agatha Christie","English","288","Black Dog & Leventhal Publishers","March 30th 2007","['Mystery', 'Mystery', 'Crime', 'Classics', 'European Literature', 'British Literature']","https://www.goodreads.com/book/show/140278.4"
"Bonjour tristesse","9782266127745","3.62","FranÃ§oise Sagan","French","153","Pocket","September 16th 2002","['Fiction', 'Cultural', 'France', 'Classics', 'European Literature', 'French Literature', 'Literature', '20th Century']","https://www.goodreads.com/book/show/61672.Bonjour_tristesse"
"Beezus and Ramona (Ramona, #1)","9780192750969","3.98","Beverly Cleary","","160","Oxford University Press","June 8th 2000","['Childrens', 'Fiction']","https://www.goodreads.com/book/show/91244.Beezus_and_Ramona"
"A Night to Remember","9780805077643","4.0","Walter Lord","English","208","Holt McDougal","January 7th 2005","['Nonfiction', 'Historical', 'Classics']","https://www.goodreads.com/book/show/61834.A_Night_to_Remember"
"The Dharma Bums","9780140042528","3.94","Jack Kerouac","English","244","Penguin Books","1986","['Fiction', 'Classics', 'Literature', 'Literature', 'American']","https://www.goodreads.com/book/show/412732.The_Dharma_Bums"
"Please Don't Eat the Daisies","9780385048606","3.93","Jean Kerr","English","192","Doubleday","June 1st 1959","['Humor', 'Autobiography', 'Memoir', 'Nonfiction', 'Biography', 'Writing', 'Essays']","https://www.goodreads.com/book/show/1235257.Please_Don_t_Eat_the_Daisies"
"The Third Man","9780140286823","3.83","Graham Greene","English","160","Penguin Books","May 1st 1999","['Fiction', 'Mystery', 'Classics', 'Mystery', 'Crime', 'Thriller']","https://www.goodreads.com/book/show/48800.The_Third_Man"
"Mrs. McGinty's Dead (Hercule Poirot, #30)","9781572707313","3.82","Agatha Christie","English","244","AudioGO","April 12th 2007","['Mystery', 'Mystery', 'Crime', 'Fiction', 'Mystery', 'Detective']","https://www.goodreads.com/book/show/121622.Mrs_McGinty_s_Dead"
"The Visit","9780802130662","3.92","Friedrich DÃ¼rrenmatt","English","112","Grove Press","January 7th 1994","['Plays', 'Classics', 'Drama', 'European Literature', 'German Literature', 'Fiction', 'Academic', 'School']","https://www.goodreads.com/book/show/317764.The_Visit"
"Katherine","9781556525322","4.18","Anya Seton","English","500","Chicago Review Press","May 1st 2004","['Historical', 'Historical Fiction', 'Fiction', 'Romance', 'Historical', 'Classics', 'Historical', 'Medieval', 'European Literature', 'British Literature']","https://www.goodreads.com/book/show/33609.Katherine"
"Billiards at Half-Past Nine","9780140187243","3.93","Heinrich BÃ¶ll","English","288","Penguin Classics","September 1st 1994","['Fiction', 'European Literature', 'German Literature', 'Classics', 'Cultural', 'Germany']","https://www.goodreads.com/book/show/69882.Billiards_at_Half_Past_Nine"
"The Chrysalids","9780140013085","3.92","John Wyndham","English","200","Penguin Books","June 28th 1977","['Science Fiction', 'Fiction', 'Classics', 'Science Fiction', 'Dystopia', 'Fantasy']","https://www.goodreads.com/book/show/826845.The_Chrysalids"
"The Grand Sophy","9780099465638","4.17","Georgette Heyer","English","328","Arrow","June 3rd 2004","['Romance', 'Historical', 'Historical Fiction', 'Historical', 'Romance', 'Historical Romance', 'Historical', 'Regency', 'Fiction', 'Classics']","https://www.goodreads.com/book/show/261689.The_Grand_Sophy"
"Till We Have Faces","9780156904360","4.18","C.S. Lewis","English","313","Harcourt Paperbacks","August 6th 2006","['Fiction', 'Fantasy', 'Classics', 'Fantasy', 'Mythology', 'Christian', 'Religion']","https://www.goodreads.com/book/show/17343.Till_We_Have_Faces"
"A Child's Christmas in Wales","9780823405657","4.16","Dylan Thomas","English","48","Holiday House","September 1st 1985","['Holiday', 'Christmas', 'Poetry', 'Classics', 'Fiction', 'Childrens', 'Short Stories']","https://www.goodreads.com/book/show/563820.A_Child_s_Christmas_in_Wales"
"The Stars My Destination","9780679767800","4.13","Alfred Bester","English","258","Vintage","July 2nd 1996","['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy']","https://www.goodreads.com/book/show/333867.The_Stars_My_Destination"
"The Miracle Worker","9780743457583","4.21","William  Gibson","English","128","Pocket","June 25th 2002","['Plays', 'Classics', 'Biography', 'Nonfiction', 'Drama']","https://www.goodreads.com/book/show/22327.The_Miracle_Worker"
"Strangers on a Train","9780393321982","3.81","Patricia Highsmith","English","256","W. W. Norton & Company","August 28th 2001","['Fiction', 'Classics', 'Thriller', 'Mystery', 'Mystery', 'Noir', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller']","https://www.goodreads.com/book/show/15677.Strangers_on_a_Train"
"Seize the Day","9780142437612","3.55","Saul Bellow","English","114","Penguin Classics","May 27th 2003","['Fiction', 'Classics', 'Literature', 'Literature', 'American']","https://www.goodreads.com/book/show/52782.Seize_the_Day"
"The Mandarins","9780007203949","4.12","Simone de Beauvoir","English","752","Harper Perennial","May 3rd 2005","['Fiction', 'Classics', 'Cultural', 'France', 'Philosophy', 'Feminism']","https://www.goodreads.com/book/show/19528.The_Mandarins"
"Peyton Place","-1","3.74","Grace Metalious","","512","Dell","1957","['Fiction', 'Classics']","https://www.goodreads.com/book/show/2184836.Peyton_Place"
"Justine (The Alexandria Quartet #1)","9780140153194","3.92","Lawrence Durrell","English","253","Penguin Books","July 12th 1991","['Fiction', 'Classics', 'Historical', 'Historical Fiction', 'Literature']","https://www.goodreads.com/book/show/13037.Justine"
"Pnin","9781400041985","3.9","Vladimir Nabokov","English","143","Everyman's Library","April 6th 2004","['Fiction', 'Classics', 'Cultural', 'Russia', 'Literature', 'Literature', 'Russian Literature']","https://www.goodreads.com/book/show/30593.Pnin"
"Goodbye, Columbus and Five Short Stories","9780679601593","3.86","Philip Roth","English","320","Modern Library","May 2nd 1995","['Short Stories', 'Classics', 'Literature', 'American', 'Fiction', 'Literature', 'Jewish']","https://www.goodreads.com/book/show/29744.Goodbye_Columbus_and_Five_Short_Stories"
"Old Yeller","9780060935474","4.07","Fred Gipson","English","132","Harper Perennial Modern Classics","May 15th 2001","['Classics', 'Fiction', 'Young Adult', 'Childrens', 'Animals']","https://www.goodreads.com/book/show/130580.Old_Yeller"
"Speak, Memory","9780141183220","4.19","Vladimir Nabokov","English","255","Penguin","October 2000","['Autobiography', 'Memoir', 'Biography', 'Nonfiction', 'Classics', 'Cultural', 'Russia', 'Biography', 'Autobiography', 'Literature', 'Biography Memoir', 'Literature', '20th Century', 'Literature', 'Russian Literature']","https://www.goodreads.com/book/show/30594.Speak_Memory"
"The 13 Clocks","9780440405825","4.03","James Thurber","English","128","Yearling","February 1st 1992","['Fantasy', 'Fiction', 'Childrens', 'Classics']","https://www.goodreads.com/book/show/143126.The_13_Clocks"
"Memoirs of a Dutiful Daughter","9780060825195","4.11","Simone de Beauvoir","English","384","Harper Perennial Modern Classics","August 2nd 2005","['Nonfiction', 'Biography', 'Autobiography', 'Memoir', 'Feminism', 'Cultural', 'France']","https://www.goodreads.com/book/show/164006.Memoirs_of_a_Dutiful_Daughter"
"The Doors of Perception & Heaven and Hell","9780060595180","3.96","Aldous Huxley","English","187","Harper Perennial Modern Classics","May 4th 2004","['Philosophy', 'Nonfiction', 'Psychology', 'Writing', 'Essays', 'Classics']","https://www.goodreads.com/book/show/5128.The_Doors_of_Perception_Heaven_and_Hell"
"Giovanni's Room","9780141186351","4.22","James Baldwin","English","159","","June 2000","['Fiction', 'Classics', 'Lgbt', 'Glbt', 'Queer', 'Novels', 'Glbt', 'Gay']","https://www.goodreads.com/book/show/38462.Giovanni_s_Room"
"Gormenghast (Gormenghast, #2)","9780749394820","4.0","Mervyn Peake","English","505","Vintage Classics","February 5th 1998","['Fantasy', 'Fiction', 'Classics', 'Gothic']","https://www.goodreads.com/book/show/258392.Gormenghast"
"Pedro PÃ¡ramo","9780802133908","4.04","Juan Rulfo","English","128","Grove Press","March 10th 1994","['Fiction', 'Magical Realism', 'Classics', 'European Literature', 'Spanish Literature', 'Novels', 'Cultural', 'Latin American']","https://www.goodreads.com/book/show/38787.Pedro_P_ramo"
