"Book Title","ISBN","Amazon URL","GoodReads Description","Wikipedia Description","Readgeek Description"
"Halo (Halo, #1)","9780952203209","https://www.goodreads.com/buy_buttons/15/follow?book_id=8477932&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20","An angel is sent to Earth on a mission.But falling in love is not part of the plan.Three angels √¢¬Ä¬ì Gabriel, the warrior; Ivy, the healer; and Bethany, the youngest and most human √¢¬Ä¬ì are sent by Heaven to bring good to a world falling under the influence of darkness. They work hard to conceal their luminous glow, superhuman powers, and, most dangerous of all, their wings, all the while avoiding all human attachments.Then Bethany meets Xavier Woods, and neither of them is able to resist the attraction between them. Gabriel and Ivy do everything in their power to intervene, but the bond between Xavier and Bethany seems too strong.The angel√¢¬Ä¬ôs mission is urgent, and dark forces are threatening. Will love ruin Bethany or save her?","Halo is a military science fiction first-person shooter video game franchise created by Bungie and now managed and developed by 343 Industries, a subsidiary of Microsoft Studios. The series centers on an interstellar war between humanity and a theocratic alliance of aliens known as the Covenant. The Covenant, led by their religious leaders called the Prophets, worship an ancient civilization known as the Forerunners, who perished in combat with the parasitic Flood. The central focus of the franchise builds off the experiences of Master Chief John-117, one of a group of supersoldiers codenamed Spartans, and his artificial intelligence (AI) companion, Cortana. Other characters, such as Noble Six from Halo: Reach, are also introduced in the series. The term ""Halo"" refers to the Halo Array: a group of immense, habitable, ring-shaped superweapons that were created by the Forerunners to destroy the Flood. They are similar to the Orbitals in Iain M. Banks' Culture novels, and to a lesser degree to author Larry Niven's Ringworld concept.[1][2][3][4]","This is the January 1995 printing with corrections from May 1994."
"You Really Are Full of Shit, Aren't You?","-1","https://www.goodreads.com/buy_buttons/12/follow?book_id=24283871&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Rascal-Sage Karl Wiggins has done it again, only this time even better.In America they√¢¬Ä¬ôre called Advice Columnists, in England Agony Aunts. Well Karl Wiggins is an Agony Uncle who takes no crapEveryone has read these columns in the dentist waiting room, and I have to agree with Karl in that the majority of Agony Aunts or Advice Columnists are without exception patronising, condescending and pretentious, providing the same type of namby-pamby, wishy-washy band-aid solution for just about every dilemma; √¢¬Ä¬úI√¢¬Ä¬ôm sorry to hear what you√¢¬Ä¬ôre going through, but you know life is full of ups and downs, I√¢¬Ä¬ôm sure if you give it time √¢¬Ä¬¶√¢¬Ä¬¶.√¢¬Ä¬ù In short, they are no help whatsoever. Not so Wiggins, for he has the Heaven-sent ability of being able to get right to the nitty-gritty in just a few sentences. His answers, however, are more often than not roll-on-the-floor hilarious. Karl makes it absolutely clear that he√¢¬Ä¬ôs no marriage guidance counsellor, psychotherapist, priest or vegetarian, but his adequacy to hand out solid advice is confirmed as soon as you start reading this book. His advice is delivered in a humorous, occasionally impassioned and exasperated, yet always intuitive manner. Karl speaks from the heart and never, ever evades the issue. If you√¢¬Ä¬ôre looking to read one of those family therapy books where the advisor hems and haws, and sits on the fence and tap-dances around the issue then stop right now. This is not the book for you. But if you√¢¬Ä¬ôre searching for straight-talking guidance on dating, marriage, cohabitation, divorce, sensuality, lust, and sexual urges then look no further. This is the book you√¢¬Ä¬ôre afterKarl Wiggins does not tread warily around any issue whatsoever √¢¬Ä¬ì racism, under-age sex, religious extremism, sexual violence. And he does not mince his words; Just the opposite in fact. I√¢¬Ä¬ôve known Karl for several years and I√¢¬Ä¬ôll tell you he dances towards trouble with a huge grin on his face, which is why I call him the Rascal-Sage. He is in truth a laughing, joking Shaman. The court jester but with all the respect of a sorcerer, for there√¢¬Ä¬ôs always an element of danger lurking about beneath the surface of his smile, and when he√¢¬Ä¬ôs angry he is truly a site to behold (Maybe that√¢¬Ä¬ôs what attracts the reader). Karl, thank you for being you, for not judging me, for seeing me as I truly am and for allowing me the honour of writing the forward to this book for you. But remember I√¢¬Ä¬ôve read the book and you are so naughty √¢¬Ä¬¶. I√¢¬Ä¬ôm going to pray for you. Yvette","",""
"Maybe Someday (Maybe, #1)","9780345532763","https://www.goodreads.com/buy_buttons/12/follow?book_id=24445517&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Contains exclusive content: songs from Griffin Peterson Sydney is living in an idyllic bubble√¢¬Ä¬îshe's a dedicated student with a steady job on the side. She lives with her best friend, has a great boyfriend, and the music coming from the balcony opposite hers is fast becoming the soundtrack to her life. But when Sydney finds out her boyfriend is cheating on her, the bubble bursts. The mysterious and attractive man behind the music, Ridge, gives Sydney hope that she can move on and they begin to write songs together. But moving on is harder than she expects, Sydney can only hope√¢¬Ä¬¶. Maybe someday√¢¬Ä¬¶ Colleen Hoover draws you in to this passionate tale of music, love and betrayal√¢¬Ä¬¶",""," ""I had crossed all the lines they you say you can never cross without being destroyed, and here I was, alive and strong.""  In the grand tradition of Moll Flanders and Vanity Fair, this is the story of a good girl who became a bad woman. At the old homestead her name is never spoken and her picture is turned to the wall, but in the vast world beyond everyone remembers her as the celebrated madam of the finest parlor house in San Francisco. Now, at the end of her life, after half a century of successfully hiding the details of her scarlet past, Belle has decided to reveal all her secrets. In 1838, Arabella Godwin and her beloved younger brother, Lewis, are orphaned and shipped away from their home in New York City to live on their aunt's desolate farm upstate. The comforts she has always known are replaced with grueling work and a pair of cunning enemies in her cousins Agnes and Matthew. Amid this bleak existence, there emerges light in the form of a local boy, Jeptha Talbot. He is everything good that Arabella craves. His love saves her and becomes an obsession that will last her whole life. Time and again she will be broken and remade. She will bear a gambler’s child, build a fortune, commit murder, leave a trail of aliases in her wake and sacrifice almost everything—though perhaps not enough--for the man whose love she cannot bear to lose. At last her destiny will take her to Gold Rush California, to riches and power. Until the day she mysteriously disappears. Told with unflagging wit and verve, Belle Cora brings to life a turbulent era and an untamed America on the cusp of greatness. Its heroine is a woman in conflict with her time, who nevertheless epitomizes it with her fighting spirit, her gift for self-invention, and her determination to chart her own fate."
"Dead Reckoning (Sookie Stackhouse, #11)","9780575108608","https://www.goodreads.com/buy_buttons/12/follow?book_id=7981206&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Alternative Cover Edition for : B004UNGQM4With her knack for being in trouble's way, Sookie witnesses the firebombing of Merlotte's, the bar where she works. Since Sam Merlotte is now known to be two-natured, suspicion falls immediately on the anti-shifters in the area. Sookie suspects otherwise, but her attention is divided when she realizes that her lover Eric Northman and his ""child"" Pam are plotting to kill the vampire who is now their master. Gradually, Sookie is drawn into the plot-which is much more complicated than she knows...","Dead Reckoning is a 2011 New York Times Bestselling gothic romance novel by Charlaine Harris and is the eleventh book in her Southern Vampire Mysteries series.[1][2] The book was released on May 3, 2011 by Ace Books and deals with Sookie discovering more about her heritage and dealing with more supernatural difficulties.[3]","Dead Reckoning is a 2011 New York Times Bestselling gothic romance novel by Charlaine Harris and is the eleventh book in her Southern Vampire Mysteries series. The book was released on May 3, 2011 by Ace Books and deals with Sookie discovering more about her heritage and dealing with more supernatural difficulties."
"Harry Potter and the Cursed Child (Harry Potter, #8)","9780751565355","https://www.goodreads.com/buy_buttons/12/follow?book_id=29058155&ref=x_gr_e_nl_general_sout_bb&tag=x_gr_e_nl_general_sout_bb-20","Based on an original new story by J.K. Rowling, Jack Thorne and John Tiffany, a new play by Jack Thorne, Harry Potter and the Cursed Child is the eighth story in the Harry Potter series and the first official Harry Potter story to be presented on stage. The play will receive its world premiere in London√¢¬Ä¬ôs West End on July 30, 2016.It was always difficult being Harry Potter and it isn√¢¬Ä¬ôt much easier now that he is an overworked employee of the Ministry of Magic, a husband and father of three school-age children.While Harry grapples with a past that refuses to stay where it belongs, his youngest son Albus must struggle with the weight of a family legacy he never wanted. As past and present fuse ominously, both father and son learn the uncomfortable truth: sometimes, darkness comes from unexpected places.","Harry Potter and the Cursed Child is a two-part stage play written by Jack Thorne based on an original new story by Thorne, J. K. Rowling and John Tiffany.[1] Previews of the play began at the Palace Theatre, London on 7 June 2016,[2] and it officially premiered on 30 July 2016.","Harry Potter and the Cursed Child - Parts One & Two (Special Rehearsal Edition): The Official Script Book of the Original West End Production: Parts I & II"
"Crooked Kingdom (Six of Crows, #2)","9781780622316","https://www.goodreads.com/buy_buttons/15/follow?book_id=22299763&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20","When you can't beat the odds, change the game.Kaz Brekker and his crew have just pulled off a heist so daring even they didn't think they'd survive. But instead of divvying up a fat reward, they're right back to fighting for their lives. Double-crossed and badly weakened, the crew is low on resources, allies, and hope. As powerful forces from around the world descend on Ketterdam to root out the secrets of the dangerous drug known as jurda parem, old rivals and new enemies emerge to challenge Kaz's cunning and test the team's fragile loyalties. A war will be waged on the city's dark and twisting streets√¢¬Ä¬ïa battle for revenge and redemption that will decide the fate of the Grisha world.","","The highly anticipated sequel to the thrilling #1 New York Times-bestselling Six of Crows.Kaz Brekker and his crew have just pulled off a heist so daring even they didn't think they'd survive. But instead of divvying up a fat reward, they're right back to fighting for their lives. Double-crossed and badly weakened, the crew is low on resources, allies, and hope. As powerful forces from around the world descend on Ketterdam to root out the secrets of the dangerous drug known as jurda parem, old rivals and new enemies emerge to challenge Kaz's cunning and test the team's fragile loyalties. A war will be waged on the city's dark and twisting streets—a battle for revenge and redemption that will decide the fate of the Grisha world."
"Everything I Never Told You","9781508793724","https://www.goodreads.com/buy_buttons/12/follow?book_id=19398259&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Lydia is dead. But they don√¢¬Ä¬ôt know this yet.So begins this exquisite novel about a Chinese American family living in 1970s small-town Ohio. Lydia is the favorite child of Marilyn and James Lee, and her parents are determined that she will fulfill the dreams they were unable to pursue. But when Lydia√¢¬Ä¬ôs body is found in the local lake, the delicate balancing act that has been keeping the Lee family together is destroyed, tumbling them into chaos. A profoundly moving story of family, secrets, and longing, Everything I Never Told You is both a gripping page-turner and a sensitive family portrait, uncovering the ways in which mothers and daughters, fathers and sons, and husbands and wives struggle, all their lives, to understand one another.","Everything I Never Told You is a 2014 debut novel by Celeste Ng.[1][2][3] It topped Amazon's Best Books of the Year list for 2014. The novel is about a mixed-race Chinese-American family whose middle daughter Lydia is found drowned in a lake. Ng spent six years writing the novel, going through four different full drafts.[4]",""
"The Evolution of Mara Dyer (Mara Dyer, #2)","9780857073655","https://www.goodreads.com/buy_buttons/15/follow?book_id=13643567&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20","Mara Dyer knows she isn't crazy. She knows that she can kill with her mind, and that Noah can heal with his. Mara also knows that somehow, Jude is not a hallucination. He is alive. Unfortunately, convincing her family and doctors that she's not unstable and doesn't need to be hospitalised isn't easy. The only person who actually believes her is Noah. But being with Noah is dangerous and Mara is in constant fear that she might hurt him. She needs to learn how to control her power, and fast! Together, Mara and Noah must try and figure out exactly how Jude survived when the asylum collapsed, and how he knows so much about her strange ability...before anyone else ends up dead!","",""
"Slammed (Slammed, #1)","9781471125676","https://www.goodreads.com/buy_buttons/12/follow?book_id=13372690&ref=x_gr_w_bb&tag=x_gr_w_bb-20","This is an alternate cover edition for  ASIN B008TRUDAS.Following the unexpected death of her father, 18-year-old Layken is forced to be the rock for both her mother and younger brother. Outwardly, she appears resilient and tenacious, but inwardly, she's losing hope.Enter Will Cooper: The attractive, 21-year-old new neighbor with an intriguing passion for slam poetry and a unique sense of humor. Within days of their introduction, Will and Layken form an intense emotional connection, leaving Layken with a renewed sense of hope.Not long after an intense, heart-stopping first date, they are slammed to the core when a shocking revelation forces their new relationship to a sudden halt. Daily interactions become impossibly painful as they struggle to find a balance between the feelings that pull them together, and the secret that keeps them apart.","Slam is a novel written by British author Nick Hornby, published in 2007. The book's main theme is teenage pregnancy and it is written from the perspective of a teenager, Sam.","From the #1 New York Times bestselling author of Hopeless and Losing Hope.Falling in love can feel like poetry. Or it can feel like a slam to the heart.Colleen Hoover’s romantic, emotion-packed debut novel unforgettably captures all the magic and confusion of first love, as two young people forge an unlikely bond before discovering that fate has other plans for them.Following the unexpected death of her father, eighteen-year-old Layken becomes the rock for both her mother and younger brother. She appears resilient and tenacious, but inside, she's losing hope. Then she meets her new neighbor Will, a handsome twenty-one-year-old whose mere presence leaves her flustered and whose passion for poetry slams thrills her.Not long after a heart-stopping first date during which each recognizes something profound and familiar in the other, they are slammed to the core when a shocking discovery brings their new relationship to a sudden halt. Daily interactions become impossibly painful as they struggle to find a balance between the feelings that pull them together and the forces that tear them apart. Only through the poetry they share are they able to speak the truth that is in their hearts and imagine a future where love is cause for celebration, not regret."
"When Breath Becomes Air","9781945272738","https://www.goodreads.com/buy_buttons/12/follow?book_id=25899336&ref=x_gr_w_bb&tag=x_gr_w_bb-20","For readers of Atul Gawande, Andrew Solomon, and Anne Lamott, a profoundly moving, exquisitely observed memoir by a young neurosurgeon faced with a terminal cancer diagnosis who attempts to answer the question What makes a life worth living?At the age of thirty-six, on the verge of completing a decade's worth of training as a neurosurgeon, Paul Kalanithi was diagnosed with stage IV lung cancer. One day he was a doctor treating the dying, and the next he was a patient struggling to live. And just like that, the future he and his wife had imagined evaporated. When Breath Becomes Air chronicles Kalanithi's transformation from a na√É¬Øve medical student ""possessed,"" as he wrote, ""by the question of what, given that all organisms die, makes a virtuous and meaningful life"" into a neurosurgeon at Stanford working in the brain, the most critical place for human identity, and finally into a patient and new father confronting his own mortality. What makes life worth living in the face of death? What do you do when the future, no longer a ladder toward your goals in life, flattens out into a perpetual present? What does it mean to have a child, to nurture a new life as another fades away? These are some of the questions Kalanithi wrestles with in this profoundly moving, exquisitely observed memoir. Paul Kalanithi died in March 2015, while working on this book, yet his words live on as a guide and a gift to us all. ""I began to realize that coming face to face with my own mortality, in a sense, had changed nothing and everything,"" he wrote. ""Seven words from Samuel Beckett began to repeat in my head: 'I can't go on. I'll go on.'"" When Breath Becomes Air is an unforgettable, life-affirming reflection on the challenge of facing death and on the relationship between doctor and patient, from a brilliant writer who became both.","When Breath Becomes Air is a non-fiction autobiographical book written by Paul Kalanithi. It is a memoir about his life and illness, battling stage IV metastatic lung cancer. It was posthumously published by Random House on January 12, 2016.[1]",""
