Book Title,ISBN,Book Image,Google Play,Google Play URL,Barnes and Noble,Barnes and Noble URL,Indie Bound,Indie Bound URL
The Fault in Our Stars,9780525478812,https://dj6cnfthgyqas.cloudfront.net/0525478817-original.jpg,$10.99,https://play.google.com/store/books/details/John_Green_The_Fault_in_Our_Stars?id=UzqVUdEtLDwC,$13.48,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780525478812,$19.99,http://www.indiebound.org/book/9780525478812?aff=rifflebooks
"Divergent (Divergent, #1)",9780062024039,https://dj6cnfthgyqas.cloudfront.net/0062024035-original.jpg,$24.95,https://play.google.com/store/audiobooks/details/Veronica_Roth_Divergent?id=AQAAAAAUz17PWM,$7.74,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780062024039,$9.99,http://www.indiebound.org/book/9780062024039?aff=rifflebooks
"Mockingjay (The Hunger Games, #3)",9780439023511,https://dj6cnfthgyqas.cloudfront.net/0439023513-original.jpg,,,$13.34,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780439023511,$18.99,http://www.indiebound.org/book/9780439023511?aff=rifflebooks
Gone Girl,9780307588371,https://dj6cnfthgyqas.cloudfront.net/0307588378-original.jpg,$10.99,https://play.google.com/store/books/details/Gillian_Flynn_Gone_Girl?id=L25K1tY5WyoC,$10.07,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780307588371,$16.00,http://www.indiebound.org/book/9780307588371?aff=rifflebooks
The Martian,9780804139021,https://dj6cnfthgyqas.cloudfront.net/0804139024-original.jpg,$11.99,https://play.google.com/store/books/details/Andy_Weir_The_Martian?id=MQeHAAAAQBAJ,$19.27,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780804139021,$26.00,http://www.indiebound.org/book/9780804139021?aff=rifflebooks
"Clockwork Angel (The Infernal Devices, #1)",9781416975861,https://dj6cnfthgyqas.cloudfront.net/1416975861-original.jpg,$14.95,https://play.google.com/store/audiobooks/details/Cassandra_Clare_Clockwork_Angel?id=AQAAAIDd0GtQpM,$17.57,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781416975861,$24.99,http://www.indiebound.org/book/9781416975861?aff=rifflebooks
"Ready Player One (Ready Player One, #1)",9780307887436,https://dj6cnfthgyqas.cloudfront.net/030788743X-original.jpg,,,$16.37,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780307887436,$26.00,http://www.indiebound.org/book/9780307887436?aff=rifflebooks
All the Light We Cannot See,9781476746586,https://dj6cnfthgyqas.cloudfront.net/1501132873-original.jpg,$11.99,https://play.google.com/store/books/details/Anthony_Doerr_All_the_Light_We_Cannot_See?id=0cH0AAAAQBAJ,$20.94,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781476746586,$27.00,http://www.indiebound.org/book/9781476746586?aff=rifflebooks
"Cinder (The Lunar Chronicles, #1)",9780312641894,https://dj6cnfthgyqas.cloudfront.net/0312641893-original.jpg,$24.95,https://play.google.com/store/audiobooks/details/Marissa_Meyer_Stars_Above_A_Lunar_Chronicles_Colle?id=AQAAAABPunG6LM,$15.52,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780312641894,$19.99,http://www.indiebound.org/book/9780312641894?aff=rifflebooks
"Me Before You (Me Before You, #1)",9780670026609,https://dj6cnfthgyqas.cloudfront.net/0670026603-original.jpg,,,$20.22,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780670026609,$27.95,http://www.indiebound.org/book/9780670026609?aff=rifflebooks
