Book Title,Book ISBN,Book URL,Amazon Price,R1 Title,R1 URL,R2 Title,R2 URL,R3 Title,R3 URL,R4 Title,R4 URL,R5 Title,R5 URL,,,,,
Evil Under the Sun (Hercule Poirot #24),9781579126285,https://www.goodreads.com/buy_buttons/12/follow?book_id=16305&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$8.11,Death on the Nile,https://www.amazon.com/Death-Nile-Agatha-Christie/dp/0062573233/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0062573233&pd_rd_r=6TDMQA2CHFH0C2V90B3B&pd_rd_w=2SYrw&pd_rd_wg=tbEd9&psc=1&refRID=6TDMQA2CHFH0C2V90B3B,Murder on the Orient Express: A Hercule Poirot Mystery (Hercule Poirot…,https://www.amazon.com/Murder-Orient-Express-Hercule-Mysteries/dp/0062838628/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0062838628&pd_rd_r=6TDMQA2CHFH0C2V90B3B&pd_rd_w=2SYrw&pd_rd_wg=tbEd9&psc=1&refRID=6TDMQA2CHFH0C2V90B3B,The Mystery of the Blue Train,https://www.amazon.com/Mystery-Blue-Train-Agatha-Christie/dp/0062573446/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0062573446&pd_rd_r=6TDMQA2CHFH0C2V90B3B&pd_rd_w=2SYrw&pd_rd_wg=tbEd9&psc=1&refRID=6TDMQA2CHFH0C2V90B3B,Murder in Mesopotamia,https://www.amazon.com/Murder-Mesopotamia-Agatha-Christie/dp/0007234449/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0007234449&pd_rd_r=6TDMQA2CHFH0C2V90B3B&pd_rd_w=2SYrw&pd_rd_wg=tbEd9&psc=1&refRID=6TDMQA2CHFH0C2V90B3B,The Murder of Roger Ackroyd,https://www.amazon.com/Murder-Roger-Ackroyd-Agatha-Christie/dp/0062573195/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0062573195&pd_rd_r=6TDMQA2CHFH0C2V90B3B&pd_rd_w=2SYrw&pd_rd_wg=tbEd9&psc=1&refRID=6TDMQA2CHFH0C2V90B3B,,,,,
All My Sons,9780141185460,https://www.goodreads.com/buy_buttons/12/follow?book_id=179142&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$11.08,This Is Our Church: A History of Catholicism (Student Edition),https://www.amazon.com/This-Our-Church-History-Catholicism/dp/1594711690/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=1594711690&pd_rd_r=MDVQA23KR4A9TCQSSRJ9&pd_rd_w=qn9SL&pd_rd_wg=ER0iy&psc=1&refRID=MDVQA23KR4A9TCQSSRJ9,The Glass Menagerie,https://www.amazon.com/Glass-Menagerie-Tennessee-Williams/dp/0811214044/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0811214044&pd_rd_r=MDVQA23KR4A9TCQSSRJ9&pd_rd_w=qn9SL&pd_rd_wg=ER0iy&psc=1&refRID=MDVQA23KR4A9TCQSSRJ9,Fences,https://www.amazon.com/Fences-August-Wilson/dp/0452264014/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0452264014&pd_rd_r=MDVQA23KR4A9TCQSSRJ9&pd_rd_w=qn9SL&pd_rd_wg=ER0iy&psc=1&refRID=MDVQA23KR4A9TCQSSRJ9,A View from the Bridge (Penguin Classics),https://www.amazon.com/View-Bridge-Penguin-Classics/dp/0143105574/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0143105574&pd_rd_r=MDVQA23KR4A9TCQSSRJ9&pd_rd_w=qn9SL&pd_rd_wg=ER0iy&psc=1&refRID=MDVQA23KR4A9TCQSSRJ9,Billy Budd and Other Tales (Signet Classics),https://www.amazon.com/Billy-Other-Tales-Signet-Classics/dp/0451530810/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0451530810&pd_rd_r=MDVQA23KR4A9TCQSSRJ9&pd_rd_w=qn9SL&pd_rd_wg=ER0iy&psc=1&refRID=MDVQA23KR4A9TCQSSRJ9,,,,,
The Twenty-One Balloons,9780140320978,https://www.goodreads.com/buy_buttons/12/follow?book_id=837501&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$6.99,The Hundred Dresses,https://www.amazon.com/Hundred-Dresses-Eleanor-Estes/dp/0152052607/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0152052607&pd_rd_r=YG35K9EXYN7HYQS3EVY8&pd_rd_w=7djVI&pd_rd_wg=E7qm6&psc=1&refRID=YG35K9EXYN7HYQS3EVY8,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,https://www.amazon.com/Mixed-Up-Files-Mrs-Basil-Frankweiler/dp/0689711816/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0689711816&pd_rd_r=YG35K9EXYN7HYQS3EVY8&pd_rd_w=7djVI&pd_rd_wg=E7qm6&psc=1&refRID=YG35K9EXYN7HYQS3EVY8,Mr. Popper's Penguins,https://www.amazon.com/Mr-Poppers-Penguins-Richard-Atwater/dp/0316058432/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0316058432&pd_rd_r=YG35K9EXYN7HYQS3EVY8&pd_rd_w=7djVI&pd_rd_wg=E7qm6&psc=1&refRID=YG35K9EXYN7HYQS3EVY8,All Rise for the Honorable Perry T. Cook,https://www.amazon.com/All-Rise-Honorable-Perry-Cook/dp/006233347X/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=006233347X&pd_rd_r=YG35K9EXYN7HYQS3EVY8&pd_rd_w=7djVI&pd_rd_wg=E7qm6&psc=1&refRID=YG35K9EXYN7HYQS3EVY8,The Swiss Family Robinson (Puffin Classics),https://www.amazon.com/Swiss-Family-Robinson-Puffin-Classics/dp/0141325305/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0141325305&pd_rd_r=YG35K9EXYN7HYQS3EVY8&pd_rd_w=7djVI&pd_rd_wg=E7qm6&psc=1&refRID=YG35K9EXYN7HYQS3EVY8,,,,,
The Moving Finger (Miss Marple #4),9780007120840,https://www.goodreads.com/buy_buttons/12/follow?book_id=16341&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$15.98,The Body in the Library: A Miss Marple Mystery (Miss Marple Mysteries),https://www.amazon.com/Body-Library-Marple-Mystery-Mysteries/dp/0062073613/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0062073613&pd_rd_r=TKGB72ZZ7S4DTDA5K1RH&pd_rd_w=vTDCQ&pd_rd_wg=ONGa4&psc=1&refRID=TKGB72ZZ7S4DTDA5K1RH,A Murder Is Announced: A Miss Marple Mystery (Miss Marple Mysteries),https://www.amazon.com/Murder-Announced-Marple-Mystery-Mysteries/dp/006207363X/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=006207363X&pd_rd_r=TKGB72ZZ7S4DTDA5K1RH&pd_rd_w=vTDCQ&pd_rd_wg=ONGa4&psc=1&refRID=TKGB72ZZ7S4DTDA5K1RH,They Do It with Mirrors: A Miss Marple Mystery (Miss Marple Mysteries),https://www.amazon.com/They-Do-Mirrors-Mystery-Mysteries/dp/0062073648/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0062073648&pd_rd_r=TKGB72ZZ7S4DTDA5K1RH&pd_rd_w=vTDCQ&pd_rd_wg=ONGa4&psc=1&refRID=TKGB72ZZ7S4DTDA5K1RH,A Pocket Full of Rye: A Miss Marple Mystery (Miss Marple Mysteries),https://www.amazon.com/Pocket-Full-Rye-Mystery-Mysteries/dp/0062073656/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0062073656&pd_rd_r=TKGB72ZZ7S4DTDA5K1RH&pd_rd_w=vTDCQ&pd_rd_wg=ONGa4&psc=1&refRID=TKGB72ZZ7S4DTDA5K1RH,The Murder at the Vicarage (Miss Marple Mysteries),https://www.amazon.com/Murder-Vicarage-Miss-Marple-Mysteries/dp/0062073605/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0062073605&pd_rd_r=TKGB72ZZ7S4DTDA5K1RH&pd_rd_w=vTDCQ&pd_rd_wg=ONGa4&psc=1&refRID=TKGB72ZZ7S4DTDA5K1RH,,,,,
Chess Story,9781590171691,https://www.goodreads.com/buy_buttons/12/follow?book_id=59151&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$11.11,Beware of Pity (New York Review Books Classics),https://www.amazon.com/Beware-Pity-Review-Books-Classics/dp/1590172000/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=1590172000&pd_rd_r=0V9NZPRWHGT5D5VFQ3VB&pd_rd_w=wVEVJ&pd_rd_wg=9dW8V&psc=1&refRID=0V9NZPRWHGT5D5VFQ3VB,The World of Yesterday,https://www.amazon.com/World-Yesterday-Stefan-Zweig/dp/0803226616/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0803226616&pd_rd_r=0V9NZPRWHGT5D5VFQ3VB&pd_rd_w=wVEVJ&pd_rd_wg=9dW8V&psc=1&refRID=0V9NZPRWHGT5D5VFQ3VB,The Post-Office Girl (New York Review Books Classics),https://www.amazon.com/Post-Office-Girl-Review-Books-Classics/dp/1590172620/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=1590172620&pd_rd_r=0V9NZPRWHGT5D5VFQ3VB&pd_rd_w=wVEVJ&pd_rd_wg=9dW8V&psc=1&refRID=0V9NZPRWHGT5D5VFQ3VB,Confusion (New York Review Books Classics),https://www.amazon.com/Confusion-York-Review-Books-Classics/dp/1590174992/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=1590174992&pd_rd_r=0V9NZPRWHGT5D5VFQ3VB&pd_rd_w=wVEVJ&pd_rd_wg=9dW8V&psc=1&refRID=0V9NZPRWHGT5D5VFQ3VB,Letter from an Unknown Woman and Other Stories,https://www.amazon.com/Letter-Woman-Other-Stories-Stefan/dp/1906548935/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=1906548935&pd_rd_r=0V9NZPRWHGT5D5VFQ3VB&pd_rd_w=wVEVJ&pd_rd_wg=9dW8V&psc=1&refRID=0V9NZPRWHGT5D5VFQ3VB,,,,,
The Iceman Cometh,9780300117431,https://www.goodreads.com/buy_buttons/12/follow?book_id=111734&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$11.14,Long Day's Journey into Night,https://www.amazon.com/Long-Days-Journey-into-Night/dp/0300093055/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0300093055&pd_rd_r=6HA31ZWC4DMS2NYNVATH&pd_rd_w=3L4IZ&pd_rd_wg=PYFCh&psc=1&refRID=6HA31ZWC4DMS2NYNVATH,A Moon for the Misbegotten,https://www.amazon.com/Moon-Misbegotten-Eugene-ONeill/dp/0300118155/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0300118155&pd_rd_r=6HA31ZWC4DMS2NYNVATH&pd_rd_w=3L4IZ&pd_rd_wg=PYFCh&psc=1&refRID=6HA31ZWC4DMS2NYNVATH,Who's Afraid of Virginia Woolf?,https://www.amazon.com/Afraid-Virginia-Woolf-Edward-Albee/dp/0822212498/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0822212498&pd_rd_r=6HA31ZWC4DMS2NYNVATH&pd_rd_w=3L4IZ&pd_rd_wg=PYFCh&psc=1&refRID=6HA31ZWC4DMS2NYNVATH,Cat on a Hot Tin Roof,https://www.amazon.com/Cat-Hot-Roof-Tennessee-Williams/dp/0811216012/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0811216012&pd_rd_r=6HA31ZWC4DMS2NYNVATH&pd_rd_w=3L4IZ&pd_rd_wg=PYFCh&psc=1&refRID=6HA31ZWC4DMS2NYNVATH,Three Tall Women,https://www.amazon.com/Three-Tall-Women-Edward-Albee/dp/0452274001/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0452274001&pd_rd_r=6HA31ZWC4DMS2NYNVATH&pd_rd_w=3L4IZ&pd_rd_wg=PYFCh&psc=1&refRID=6HA31ZWC4DMS2NYNVATH,,,,,
The Hamlet,9780679736530,https://www.goodreads.com/buy_buttons/17/follow?book_id=12995&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$13.56,The Town (Vintage International),https://www.amazon.com/Town-Vintage-International-William-Faulkner/dp/0307946819/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0307946819&pd_rd_r=CJ2PEFTQZKSASS2A8X2J&pd_rd_w=S3VRk&pd_rd_wg=Yaza3&psc=1&refRID=CJ2PEFTQZKSASS2A8X2J,The Mansion (Vintage International),https://www.amazon.com/Mansion-Vintage-International-William-Faulkner/dp/0307946827/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0307946827&pd_rd_r=CJ2PEFTQZKSASS2A8X2J&pd_rd_w=S3VRk&pd_rd_wg=Yaza3&psc=1&refRID=CJ2PEFTQZKSASS2A8X2J,"Go Down, Moses",https://www.amazon.com/Go-Down-Moses-William-Faulkner/dp/0679732179/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0679732179&pd_rd_r=CJ2PEFTQZKSASS2A8X2J&pd_rd_w=S3VRk&pd_rd_wg=Yaza3&psc=1&refRID=CJ2PEFTQZKSASS2A8X2J,"Absalom, Absalom! The Corrected Text",https://www.amazon.com/Absalom-Corrected-Text-William-Faulkner/dp/0679732187/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0679732187&pd_rd_r=CJ2PEFTQZKSASS2A8X2J&pd_rd_w=S3VRk&pd_rd_wg=Yaza3&psc=1&refRID=CJ2PEFTQZKSASS2A8X2J,Sanctuary: The Corrected Text,https://www.amazon.com/Sanctuary-Corrected-Text-William-Faulkner/dp/0679748148/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0679748148&pd_rd_r=CJ2PEFTQZKSASS2A8X2J&pd_rd_w=S3VRk&pd_rd_wg=Yaza3&psc=1&refRID=CJ2PEFTQZKSASS2A8X2J,,,,,
Embers,9780375707421,https://www.goodreads.com/buy_buttons/12/follow?book_id=783505&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$10.39,Portraits of a Marriage (Vintage International),https://www.amazon.com/Portraits-Marriage-Vintage-International-Sandor/dp/1400096677/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=1400096677&pd_rd_r=YB7YZ3PC2RKX3JG6Y218&pd_rd_w=lG7Zw&pd_rd_wg=inSyD&psc=1&refRID=YB7YZ3PC2RKX3JG6Y218,Casanova in Bolzano,https://www.amazon.com/Casanova-Bolzano-S%C3%A1ndor-M%C3%A1rai/dp/0375712968/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0375712968&pd_rd_r=YB7YZ3PC2RKX3JG6Y218&pd_rd_w=lG7Zw&pd_rd_wg=inSyD&psc=1&refRID=YB7YZ3PC2RKX3JG6Y218,Esther's Inheritance (Vintage International),https://www.amazon.com/Esthers-Inheritance-Vintage-International-S%C3%A1ndor/dp/1400096669/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=1400096669&pd_rd_r=YB7YZ3PC2RKX3JG6Y218&pd_rd_w=lG7Zw&pd_rd_wg=inSyD&psc=1&refRID=YB7YZ3PC2RKX3JG6Y218,"Literature: An Introduction to Fiction, Poetry, Drama, and Writing, Portable…",https://www.amazon.com/Literature-Introduction-Fiction-Writing-Portable/dp/0321998529/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0321998529&pd_rd_r=YB7YZ3PC2RKX3JG6Y218&pd_rd_w=lG7Zw&pd_rd_wg=inSyD&psc=1&refRID=YB7YZ3PC2RKX3JG6Y218,The Radetzky March (Works of Joseph Roth),https://www.amazon.com/Radetzky-March-Works-Joseph-Roth/dp/1585673269/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=1585673269&pd_rd_r=YB7YZ3PC2RKX3JG6Y218&pd_rd_w=lG7Zw&pd_rd_wg=inSyD&psc=1&refRID=YB7YZ3PC2RKX3JG6Y218,,,,,
"Go Down, Moses",9780679732174,https://www.goodreads.com/buy_buttons/12/follow?book_id=17726&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$10.78,"Absalom, Absalom! The Corrected Text",https://www.amazon.com/Absalom-Corrected-Text-William-Faulkner/dp/0679732187/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0679732187&pd_rd_r=944T4KJV4HFXM018H81T&pd_rd_w=vzZ0j&pd_rd_wg=asIZ7&psc=1&refRID=944T4KJV4HFXM018H81T,Light in August,https://www.amazon.com/Light-August-William-Faulkner/dp/0679732268/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0679732268&pd_rd_r=944T4KJV4HFXM018H81T&pd_rd_w=vzZ0j&pd_rd_wg=asIZ7&psc=1&refRID=944T4KJV4HFXM018H81T,Sanctuary: The Corrected Text,https://www.amazon.com/Sanctuary-Corrected-Text-William-Faulkner/dp/0679748148/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0679748148&pd_rd_r=944T4KJV4HFXM018H81T&pd_rd_w=vzZ0j&pd_rd_wg=asIZ7&psc=1&refRID=944T4KJV4HFXM018H81T,Collected Stories of William Faulkner,https://www.amazon.com/Collected-Stories-William-Faulkner/dp/0679764038/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0679764038&pd_rd_r=944T4KJV4HFXM018H81T&pd_rd_w=vzZ0j&pd_rd_wg=asIZ7&psc=1&refRID=944T4KJV4HFXM018H81T,The Unvanquished: The Corrected Text,https://www.amazon.com/Unvanquished-Corrected-Text-William-Faulkner/dp/0679736522/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0679736522&pd_rd_r=944T4KJV4HFXM018H81T&pd_rd_w=vzZ0j&pd_rd_wg=asIZ7&psc=1&refRID=944T4KJV4HFXM018H81T,,,,,
The Tartar Steppe,9781567923049,https://www.goodreads.com/buy_buttons/12/follow?book_id=83017&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$15.13,The Opposing Shore,https://www.amazon.com/Opposing-Shore-Julien-Gracq/dp/023105789X/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=023105789X&pd_rd_r=3QE6D396MXYM5YAQ7NE0&pd_rd_w=fasIm&pd_rd_wg=TxxjE&psc=1&refRID=3QE6D396MXYM5YAQ7NE0,Skin in the Game,https://www.amazon.com/Skin-Game-Nassim-Nicholas-Taleb/dp/0241300657/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0241300657&pd_rd_r=3QE6D396MXYM5YAQ7NE0&pd_rd_w=fasIm&pd_rd_wg=TxxjE&psc=1&refRID=3QE6D396MXYM5YAQ7NE0,Skin in the Game: Hidden Asymmetries in Daily Life,https://www.amazon.com/Skin-Game-Hidden-Asymmetries-Daily/dp/042528462X/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=042528462X&pd_rd_r=3QE6D396MXYM5YAQ7NE0&pd_rd_w=fasIm&pd_rd_wg=TxxjE&psc=1&refRID=3QE6D396MXYM5YAQ7NE0,Poem Strip including an Explanation of the Afterlife (New York…,https://www.amazon.com/including-Explanation-Afterlife-Review-Classics/dp/1590173236/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=1590173236&pd_rd_r=3QE6D396MXYM5YAQ7NE0&pd_rd_w=fasIm&pd_rd_wg=TxxjE&psc=1&refRID=3QE6D396MXYM5YAQ7NE0,The Misbehavior of Markets: A Fractal View of Financial Turbulence,https://www.amazon.com/Misbehavior-Markets-Fractal-Financial-Turbulence/dp/0465043577/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0465043577&pd_rd_r=3QE6D396MXYM5YAQ7NE0&pd_rd_w=fasIm&pd_rd_wg=TxxjE&psc=1&refRID=3QE6D396MXYM5YAQ7NE0,,,,,
An Inspector Calls,9783150092187,https://www.goodreads.com/buy_buttons/12/follow?book_id=900682&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$10.56,"Aeschylus I: The Persians, The Seven Against Thebes, The Suppliant Maidens,…",https://www.amazon.com/Aeschylus-Persians-Suppliant-Prometheus-Tragedies/dp/0226311449/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0226311449&pd_rd_r=E5DPJ04A3G6W7G03FVNY&pd_rd_w=41olN&pd_rd_wg=S3bHV&psc=1&refRID=E5DPJ04A3G6W7G03FVNY,The Monster and Other Stories (Dover Thrift Editions),https://www.amazon.com/Monster-Other-Stories-Thrift-Editions/dp/0486790258/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0486790258&pd_rd_r=E5DPJ04A3G6W7G03FVNY&pd_rd_w=41olN&pd_rd_wg=S3bHV&psc=1&refRID=E5DPJ04A3G6W7G03FVNY,The Piano Lesson,https://www.amazon.com/Piano-Lesson-August-Wilson/dp/0452265347/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0452265347&pd_rd_r=E5DPJ04A3G6W7G03FVNY&pd_rd_w=41olN&pd_rd_wg=S3bHV&psc=1&refRID=E5DPJ04A3G6W7G03FVNY,Pygmalion (Dover Thrift Editions),https://www.amazon.com/Pygmalion-Thrift-Editions-George-Bernard/dp/0486282228/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0486282228&pd_rd_r=E5DPJ04A3G6W7G03FVNY&pd_rd_w=41olN&pd_rd_wg=S3bHV&psc=1&refRID=E5DPJ04A3G6W7G03FVNY,Frankenstein (Second Edition) (Norton Critical Editions),https://www.amazon.com/Frankenstein-Second-Norton-Critical-Editions/dp/0393927938/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0393927938&pd_rd_r=E5DPJ04A3G6W7G03FVNY&pd_rd_w=41olN&pd_rd_wg=S3bHV&psc=1&refRID=E5DPJ04A3G6W7G03FVNY,,,,,
The Portable Dorothy Parker,9780140150742,https://www.goodreads.com/buy_buttons/12/follow?book_id=46231&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$1.70,Dorothy Parker: What Fresh Hell Is This?,https://www.amazon.com/Dorothy-Parker-What-Fresh-Hell/dp/0140116168/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0140116168&pd_rd_r=ZMVEZ1D43GC1GH8310X4&pd_rd_w=q5T7o&pd_rd_wg=09ZP7&psc=1&refRID=ZMVEZ1D43GC1GH8310X4,The Poetry and Short Stories of Dorothy Parker (Modern Library),https://www.amazon.com/Poetry-Stories-Dorothy-Parker-Library/dp/0679601325/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0679601325&pd_rd_r=ZMVEZ1D43GC1GH8310X4&pd_rd_w=q5T7o&pd_rd_wg=09ZP7&psc=1&refRID=ZMVEZ1D43GC1GH8310X4,The Portable Dorothy Parker (Penguin Classics Deluxe Edition),https://www.amazon.com/Portable-Dorothy-Parker-Penguin-Classics/dp/0143039539/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0143039539&pd_rd_r=ZMVEZ1D43GC1GH8310X4&pd_rd_w=q5T7o&pd_rd_wg=09ZP7&psc=1&refRID=ZMVEZ1D43GC1GH8310X4,Complete Stories (Penguin Classics),https://www.amazon.com/Complete-Stories-Penguin-Classics-Dorothy/dp/0142437212/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0142437212&pd_rd_r=ZMVEZ1D43GC1GH8310X4&pd_rd_w=q5T7o&pd_rd_wg=09ZP7&psc=1&refRID=ZMVEZ1D43GC1GH8310X4,Complete Poems (Penguin Classics),https://www.amazon.com/Complete-Penguin-Classics-Dorothy-Parker/dp/0143106082/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0143106082&pd_rd_r=ZMVEZ1D43GC1GH8310X4&pd_rd_w=q5T7o&pd_rd_wg=09ZP7&psc=1&refRID=ZMVEZ1D43GC1GH8310X4,,,,,
"The Egg and I (Betty MacDonald Memoirs, #1)",9780704102477,https://www.goodreads.com/buy_buttons/15/follow?book_id=23770&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20,$31.95,The Plague and I,https://www.amazon.com/Plague-I-Betty-MacDonald/dp/0295999780/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0295999780&pd_rd_r=ZTMM1RSC0V6WTXPA9F2H&pd_rd_w=sPOu9&pd_rd_wg=tslMo&psc=1&refRID=ZTMM1RSC0V6WTXPA9F2H,Anybody Can Do Anything,https://www.amazon.com/Anybody-Can-Anything-Betty-MacDonald/dp/0295999799/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0295999799&pd_rd_r=ZTMM1RSC0V6WTXPA9F2H&pd_rd_w=sPOu9&pd_rd_wg=tslMo&psc=1&refRID=ZTMM1RSC0V6WTXPA9F2H,Onions in the Stew,https://www.amazon.com/Onions-Stew-Betty-MacDonald/dp/0295999802/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0295999802&pd_rd_r=ZTMM1RSC0V6WTXPA9F2H&pd_rd_w=sPOu9&pd_rd_wg=tslMo&psc=1&refRID=ZTMM1RSC0V6WTXPA9F2H,"Looking for Betty MacDonald: The Egg, the Plague, Mrs. Piggle…",https://www.amazon.com/Looking-Betty-MacDonald-Plague-Piggle-Wiggle/dp/0295999365/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0295999365&pd_rd_r=ZTMM1RSC0V6WTXPA9F2H&pd_rd_w=sPOu9&pd_rd_wg=tslMo&psc=1&refRID=ZTMM1RSC0V6WTXPA9F2H,The Egg and I,https://www.amazon.com/Egg-I-Claudette-Colbert/dp/B006TTC5Y0/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=B006TTC5Y0&pd_rd_r=ZTMM1RSC0V6WTXPA9F2H&pd_rd_w=sPOu9&pd_rd_wg=tslMo&psc=1&refRID=ZTMM1RSC0V6WTXPA9F2H,,,,,
The Pisan Cantos,9780811215589,https://www.goodreads.com/buy_buttons/15/follow?book_id=98943&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20,$17.84,Trilogy (New Directions Classic),https://www.amazon.com/Trilogy-New-Directions-Classic-H-D/dp/0811213994/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0811213994&pd_rd_r=QN490NKHYZPAGEJHB9EX&pd_rd_w=OVeDo&pd_rd_wg=xWLZd&psc=1&refRID=QN490NKHYZPAGEJHB9EX,New Selected Poems and Translations (Second Edition) (New Directions…,https://www.amazon.com/Selected-Translations-Second-Directions-Paperbook/dp/0811217337/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0811217337&pd_rd_r=QN490NKHYZPAGEJHB9EX&pd_rd_w=OVeDo&pd_rd_wg=xWLZd&psc=1&refRID=QN490NKHYZPAGEJHB9EX,The Cantos of Ezra Pound (New Directions Paperbook),https://www.amazon.com/Cantos-Ezra-Pound-Directions-Paperbook/dp/0811213269/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0811213269&pd_rd_r=QN490NKHYZPAGEJHB9EX&pd_rd_w=OVeDo&pd_rd_wg=xWLZd&psc=1&refRID=QN490NKHYZPAGEJHB9EX,Literary Essays of Ezra Pound,https://www.amazon.com/Literary-Essays-Ezra-Pound/dp/0811201570/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0811201570&pd_rd_r=QN490NKHYZPAGEJHB9EX&pd_rd_w=OVeDo&pd_rd_wg=xWLZd&psc=1&refRID=QN490NKHYZPAGEJHB9EX,The Collected Poems of Langston Hughes (Vintage Classics),https://www.amazon.com/Collected-Langston-Hughes-Vintage-Classics/dp/0679764089/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0679764089&pd_rd_r=QN490NKHYZPAGEJHB9EX&pd_rd_w=OVeDo&pd_rd_wg=xWLZd&psc=1&refRID=QN490NKHYZPAGEJHB9EX,,,,,
